number,created_at,merged_at,closed_at,desc_len
1296,2018-02-09T20:04:57Z,,2022-01-25T15:07:09Z,17
1203,2018-02-09T11:40:25Z,,2018-10-10T15:09:05Z,57
1200,2018-02-09T11:33:18Z,,2019-01-24T01:23:31Z,69
1186,2018-02-09T10:42:55Z,,2019-01-25T21:33:44Z,157
1124,2018-02-09T09:05:37Z,,2018-10-31T03:07:36Z,18
1034,2018-02-09T07:02:57Z,,2022-10-26T01:25:50Z,79
984,2018-02-09T06:12:28Z,,2018-09-22T14:03:11Z,16
952,2018-02-09T04:33:20Z,,2020-02-27T08:10:15Z,7
879,2018-02-08T22:17:29Z,,2018-02-23T22:11:12Z,204
850,2018-02-08T20:18:03Z,,2022-04-01T17:29:41Z,57
830,2018-02-08T18:40:46Z,,2019-03-08T13:16:59Z,49
824,2018-02-08T18:33:24Z,,2019-12-04T14:09:18Z,45
814,2018-02-08T18:11:11Z,,2020-06-26T21:45:50Z,372
790,2018-02-08T16:22:27Z,,2020-03-08T15:18:40Z,8
788,2018-02-08T16:11:49Z,,2021-08-25T13:26:05Z,40
787,2018-02-08T16:10:14Z,,2019-07-16T12:54:42Z,199
780,2018-02-08T15:31:52Z,,2018-02-17T10:07:37Z,25
777,2018-02-08T15:23:32Z,,2020-12-21T20:54:27Z,180
746,2018-02-08T13:59:34Z,,2019-03-23T18:01:59Z,154
694,2018-02-08T11:03:25Z,,2018-02-17T10:07:27Z,44
691,2018-02-08T10:40:55Z,,2022-10-31T16:25:57Z,17
569,2018-02-08T06:53:43Z,,2022-03-23T11:31:20Z,107
551,2018-02-08T04:54:24Z,,2018-08-27T17:29:18Z,50
509,2018-02-08T01:25:02Z,,2018-07-12T15:35:11Z,7
472,2018-02-07T21:59:05Z,,2019-01-10T15:00:50Z,60
469,2018-02-07T21:57:13Z,,2021-07-29T09:35:34Z,62
432,2018-02-07T18:44:14Z,,2019-09-06T20:39:35Z,137
413,2018-02-07T17:34:58Z,,2018-02-25T20:54:19Z,72
376,2018-02-07T15:48:55Z,,2023-02-02T09:55:53Z,147
374,2018-02-07T15:41:27Z,,2020-06-24T19:11:01Z,67
311,2018-02-07T14:06:47Z,,2021-03-02T13:40:27Z,186
256,2018-02-07T12:54:57Z,,2022-03-08T16:52:39Z,213
216,2018-02-07T11:39:09Z,,2023-01-08T04:16:38Z,63
209,2018-02-07T11:20:41Z,,2019-02-03T22:14:39Z,45
163,2018-02-07T08:50:52Z,,2018-02-15T14:23:07Z,100
105,2018-02-07T06:03:05Z,2018-08-29T19:14:35Z,2018-08-29T19:14:35Z,5
95,2018-02-07T05:39:10Z,,2018-02-07T05:39:58Z,21
91,2018-02-07T05:28:52Z,,2022-12-23T21:41:28Z,413
76,2018-02-07T04:14:05Z,,2018-02-14T14:57:56Z,18
75,2018-02-07T04:10:07Z,,2021-01-26T13:42:18Z,126
71,2018-02-07T03:34:19Z,,2018-02-20T16:05:14Z,469
66,2018-02-07T02:58:29Z,,2019-07-04T02:32:58Z,31
59,2018-02-07T02:36:03Z,,2019-03-27T19:19:18Z,13
54,2018-02-07T02:20:57Z,,2019-01-06T15:12:28Z,59
48,2018-02-07T02:03:45Z,,2020-10-30T19:37:19Z,17
42,2018-02-07T01:26:44Z,,2020-04-14T03:39:55Z,14
26,2018-02-07T00:39:11Z,,2022-11-07T23:28:31Z,102
25,2018-02-07T00:35:44Z,,2021-04-02T06:25:44Z,30
24,2018-02-07T00:34:25Z,,2022-12-06T02:31:11Z,105
21,2018-02-07T00:31:31Z,,2018-10-17T03:26:14Z,35
19,2018-02-07T00:29:32Z,,2018-02-08T23:30:03Z,47
5183,2023-10-19T23:17:47Z,,2023-10-20T03:04:24Z,8
5182,2023-10-17T21:24:56Z,,2023-10-17T21:25:20Z,9
5178,2023-10-05T01:33:08Z,,2023-10-05T01:33:34Z,4
5163,2023-09-07T22:59:02Z,,2023-09-12T00:34:23Z,104
5096,2023-03-21T07:41:07Z,,2023-04-09T14:23:23Z,171
5092,2023-03-11T16:15:13Z,,2023-03-14T20:10:05Z,2
5088,2023-03-10T11:57:39Z,,2023-08-27T00:14:00Z,224
5011,2023-01-02T08:28:59Z,,2023-01-08T00:51:43Z,59
5003,2022-12-18T17:27:17Z,,2023-01-06T00:05:50Z,47
5001,2022-12-13T21:24:56Z,,2023-10-18T11:56:59Z,2
4959,2022-09-28T19:54:25Z,,2022-10-07T21:36:03Z,224
4913,2022-07-22T03:47:04Z,,2022-08-17T06:17:35Z,19
4873,2022-06-05T12:13:59Z,,2022-06-05T12:34:15Z,27
4866,2022-05-12T18:30:16Z,,2022-05-12T18:30:48Z,1
4865,2022-05-12T18:25:56Z,,2022-05-12T18:29:44Z,1
4816,2022-02-22T15:57:37Z,,2023-04-23T04:05:44Z,58
4812,2022-02-19T01:02:54Z,,2022-02-19T22:56:47Z,1
4466,2021-05-12T13:12:45Z,,2022-10-01T18:33:32Z,83
4455,2021-05-08T19:18:28Z,,2021-12-18T10:29:24Z,153
4433,2021-05-04T22:28:45Z,,2021-05-05T13:17:08Z,220
4407,2021-04-17T17:50:33Z,,2022-09-19T22:37:10Z,53
4392,2021-04-02T14:22:06Z,,2021-04-08T13:20:17Z,102
4356,2021-02-22T16:10:49Z,,2023-10-26T15:57:06Z,91
4336,2021-02-07T20:03:47Z,,2021-02-14T16:02:26Z,17
4297,2021-01-02T08:49:57Z,,2021-01-02T08:50:21Z,15
4223,2020-11-09T21:36:08Z,,2020-11-09T21:36:24Z,6
4221,2020-11-09T21:14:01Z,,2020-11-09T21:14:37Z,7
4219,2020-11-06T14:01:11Z,,2020-11-25T08:42:35Z,16
4215,2020-11-03T17:06:17Z,,2022-06-28T13:23:11Z,28
4174,2020-09-09T15:54:19Z,,2020-10-13T13:10:56Z,18
4171,2020-09-06T20:39:58Z,,2020-09-06T20:42:58Z,1
4137,2020-08-19T14:57:53Z,,2020-09-29T19:38:59Z,58
4101,2020-07-18T05:32:52Z,,2022-02-27T17:22:57Z,11
4089,2020-07-09T17:52:40Z,,2021-09-03T16:05:24Z,43
4066,2020-06-24T00:51:43Z,,2020-06-25T11:32:52Z,32
3937,2020-03-07T17:35:26Z,,2023-06-04T17:12:38Z,25
3894,2020-03-04T19:24:25Z,,2020-03-04T19:26:20Z,37
3891,2020-03-04T18:30:16Z,,2020-03-05T22:11:51Z,56
3841,2020-02-21T14:05:22Z,,2020-05-22T21:39:58Z,316
3540,2020-01-15T03:08:27Z,,2021-12-29T10:48:49Z,100
3492,2019-12-23T18:18:36Z,,2020-02-07T15:48:33Z,22
3488,2019-12-22T02:55:50Z,,2022-07-10T03:53:43Z,46
3329,2019-10-26T21:25:39Z,,2022-01-24T21:31:43Z,26
3253,2019-10-02T12:41:41Z,,2019-12-24T19:05:53Z,38
3234,2019-09-12T10:11:35Z,,2020-10-09T09:36:34Z,69
3110,2019-06-21T04:01:07Z,,2021-09-02T03:15:03Z,98
2980,2019-04-04T18:44:20Z,,2021-04-28T14:36:00Z,99
2942,2019-03-27T15:03:08Z,,2019-03-27T15:03:30Z,10
2917,2019-03-20T04:56:26Z,,2021-07-22T04:01:27Z,84
2852,2019-02-02T03:33:33Z,,2021-03-11T15:17:32Z,97
2842,2019-01-28T07:43:20Z,,2023-08-08T13:56:32Z,325
2786,2018-12-18T16:08:14Z,,2019-08-26T16:35:37Z,53
2767,2018-12-15T05:41:06Z,,2019-06-20T01:56:28Z,39
2681,2018-10-26T22:55:24Z,,2021-04-01T14:16:38Z,11
2662,2018-10-12T02:48:07Z,,2022-11-02T13:26:53Z,182
2641,2018-10-02T04:27:14Z,,2019-01-18T15:01:48Z,330
2628,2018-09-17T03:42:33Z,,2018-09-17T03:53:35Z,49
2620,2018-09-09T23:41:24Z,,2020-01-07T01:55:09Z,16
2576,2018-08-23T16:12:56Z,,2018-08-23T16:18:43Z,13
2554,2018-08-07T03:35:02Z,,2018-08-23T12:00:53Z,16
2553,2018-08-07T03:28:00Z,,2018-08-23T12:00:55Z,16
2460,2018-06-09T11:59:51Z,,2018-10-04T17:07:23Z,11
2406,2018-05-24T18:36:07Z,,2019-05-22T17:27:24Z,41
2325,2018-05-03T16:16:37Z,,2020-01-22T22:37:17Z,37
2290,2018-04-23T07:49:08Z,,2021-08-01T04:23:21Z,27
2230,2018-04-01T08:09:56Z,,2021-01-25T20:54:12Z,41
2197,2018-03-30T03:13:14Z,,2020-03-03T20:44:13Z,36
2135,2018-03-22T18:12:44Z,,2023-08-16T17:02:30Z,82
2120,2018-03-20T09:51:24Z,,2018-03-20T09:52:28Z,70
2087,2018-03-15T01:06:45Z,,2022-07-27T00:15:17Z,24
2083,2018-03-14T14:18:45Z,,2022-10-27T14:20:33Z,54
2065,2018-03-07T11:07:57Z,,2019-10-31T15:35:11Z,258
2014,2018-02-28T21:32:24Z,,2022-04-08T03:53:10Z,88
2011,2018-02-28T16:10:21Z,,2023-06-27T12:47:29Z,31
1943,2018-02-21T08:49:48Z,,2022-08-10T09:17:41Z,61
1930,2018-02-20T19:10:20Z,,2020-06-16T18:01:36Z,34
1904,2018-02-19T19:53:09Z,,2018-05-01T10:15:44Z,32
1899,2018-02-19T14:22:48Z,,2022-06-29T20:33:23Z,80
1882,2018-02-18T16:14:12Z,,2023-06-22T05:26:08Z,73
1861,2018-02-16T22:01:09Z,,2018-08-08T15:58:13Z,10
1823,2018-02-15T21:56:05Z,,2021-04-22T20:43:10Z,58
1819,2018-02-15T19:54:59Z,,2023-07-13T12:11:57Z,45
1806,2018-02-15T13:22:56Z,,2019-12-11T13:34:28Z,16
1775,2018-02-14T19:21:21Z,,2018-02-14T19:21:46Z,14
1706,2018-02-13T15:52:43Z,,2018-02-19T16:49:53Z,14
1702,2018-02-13T15:29:01Z,,2018-07-13T12:33:36Z,3
1671,2018-02-13T08:01:39Z,,2018-12-31T01:20:07Z,55
1632,2018-02-12T21:16:36Z,,2018-03-01T21:20:44Z,690
1614,2018-02-12T17:09:24Z,,2018-03-21T19:09:26Z,20
1608,2018-02-12T16:02:07Z,,2018-05-17T07:24:02Z,81
1606,2018-02-12T15:45:26Z,,2018-03-07T14:24:14Z,70
1523,2018-02-11T15:58:12Z,,2019-10-01T07:42:18Z,177
1468,2018-02-11T07:05:28Z,,2018-02-18T16:17:56Z,19
1380,2018-02-10T12:41:43Z,,2018-02-18T16:18:08Z,75
1377,2018-02-10T12:20:41Z,,2018-02-18T16:18:19Z,189
1376,2018-02-10T12:18:12Z,,2018-02-18T16:20:11Z,67
1370,2018-02-10T10:57:12Z,,2021-06-22T04:45:52Z,24
1361,2018-02-10T09:06:52Z,,2023-02-03T02:58:48Z,31
1356,2018-02-10T08:48:58Z,,2018-02-22T08:46:43Z,37
1325,2018-02-10T00:52:26Z,,2021-10-20T19:21:46Z,252
