number,created_at,merged_at,closed_at,desc_len
134,2020-03-03T08:47:27Z,2020-03-03T11:42:44Z,2020-03-03T11:42:44Z,31
133,2020-03-03T07:53:25Z,2020-03-03T08:26:37Z,2020-03-03T08:26:37Z,60
132,2020-03-03T05:16:55Z,,2020-03-03T08:47:44Z,41
130,2020-03-02T23:07:15Z,,2020-03-03T11:41:29Z,15228
128,2020-03-02T16:05:24Z,2020-03-03T00:14:47Z,2020-03-03T00:14:47Z,34
125,2020-03-02T14:07:57Z,2020-03-02T14:44:32Z,2020-03-02T14:44:32Z,49
124,2020-03-02T13:25:15Z,2020-03-02T14:46:36Z,2020-03-02T14:46:36Z,129
123,2020-03-02T13:14:43Z,,2020-03-02T14:45:21Z,48
122,2020-03-02T12:49:24Z,2020-03-02T12:55:25Z,2020-03-02T12:55:25Z,29
121,2020-03-02T12:40:00Z,2020-03-02T13:45:38Z,2020-03-02T13:45:38Z,145
120,2020-03-02T11:59:59Z,,2020-03-02T12:05:52Z,36
118,2020-03-02T07:48:10Z,2020-03-02T07:58:37Z,2020-03-02T07:58:37Z,78
117,2020-03-02T07:36:01Z,,2020-03-02T07:39:50Z,8395
116,2020-03-02T05:49:50Z,,2020-03-02T12:08:06Z,19
115,2020-03-02T05:38:31Z,2020-03-02T11:39:50Z,2020-03-02T11:39:51Z,44
114,2020-03-02T05:36:31Z,2020-03-02T08:00:29Z,2020-03-02T08:00:29Z,27
113,2020-03-02T05:24:01Z,2020-03-02T05:39:22Z,2020-03-02T05:39:22Z,71
111,2020-03-02T03:58:18Z,,2020-03-02T06:43:15Z,63
108,2020-03-02T00:39:43Z,2020-03-02T00:42:29Z,2020-03-02T00:42:29Z,21
107,2020-03-01T23:12:24Z,2020-03-02T04:06:58Z,2020-03-02T04:06:59Z,47
106,2020-03-01T23:07:32Z,,2020-03-01T23:08:02Z,197
104,2020-03-01T18:20:46Z,2020-03-01T23:41:13Z,2020-03-01T23:41:13Z,134
103,2020-03-01T16:46:28Z,2020-03-02T00:02:54Z,2020-03-02T00:02:54Z,45
102,2020-03-01T15:45:57Z,2020-03-02T00:08:39Z,2020-03-02T00:08:39Z,38
99,2020-03-01T12:22:46Z,2020-03-01T12:28:59Z,2020-03-01T12:28:59Z,28
98,2020-03-01T11:36:46Z,2020-03-01T13:10:20Z,2020-03-01T13:10:20Z,45
97,2020-03-01T10:09:54Z,2020-03-02T11:17:15Z,2020-03-02T11:17:15Z,55
95,2020-03-01T09:28:28Z,2020-03-01T11:19:28Z,2020-03-01T11:19:28Z,34
94,2020-03-01T09:24:40Z,2020-03-01T11:27:25Z,2020-03-01T11:27:25Z,163
93,2020-03-01T08:40:57Z,2020-03-01T11:31:32Z,2020-03-01T11:31:32Z,86
