number,created_at,merged_at,closed_at,desc_len
52,2018-10-26T17:13:25Z,2018-10-26T17:22:47Z,2018-10-26T17:22:47Z,36
51,2018-10-26T13:49:02Z,2018-10-26T14:12:01Z,2018-10-26T14:12:01Z,117
50,2018-10-26T04:56:40Z,,2018-10-26T17:14:15Z,125
49,2018-10-26T01:42:13Z,2018-10-26T11:20:14Z,2018-10-26T11:20:14Z,63
48,2018-10-25T17:23:41Z,2018-10-25T17:25:44Z,2018-10-25T17:25:44Z,61
47,2018-10-25T02:11:32Z,2018-10-25T17:36:14Z,2018-10-25T17:36:14Z,197
46,2018-10-24T21:41:35Z,2018-10-25T11:00:27Z,2018-10-25T11:00:27Z,39
44,2018-10-24T14:20:41Z,2018-10-24T14:28:01Z,2018-10-24T14:28:01Z,179
43,2018-10-24T07:04:27Z,2018-10-24T11:57:41Z,2018-10-24T11:57:41Z,40
42,2018-10-24T05:29:56Z,2018-10-24T11:58:00Z,2018-10-24T11:58:00Z,425
41,2018-10-24T02:22:32Z,2018-10-24T12:56:53Z,2018-10-24T12:56:53Z,193
40,2018-10-24T01:07:30Z,2018-10-24T11:59:45Z,2018-10-24T11:59:45Z,49
38,2018-10-23T11:46:09Z,2018-10-23T11:49:45Z,2018-10-23T11:49:45Z,151
37,2018-10-23T10:34:30Z,2018-10-23T11:17:24Z,2018-10-23T11:17:24Z,161
36,2018-10-23T07:19:09Z,2018-10-23T11:16:05Z,2018-10-23T11:16:05Z,158
35,2018-10-23T03:22:38Z,2018-10-23T11:37:23Z,2018-10-23T11:37:24Z,139
34,2018-10-22T19:16:35Z,2018-10-22T19:30:20Z,2018-10-22T19:30:20Z,250
33,2018-10-22T17:20:33Z,,2018-10-22T17:31:41Z,143
32,2018-10-21T13:03:42Z,2018-10-21T21:10:19Z,2018-10-21T21:10:19Z,188
31,2018-10-21T09:44:43Z,2018-10-21T21:09:21Z,2018-10-21T21:09:21Z,33
30,2018-10-21T06:42:55Z,2018-10-21T21:07:40Z,2018-10-21T21:07:40Z,49
29,2018-10-20T23:39:30Z,,2018-10-21T21:04:00Z,18
28,2018-10-20T23:02:10Z,,2018-10-20T23:02:25Z,5
26,2018-10-20T14:14:19Z,2018-10-20T14:29:45Z,2018-10-20T14:29:45Z,42
25,2018-10-20T13:29:42Z,2018-10-20T13:34:29Z,2018-10-20T13:34:29Z,223
24,2018-10-20T11:57:46Z,,2018-10-20T14:14:51Z,107
23,2018-10-19T18:36:53Z,2018-10-19T18:41:51Z,2018-10-19T18:41:51Z,112
22,2018-10-19T18:29:19Z,2018-10-19T18:41:31Z,2018-10-19T18:41:31Z,96
20,2018-10-18T17:00:20Z,2018-10-18T17:05:26Z,2018-10-18T17:05:26Z,256
19,2018-10-18T15:56:47Z,2018-10-18T15:58:13Z,2018-10-18T15:58:13Z,88
18,2018-10-18T14:51:37Z,2018-10-18T15:06:02Z,2018-10-18T15:06:02Z,94
16,2018-10-18T11:46:05Z,2018-10-18T15:08:23Z,2018-10-18T15:08:23Z,210
15,2018-10-18T10:26:26Z,2018-10-18T12:45:19Z,2018-10-18T12:45:19Z,54
14,2018-10-18T07:59:07Z,2018-10-18T12:45:48Z,2018-10-18T12:45:48Z,66
13,2018-10-18T04:15:00Z,,2018-10-18T17:10:37Z,15
12,2018-10-17T15:37:52Z,2018-10-17T15:44:51Z,2018-10-17T15:44:51Z,384
11,2018-10-17T11:07:39Z,2018-10-17T14:07:12Z,2018-10-17T14:07:12Z,109
10,2018-10-17T10:03:02Z,2018-10-17T11:54:45Z,2018-10-17T11:54:45Z,48
9,2018-10-17T07:55:10Z,2018-10-17T11:54:12Z,2018-10-17T11:54:12Z,40
8,2018-10-17T06:46:58Z,2018-10-17T11:53:15Z,2018-10-17T11:53:15Z,23
7,2018-10-17T00:08:02Z,2018-10-17T00:33:36Z,2018-10-17T00:33:36Z,20
5,2018-10-16T19:15:28Z,,2018-10-16T19:51:44Z,65
4,2018-10-16T18:05:29Z,2018-10-16T18:41:37Z,2018-10-16T18:41:37Z,40
2,2018-10-16T11:17:21Z,2018-10-16T11:25:14Z,2018-10-16T11:25:14Z,450
1,2018-10-16T01:24:51Z,2018-10-16T01:32:50Z,2018-10-16T01:32:50Z,61
181,2021-10-16T14:25:55Z,2021-10-18T11:29:14Z,2021-10-18T11:29:15Z,52
180,2021-10-16T12:18:51Z,2021-10-16T12:32:08Z,2021-10-16T12:32:08Z,122
179,2021-10-15T15:55:09Z,2021-10-16T12:31:50Z,2021-10-16T12:31:50Z,110
178,2021-10-15T00:25:45Z,2021-10-15T11:58:08Z,2021-10-15T11:58:08Z,76
177,2021-10-14T21:21:50Z,2021-10-15T11:56:41Z,2021-10-15T11:56:41Z,89
176,2021-10-14T02:56:32Z,2021-10-14T09:15:53Z,2021-10-14T09:15:53Z,30
174,2021-10-12T02:40:28Z,2021-10-12T16:58:26Z,2021-10-12T16:58:26Z,44
172,2021-09-01T06:39:05Z,2021-09-10T12:50:06Z,2021-09-10T12:50:06Z,30
169,2021-08-08T17:16:56Z,2021-08-08T20:19:02Z,2021-08-08T20:19:02Z,305
167,2021-07-18T10:50:26Z,,2021-10-14T09:15:40Z,19
166,2021-07-03T09:41:18Z,2021-07-18T11:50:30Z,2021-07-18T11:50:30Z,86
164,2021-06-02T11:47:36Z,2021-06-02T12:24:05Z,2021-06-02T12:24:05Z,163
162,2021-04-19T12:08:40Z,2021-04-19T12:34:28Z,2021-04-19T12:34:28Z,42
161,2021-04-01T17:43:29Z,2021-04-19T11:51:53Z,2021-04-19T11:51:54Z,170
160,2021-03-18T16:30:52Z,2021-03-18T16:32:22Z,2021-03-18T16:32:22Z,169
159,2021-03-17T04:12:00Z,2021-04-19T11:52:11Z,2021-04-19T11:52:11Z,328
157,2021-01-21T14:06:11Z,2021-04-19T11:52:29Z,2021-04-19T11:52:29Z,218
156,2021-01-20T08:23:42Z,,2021-01-20T08:24:15Z,63
155,2020-11-18T17:39:48Z,2020-11-18T22:36:45Z,2020-11-18T22:36:45Z,146
