number,created_at,merged_at,closed_at,desc_len
4689,2020-03-11T04:36:55Z,,2023-09-16T18:46:17Z,184
4686,2020-03-08T16:03:06Z,,2020-05-05T20:38:58Z,532
4685,2020-03-08T15:41:35Z,,2023-09-16T18:46:17Z,248
4681,2020-02-28T14:44:35Z,2020-06-04T05:35:28Z,2020-06-04T05:35:28Z,124
4680,2020-02-28T14:08:52Z,,2020-03-02T10:21:02Z,179
4679,2020-02-27T18:06:46Z,,2020-02-28T03:58:34Z,143
4676,2020-02-25T15:01:03Z,,2023-09-16T18:46:16Z,39
4671,2020-02-22T16:12:35Z,,2023-09-16T18:46:16Z,236
4669,2020-02-21T10:32:45Z,,2023-09-16T18:46:15Z,62
4666,2020-02-19T06:05:04Z,,2020-12-20T06:57:03Z,107
4665,2020-02-18T17:29:06Z,,2020-02-19T11:17:32Z,74
4659,2020-02-16T13:32:42Z,,2023-09-16T18:46:15Z,19
4658,2020-02-15T17:44:20Z,,2023-09-16T18:46:14Z,109
4657,2020-02-14T21:48:32Z,,2023-09-16T18:46:37Z,159
4656,2020-02-14T21:33:45Z,,2023-09-16T18:46:37Z,170
4655,2020-02-13T17:40:26Z,,2023-01-04T03:44:07Z,194
4652,2020-02-12T22:12:16Z,,2020-02-13T17:33:32Z,14
4639,2020-02-03T13:32:25Z,,2020-02-03T15:42:33Z,147
4630,2020-01-17T20:34:35Z,,2020-02-04T15:21:52Z,25
4629,2020-01-15T19:04:05Z,,2020-02-04T15:25:29Z,472
4627,2020-01-10T19:15:53Z,2020-01-10T21:29:52Z,2020-01-10T21:29:52Z,58
4626,2020-01-09T22:34:36Z,,2020-02-04T15:29:50Z,267
4625,2020-01-09T00:19:15Z,,2023-09-16T18:46:36Z,256
4624,2020-01-09T00:04:13Z,,2023-09-16T18:46:36Z,434
4623,2020-01-08T23:40:44Z,2020-02-05T08:17:17Z,2020-02-05T08:17:17Z,544
4622,2020-01-08T20:50:09Z,,2023-09-16T18:46:35Z,72
4621,2020-01-08T20:48:57Z,,2023-09-16T18:46:35Z,155
4620,2020-01-08T20:48:01Z,,2023-09-16T18:46:34Z,72
4619,2020-01-08T20:47:10Z,2020-01-22T21:07:55Z,2020-01-22T21:07:55Z,76
4618,2020-01-08T20:46:02Z,2020-01-08T21:43:04Z,2020-01-08T21:43:04Z,69
4616,2020-01-08T14:04:51Z,,2020-01-13T21:59:47Z,48
4614,2020-01-07T07:19:15Z,,2020-01-28T16:03:49Z,98
4605,2020-01-03T09:42:28Z,,2020-12-21T13:39:58Z,183
4595,2019-12-18T18:42:03Z,,2019-12-20T12:20:39Z,129
4589,2019-12-12T11:50:02Z,,2019-12-16T21:42:22Z,74
4587,2019-12-11T18:16:04Z,,2023-09-16T18:46:34Z,199
4581,2019-12-08T17:29:02Z,,2019-12-09T11:18:02Z,284
4580,2019-12-08T14:30:44Z,,2019-12-16T21:47:18Z,118
4578,2019-12-07T06:04:14Z,,2019-12-16T21:43:56Z,18
4574,2019-12-04T13:01:52Z,,2019-12-16T11:58:01Z,191
4573,2019-12-04T12:37:25Z,,2019-12-17T04:47:22Z,290
4567,2019-11-30T16:53:54Z,,2023-01-04T03:43:23Z,250
4557,2019-11-20T09:23:19Z,,2019-11-27T05:22:16Z,38
4555,2019-11-19T20:04:26Z,2019-11-19T21:35:48Z,2019-11-19T21:35:48Z,39
4554,2019-11-19T18:59:03Z,,2019-11-21T18:32:26Z,51
4553,2019-11-19T15:55:16Z,,2019-11-19T18:17:11Z,36
4551,2019-11-19T08:33:30Z,,2019-11-19T15:02:22Z,130
4550,2019-11-19T07:16:56Z,,2019-11-19T18:29:45Z,152
4547,2019-11-15T10:45:10Z,,2023-01-04T03:43:47Z,107
4544,2019-11-14T21:38:12Z,,2023-01-04T03:43:15Z,760
4531,2019-11-01T22:58:01Z,2019-11-12T01:13:42Z,2019-11-12T01:13:42Z,170
4525,2019-10-23T15:07:22Z,,2019-10-23T15:07:49Z,14
4524,2019-10-23T10:13:34Z,,2019-11-12T01:18:18Z,198
4521,2019-10-19T09:26:30Z,,2019-11-15T10:13:44Z,52
