number,created_at,merged_at,closed_at,desc_len
284,2019-11-27T17:46:08Z,2020-09-27T13:45:20Z,2020-09-27T13:45:20Z,38
283,2019-11-27T06:19:07Z,,2019-12-19T13:35:11Z,18
282,2019-11-27T06:13:25Z,2020-09-07T12:44:36Z,2020-09-07T12:44:36Z,18
281,2019-11-27T05:46:52Z,2020-09-07T12:46:20Z,2020-09-07T12:46:20Z,18
280,2019-11-27T05:38:17Z,2020-09-07T12:47:43Z,2020-09-07T12:47:43Z,32
276,2019-11-22T15:26:38Z,,2020-10-05T10:48:30Z,101
275,2019-11-19T15:05:27Z,2019-11-19T17:43:34Z,2019-11-19T17:43:34Z,66
274,2019-11-19T00:56:26Z,2019-11-19T00:56:32Z,2019-11-19T00:56:32Z,11
273,2019-11-12T03:51:56Z,,2019-11-19T01:46:56Z,138
270,2019-10-25T00:57:22Z,2019-11-19T01:47:33Z,2019-11-19T01:47:33Z,46
269,2019-10-24T14:37:29Z,2019-11-19T01:47:53Z,2019-11-19T01:47:53Z,40
268,2019-10-24T08:16:38Z,2019-11-19T01:48:26Z,2019-11-19T01:48:27Z,152
267,2019-10-23T19:43:25Z,,2019-11-19T01:49:23Z,139
266,2019-10-18T17:34:18Z,2019-11-19T01:55:17Z,2019-11-19T01:55:17Z,45
264,2019-10-17T03:11:01Z,2019-11-19T17:41:11Z,2019-11-19T17:41:11Z,244
263,2019-10-16T14:33:48Z,,2019-10-17T06:43:00Z,51
261,2019-10-13T11:50:45Z,2020-09-06T16:15:36Z,2020-09-06T16:15:36Z,129
260,2019-10-13T08:02:31Z,,2020-10-05T10:48:52Z,42
259,2019-10-13T06:41:56Z,,2020-09-03T10:46:54Z,27
258,2019-10-12T12:10:25Z,,2020-06-16T02:40:55Z,233
257,2019-10-10T17:13:13Z,2019-10-11T20:19:57Z,2019-10-11T20:19:57Z,42
256,2019-10-10T12:40:36Z,2019-10-11T20:20:14Z,2019-10-11T20:20:14Z,60
255,2019-10-10T11:02:24Z,2019-10-11T20:20:35Z,2019-10-11T20:20:35Z,62
254,2019-10-10T01:53:58Z,2019-10-10T01:54:04Z,2019-10-10T01:54:05Z,21
253,2019-10-08T19:45:35Z,,2019-10-10T04:35:27Z,29
252,2019-10-07T07:27:58Z,2019-10-10T02:12:36Z,2019-10-10T02:12:36Z,73
251,2019-10-06T07:53:41Z,,2019-10-10T04:35:18Z,89
250,2019-10-05T06:29:27Z,2019-10-10T02:13:02Z,2019-10-10T02:13:02Z,44
248,2019-10-04T15:58:59Z,2019-10-11T20:22:14Z,2019-10-11T20:22:14Z,62
247,2019-10-03T11:13:01Z,,2019-10-12T00:59:08Z,72
246,2019-10-03T07:20:10Z,2019-10-10T04:38:03Z,2019-10-10T04:38:03Z,208
244,2019-10-01T16:56:05Z,,2019-10-10T04:38:39Z,18
241,2019-09-30T08:51:06Z,2019-09-30T12:30:53Z,2019-09-30T12:30:53Z,144
240,2019-09-30T06:35:05Z,2019-09-30T12:32:07Z,2019-09-30T12:32:07Z,423
239,2019-09-27T20:31:15Z,2019-09-30T22:11:30Z,2019-09-30T22:11:30Z,40
238,2019-09-27T20:29:47Z,2019-09-30T12:33:41Z,2019-09-30T12:33:41Z,22
237,2019-09-27T17:45:20Z,,2019-09-30T14:24:36Z,236
236,2019-09-27T17:22:01Z,2019-09-27T17:22:11Z,2019-09-27T17:22:11Z,21
235,2019-09-21T17:22:34Z,2019-09-27T17:28:17Z,2019-09-27T17:28:17Z,33
232,2019-08-29T06:48:01Z,2019-09-30T12:34:05Z,2019-09-30T12:34:05Z,58
231,2019-08-28T19:39:26Z,2019-09-30T12:34:23Z,2019-09-30T12:34:23Z,23
230,2019-08-27T16:48:48Z,2019-09-30T12:36:00Z,2019-09-30T12:36:00Z,22
229,2019-08-26T13:56:27Z,2019-09-30T12:36:22Z,2019-09-30T12:36:22Z,39
228,2019-08-26T13:03:00Z,2019-09-30T12:40:04Z,2019-09-30T12:40:04Z,26
226,2019-08-23T04:18:27Z,2019-09-30T12:30:57Z,2019-09-30T12:30:57Z,21
225,2019-08-22T07:31:01Z,2019-09-30T12:40:25Z,2019-09-30T12:40:25Z,61
224,2019-08-21T19:48:21Z,2019-08-22T19:57:16Z,2019-08-22T19:57:16Z,28
223,2019-08-21T11:41:08Z,2019-08-22T19:57:39Z,2019-08-22T19:57:39Z,13
222,2019-08-21T07:02:34Z,,2019-08-22T03:43:09Z,12
221,2019-08-21T06:53:48Z,,2019-08-21T06:55:43Z,66
217,2019-08-18T05:03:46Z,2019-08-18T10:12:28Z,2019-08-18T10:12:29Z,157
216,2019-08-18T05:00:30Z,,2020-09-03T10:46:17Z,38
215,2019-08-17T16:44:29Z,2019-08-17T19:26:01Z,2019-08-17T19:26:01Z,90
214,2019-08-17T16:17:51Z,2019-08-17T19:26:39Z,2019-08-17T19:26:39Z,64
213,2019-08-17T14:14:12Z,2019-08-17T14:16:20Z,2019-08-17T14:16:20Z,20
212,2019-08-16T08:24:54Z,,2019-08-18T08:53:55Z,36
211,2019-08-15T17:52:48Z,2019-08-17T14:17:20Z,2019-08-17T14:17:21Z,45
208,2019-08-11T04:18:04Z,2019-08-17T14:20:50Z,2019-08-17T14:20:50Z,45
207,2019-08-11T04:02:00Z,2019-08-17T14:20:27Z,2019-08-17T14:20:27Z,173
206,2019-08-10T14:55:16Z,,2020-09-03T10:46:03Z,32
205,2019-08-10T14:17:06Z,,2019-08-12T09:46:38Z,47
204,2019-08-10T09:39:41Z,,2020-04-14T18:13:31Z,81
203,2019-08-08T07:52:07Z,2019-08-17T14:19:47Z,2019-08-17T14:19:47Z,30
202,2019-08-06T17:55:54Z,2019-08-06T17:58:20Z,2019-08-06T17:58:20Z,45
201,2019-08-06T10:48:08Z,2019-08-06T17:58:52Z,2019-08-06T17:58:52Z,46
200,2019-08-06T10:47:14Z,2019-08-06T17:57:50Z,2019-08-06T17:57:50Z,33
