number,created_at,merged_at,closed_at,desc_len
27,2019-01-14T05:23:20Z,,2019-01-25T08:27:21Z,9
25,2019-01-08T19:57:43Z,,2019-01-25T08:27:05Z,79
17,2018-12-25T08:59:51Z,,2019-01-01T08:55:49Z,52
615,2023-07-06T07:22:28Z,,2023-07-10T02:09:36Z,19
607,2023-05-19T08:40:45Z,,2023-05-19T08:40:52Z,70
605,2023-05-19T08:16:40Z,2023-05-19T08:17:35Z,2023-05-19T08:17:35Z,24
603,2023-05-17T15:39:45Z,,2023-05-17T15:50:09Z,91
579,2022-12-08T09:53:05Z,,2022-12-08T10:03:18Z,12
578,2022-12-08T09:35:33Z,,2022-12-08T09:47:32Z,12
572,2022-10-13T00:46:27Z,,2022-12-14T02:17:12Z,3
568,2022-09-29T07:09:50Z,,2022-09-29T07:11:15Z,48
563,2022-08-23T15:01:06Z,,2022-08-23T15:01:45Z,2
562,2022-08-19T03:35:37Z,,2022-10-13T06:55:00Z,54
557,2022-08-04T09:45:49Z,,2022-08-07T06:36:53Z,3
552,2022-07-08T08:36:38Z,,2023-02-06T01:28:01Z,20
551,2022-07-01T09:18:51Z,,2022-07-01T09:21:16Z,6
547,2022-06-09T16:01:27Z,,2022-08-27T15:58:27Z,29
545,2022-05-30T06:19:47Z,,2022-08-07T06:38:00Z,49
543,2022-05-22T07:41:14Z,,2022-05-29T07:23:19Z,20
542,2022-05-19T15:12:13Z,,2022-05-29T07:23:35Z,46
537,2022-04-22T03:25:23Z,,2022-05-29T07:23:56Z,48
527,2022-02-21T14:37:24Z,,2022-02-21T14:39:15Z,15
525,2022-02-11T01:32:46Z,,2022-02-11T01:33:09Z,4
523,2022-01-18T09:08:43Z,,2022-05-29T07:24:11Z,20
520,2022-01-08T03:17:45Z,,2022-02-28T08:26:17Z,26
517,2021-12-15T08:12:58Z,,2022-02-20T06:46:34Z,6
516,2021-12-06T02:30:46Z,,2021-12-08T02:47:37Z,63
514,2021-11-30T04:01:08Z,,2021-12-08T02:49:37Z,55
513,2021-11-26T02:46:53Z,,2021-12-08T02:49:54Z,20
509,2021-11-09T06:10:39Z,,2021-11-09T06:12:06Z,2
494,2021-07-10T09:15:48Z,,2022-01-25T10:27:21Z,24
484,2021-05-27T16:37:33Z,,2021-05-29T01:59:33Z,4
473,2021-04-22T18:41:34Z,,2021-04-24T02:09:06Z,7150
465,2021-03-28T15:03:00Z,,2021-03-28T15:04:52Z,48
455,2021-02-02T02:02:13Z,,2021-02-21T07:31:21Z,58
454,2021-02-01T12:08:56Z,,2021-02-21T07:31:45Z,22
448,2020-12-25T01:56:12Z,,2021-02-21T07:31:57Z,46
444,2020-12-08T14:44:11Z,,2021-02-21T07:32:08Z,34
440,2020-11-29T06:27:46Z,,2020-11-29T06:29:17Z,36
439,2020-11-28T11:30:05Z,,2021-02-21T07:32:17Z,46
438,2020-11-25T13:02:25Z,,2021-02-21T07:32:24Z,48
436,2020-11-21T12:18:20Z,,2020-11-24T13:07:54Z,58
435,2020-11-19T07:14:37Z,,2020-11-19T07:14:52Z,6
430,2020-10-30T06:54:45Z,,2020-11-24T13:07:43Z,21
423,2020-10-05T07:12:43Z,,2020-10-05T07:14:17Z,13
420,2020-09-27T06:57:44Z,,2020-09-27T07:16:09Z,2
418,2020-09-23T02:28:07Z,,2020-10-08T07:11:46Z,46
409,2020-09-05T00:33:59Z,,2020-09-09T12:49:17Z,58
407,2020-09-01T08:09:07Z,,2020-09-09T12:49:06Z,46
397,2020-08-17T08:25:52Z,,2020-08-17T08:26:47Z,45
391,2020-08-10T12:46:42Z,,2020-08-10T12:48:02Z,6
368,2020-07-02T00:57:30Z,,2020-07-05T07:56:00Z,7304
367,2020-06-30T03:19:49Z,,2020-06-30T03:20:28Z,4
352,2020-05-29T07:26:07Z,,2020-06-06T02:14:50Z,25
349,2020-05-26T15:42:50Z,,2020-06-06T02:15:57Z,46
340,2020-05-11T02:19:41Z,,2020-05-16T02:52:59Z,4
332,2020-04-19T14:30:13Z,,2020-05-16T02:58:44Z,26
327,2020-04-13T00:26:37Z,,2020-04-15T13:26:22Z,3
324,2020-04-07T10:34:59Z,,2020-04-15T13:25:39Z,113
313,2020-03-21T14:10:19Z,,2020-04-15T13:25:05Z,29
308,2020-03-11T11:36:42Z,,2020-03-16T12:34:58Z,48
305,2020-03-09T10:02:29Z,,2020-03-09T10:03:11Z,60
296,2020-03-03T11:16:14Z,,2020-03-16T12:35:15Z,4
284,2020-02-24T09:50:53Z,,2020-03-16T12:34:43Z,46
276,2020-01-17T03:11:42Z,,2020-02-12T08:10:51Z,52
259,2019-12-31T08:56:59Z,,2020-01-05T07:03:34Z,61
256,2019-12-26T03:24:12Z,,2019-12-29T06:46:30Z,45
255,2019-12-25T06:35:40Z,,2019-12-29T06:45:30Z,12
253,2019-12-24T09:08:04Z,,2019-12-29T06:45:12Z,14
250,2019-12-18T11:33:48Z,,2019-12-26T05:54:20Z,9
246,2019-12-15T09:20:42Z,,2019-12-17T10:49:04Z,70
245,2019-12-14T15:58:48Z,,2019-12-17T10:49:14Z,51
239,2019-12-06T05:57:19Z,,2019-12-17T10:49:34Z,9
233,2019-11-28T06:41:31Z,,2019-11-28T06:58:13Z,12
227,2019-11-15T01:55:18Z,,2019-11-16T03:13:04Z,17
226,2019-11-13T07:00:35Z,,2019-11-13T07:28:44Z,55
224,2019-11-10T07:40:53Z,,2019-11-11T13:04:08Z,25
223,2019-11-06T11:31:08Z,,2019-11-10T01:40:41Z,12
222,2019-11-01T07:55:02Z,,2019-11-03T01:31:39Z,48
202,2019-09-17T08:35:19Z,,2019-09-17T08:36:32Z,15
201,2019-09-11T14:36:46Z,,2019-12-09T13:08:49Z,283
200,2019-09-02T06:33:11Z,,2019-09-07T01:58:25Z,48
189,2019-08-19T04:03:45Z,,2019-08-19T04:03:59Z,3
173,2019-07-25T09:33:48Z,,2019-08-03T02:58:22Z,198
162,2019-07-08T03:22:48Z,,2019-08-03T02:58:39Z,60
158,2019-07-01T05:54:13Z,,2019-07-01T05:56:03Z,50
157,2019-07-01T05:51:24Z,,2019-07-01T05:52:48Z,50
155,2019-06-29T16:11:05Z,,2019-12-05T13:05:20Z,68
141,2019-06-15T00:30:45Z,,2019-06-15T00:31:05Z,53
119,2019-05-17T06:25:59Z,,2019-05-17T14:06:11Z,46
115,2019-05-12T04:04:47Z,,2019-05-12T04:12:20Z,15
110,2019-05-02T12:04:12Z,,2019-05-02T12:05:50Z,17
109,2019-04-30T03:45:59Z,,2019-05-17T14:06:41Z,100
108,2019-04-29T09:45:41Z,,2019-06-28T12:40:10Z,23
99,2019-04-22T06:10:26Z,,2019-04-22T06:35:11Z,46
91,2019-04-18T14:37:49Z,,2019-06-13T12:08:42Z,2
88,2019-04-14T11:26:03Z,,2019-04-14T13:13:17Z,2
73,2019-03-24T08:38:28Z,,2019-03-30T02:36:00Z,47
65,2019-03-18T02:17:30Z,,2019-03-18T02:18:28Z,4
63,2019-03-14T01:51:22Z,,2019-03-18T07:47:01Z,46
56,2019-03-07T02:14:10Z,,2019-03-07T02:16:58Z,8
46,2019-02-19T10:33:34Z,,2019-03-22T01:22:26Z,59
34,2019-01-22T02:55:36Z,,2019-01-25T08:27:33Z,49
