number,created_at,merged_at,closed_at,desc_len
3442,2022-09-12T07:04:24Z,2022-09-13T20:45:25Z,2022-09-13T20:45:25Z,15189
3441,2022-09-12T07:03:58Z,2022-09-13T18:19:54Z,2022-09-13T18:19:54Z,7661
3440,2022-09-12T07:03:18Z,2022-09-13T18:12:12Z,2022-09-13T18:12:12Z,12175
3439,2022-09-12T07:03:03Z,2022-09-15T05:42:14Z,2022-09-15T05:42:14Z,3912
3438,2022-09-11T21:59:25Z,2022-09-12T06:55:20Z,2022-09-12T06:55:20Z,1193
3437,2022-09-11T21:31:50Z,2022-09-12T05:25:38Z,2022-09-12T05:25:38Z,2597
3436,2022-09-10T13:55:37Z,2022-09-12T10:56:55Z,2022-09-12T10:56:55Z,593
3434,2022-09-09T11:06:24Z,2022-09-09T11:34:31Z,2022-09-09T11:34:31Z,487
3432,2022-09-08T16:00:52Z,,2023-09-06T12:53:00Z,1098
3431,2022-09-08T04:22:59Z,2022-09-12T17:04:54Z,2022-09-12T17:04:55Z,984
3427,2022-09-07T08:20:28Z,2022-09-21T08:07:18Z,2022-09-21T08:07:18Z,21047
3422,2022-09-06T02:51:35Z,2022-09-06T09:46:45Z,2022-09-06T09:46:45Z,614
3420,2022-09-06T01:49:58Z,2022-09-12T16:22:40Z,2022-09-12T16:22:40Z,1201
3419,2022-09-06T00:18:34Z,2022-09-07T15:11:57Z,2022-09-07T15:11:57Z,558
3415,2022-09-05T16:26:04Z,2022-09-05T18:05:07Z,2022-09-05T18:05:07Z,681
3414,2022-09-05T14:15:33Z,2022-09-05T15:38:59Z,2022-09-05T15:38:59Z,2206
3413,2022-09-05T14:15:20Z,2022-09-05T16:05:18Z,2022-09-05T16:05:18Z,4787
3412,2022-09-05T14:14:23Z,2022-09-05T18:11:37Z,2022-09-05T18:11:37Z,4703
3411,2022-09-05T14:13:45Z,2022-09-05T18:03:24Z,2022-09-05T18:03:24Z,8090
3410,2022-09-05T12:12:16Z,2022-09-05T18:54:00Z,2022-09-05T18:54:00Z,539
3408,2022-09-04T19:19:47Z,2022-09-05T05:07:21Z,2022-09-05T05:07:22Z,527
3405,2022-09-03T22:47:34Z,2022-09-09T03:02:55Z,2022-09-09T03:02:55Z,1841
3404,2022-09-03T22:20:19Z,2022-09-04T07:25:22Z,2022-09-04T07:25:22Z,1440
3403,2022-09-03T18:34:26Z,2022-09-04T07:26:57Z,2022-09-04T07:26:57Z,76
3401,2022-09-03T05:28:00Z,2022-09-05T14:35:55Z,2022-09-05T14:35:55Z,955
3399,2022-09-02T21:14:07Z,2022-09-03T07:06:31Z,2022-09-03T07:06:31Z,686
