number,created_at,merged_at,closed_at,desc_len
97,2021-07-05T11:40:12Z,2021-07-26T03:26:23Z,2021-07-26T03:26:23Z,155
96,2021-07-05T09:15:55Z,2021-07-05T16:08:53Z,2021-07-05T16:08:53Z,33
94,2021-07-05T05:40:11Z,2021-07-05T13:17:14Z,2021-07-05T13:17:14Z,288
92,2021-07-04T19:38:17Z,2021-07-04T21:09:52Z,2021-07-04T21:09:52Z,34
91,2021-07-04T18:44:01Z,2021-07-05T01:29:22Z,2021-07-05T01:29:22Z,97
89,2021-07-04T14:34:40Z,2021-07-04T15:43:51Z,2021-07-04T15:43:51Z,50
87,2021-07-04T12:56:18Z,2021-07-04T13:01:13Z,2021-07-04T13:01:13Z,52
83,2021-07-03T10:50:14Z,2021-08-15T13:18:52Z,2021-08-15T13:18:52Z,588
82,2021-07-03T09:09:10Z,2021-07-03T15:52:59Z,2021-07-03T15:52:59Z,50
81,2021-07-03T06:09:57Z,2021-07-03T15:53:48Z,2021-07-03T15:53:48Z,62
80,2021-07-03T02:55:48Z,2021-07-07T12:04:29Z,2021-07-07T12:04:30Z,52
79,2021-07-03T02:53:33Z,2021-07-07T12:03:36Z,2021-07-07T12:03:36Z,48
78,2021-07-03T02:51:10Z,2021-07-07T12:02:56Z,2021-07-07T12:02:56Z,53
77,2021-07-03T02:04:03Z,2021-07-03T03:03:28Z,2021-07-03T03:03:28Z,27
76,2021-07-02T16:00:11Z,2021-07-03T03:02:40Z,2021-07-03T03:02:40Z,47
74,2021-07-02T01:50:54Z,2021-07-02T02:03:14Z,2021-07-02T02:03:14Z,119
73,2021-07-02T01:40:29Z,2021-07-02T02:03:32Z,2021-07-02T02:03:32Z,440
55,2021-06-25T14:00:03Z,2021-06-25T19:42:57Z,2021-06-25T19:42:57Z,18
54,2021-06-25T13:42:38Z,2021-06-25T19:50:42Z,2021-06-25T19:50:42Z,18
53,2021-06-25T13:08:23Z,2021-06-25T19:54:07Z,2021-06-25T19:54:07Z,131
52,2021-06-25T12:08:07Z,2021-06-25T19:54:08Z,2021-06-25T19:54:08Z,49
51,2021-06-25T11:49:57Z,2021-06-25T19:58:28Z,2021-06-25T19:58:28Z,58
50,2021-06-25T11:18:25Z,2021-06-25T20:07:57Z,2021-06-25T20:07:57Z,127
49,2021-06-24T22:41:00Z,2021-06-25T00:33:40Z,2021-06-25T00:33:40Z,85
48,2021-06-24T18:46:19Z,2021-06-24T21:15:22Z,2021-06-24T21:15:22Z,125
47,2021-06-24T18:26:08Z,2021-06-24T19:20:39Z,2021-06-24T19:20:39Z,81
46,2021-06-24T13:29:35Z,2021-06-24T13:32:02Z,2021-06-24T13:32:02Z,49
45,2021-06-24T12:27:36Z,2021-06-24T12:34:33Z,2021-06-24T12:34:33Z,88
44,2021-06-23T16:59:13Z,2021-06-23T17:12:09Z,2021-06-23T17:12:09Z,68
43,2021-06-23T12:24:35Z,2021-06-23T14:07:47Z,2021-06-23T14:07:47Z,68
42,2021-06-23T12:01:22Z,2021-06-23T18:23:37Z,2021-06-23T18:23:37Z,212
41,2021-06-22T21:42:41Z,2021-06-23T00:56:10Z,2021-06-23T00:56:10Z,41
39,2021-06-22T20:29:38Z,2021-06-22T21:28:30Z,2021-06-22T21:28:30Z,52
38,2021-06-22T20:27:06Z,2021-06-22T21:31:01Z,2021-06-22T21:31:01Z,71
37,2021-06-17T22:02:19Z,2021-06-19T17:55:04Z,2021-06-19T17:55:04Z,514
36,2021-06-17T13:06:38Z,2021-06-17T15:35:40Z,2021-06-17T15:35:40Z,142
35,2021-06-16T21:36:11Z,2021-06-17T13:03:11Z,2021-06-17T13:03:11Z,174
34,2021-06-15T13:25:28Z,2021-06-16T20:32:29Z,2021-06-16T20:32:29Z,162
33,2021-06-15T12:33:24Z,2021-06-16T20:35:42Z,2021-06-16T20:35:43Z,43
32,2021-06-15T12:18:00Z,2021-06-16T20:37:53Z,2021-06-16T20:37:53Z,205
251,2021-07-30T17:29:15Z,2021-07-30T17:49:37Z,2021-07-30T17:49:37Z,40
247,2021-07-29T02:24:23Z,2021-07-29T03:01:15Z,2021-07-29T03:01:15Z,502
246,2021-07-29T01:57:22Z,2021-08-03T14:00:54Z,2021-08-03T14:00:55Z,67
245,2021-07-29T01:06:02Z,2021-07-29T02:59:33Z,2021-07-29T02:59:33Z,56
244,2021-07-28T09:52:15Z,2021-07-28T12:28:08Z,2021-07-28T12:28:08Z,36
243,2021-07-27T09:32:50Z,2021-07-27T12:44:51Z,2021-07-27T12:44:51Z,36
242,2021-07-27T06:03:37Z,2021-07-27T12:46:06Z,2021-07-27T12:46:06Z,91
241,2021-07-27T02:21:58Z,2021-07-27T12:46:57Z,2021-07-27T12:46:57Z,45
240,2021-07-27T01:20:59Z,,2021-07-27T01:50:30Z,45
238,2021-07-26T15:28:47Z,2021-07-29T13:52:28Z,2021-07-29T13:52:28Z,59
236,2021-07-26T09:58:45Z,2021-07-26T12:20:41Z,2021-07-26T12:20:41Z,36
235,2021-07-26T05:38:27Z,2021-07-29T03:07:32Z,2021-07-29T03:07:32Z,1411
234,2021-07-25T13:13:11Z,2021-07-25T15:29:14Z,2021-07-25T15:29:14Z,512
232,2021-07-24T09:39:14Z,2021-07-24T13:00:50Z,2021-07-24T13:00:50Z,48
231,2021-07-23T09:47:01Z,2021-07-23T12:24:52Z,2021-07-23T12:24:52Z,97
230,2021-07-22T19:55:47Z,2021-07-29T03:12:44Z,2021-07-29T03:12:45Z,164
229,2021-07-22T15:37:13Z,2021-07-22T16:08:41Z,2021-07-22T16:08:41Z,221
228,2021-07-22T09:35:24Z,2021-07-22T12:10:14Z,2021-07-22T12:10:14Z,134
227,2021-07-22T09:27:14Z,2021-07-22T15:03:09Z,2021-07-22T15:03:09Z,82
226,2021-07-21T17:56:07Z,2021-07-21T20:48:27Z,2021-07-21T20:48:27Z,104
225,2021-07-21T17:46:11Z,,2021-07-25T01:39:12Z,360
224,2021-07-21T16:47:52Z,2021-07-24T13:04:14Z,2021-07-24T13:04:15Z,47
223,2021-07-21T09:41:55Z,2021-07-21T14:56:47Z,2021-07-21T14:56:47Z,92
222,2021-07-20T23:28:32Z,,2021-07-21T00:08:02Z,115
221,2021-07-20T16:13:25Z,2021-07-21T14:13:34Z,2021-07-21T14:13:34Z,81
220,2021-07-20T15:19:39Z,2021-07-20T16:04:28Z,2021-07-20T16:04:28Z,58
218,2021-07-20T04:02:09Z,2021-07-20T12:04:23Z,2021-07-20T12:04:23Z,22
217,2021-07-19T16:57:35Z,2021-07-19T18:18:30Z,2021-07-19T18:18:30Z,23
216,2021-07-19T12:56:45Z,2021-07-19T14:22:16Z,2021-07-19T14:22:16Z,234
215,2021-07-19T12:50:27Z,2021-07-19T13:32:55Z,2021-07-19T13:32:55Z,47
214,2021-07-19T12:49:07Z,2021-07-19T14:25:54Z,2021-07-19T14:25:55Z,87
213,2021-07-19T12:32:53Z,2021-07-19T13:40:02Z,2021-07-19T13:40:02Z,48
212,2021-07-19T12:19:57Z,,2021-07-19T14:25:14Z,8
211,2021-07-19T11:10:03Z,2021-07-19T11:37:27Z,2021-07-19T11:37:27Z,122
210,2021-07-19T09:42:59Z,2021-07-19T11:38:05Z,2021-07-19T11:38:05Z,44
