number,created_at,merged_at,closed_at,desc_len
58,2017-09-19T20:07:12Z,2017-09-20T11:40:08Z,2017-09-20T11:40:08Z,455
55,2017-09-19T06:55:22Z,2017-09-19T12:34:34Z,2017-09-19T12:34:34Z,33
54,2017-09-18T16:50:39Z,,2017-09-21T12:28:21Z,30
53,2017-09-18T15:50:04Z,2017-09-20T11:38:54Z,2017-09-20T11:38:54Z,206
52,2017-09-18T14:04:45Z,2017-09-19T12:35:14Z,2017-09-19T12:35:14Z,32
51,2017-09-18T07:26:45Z,2017-09-18T12:36:35Z,2017-09-18T12:36:35Z,77
50,2017-09-18T01:51:41Z,2017-09-19T12:36:58Z,2017-09-19T12:36:58Z,189
49,2017-09-17T19:19:45Z,2017-09-22T10:58:32Z,2017-09-22T10:58:32Z,155
48,2017-09-17T04:17:57Z,,2017-09-17T14:40:43Z,38
47,2017-09-17T03:54:29Z,,2017-09-17T14:40:52Z,30
45,2017-09-16T17:38:58Z,,2017-09-18T12:38:51Z,46
44,2017-09-16T17:26:57Z,2017-09-19T12:43:27Z,2017-09-19T12:43:27Z,28
43,2017-09-16T16:02:53Z,2017-09-16T16:04:33Z,2017-09-16T16:04:33Z,24
41,2017-09-16T15:08:01Z,2017-09-16T15:43:20Z,2017-09-16T15:43:20Z,54
40,2017-09-15T18:26:48Z,2017-09-16T10:15:47Z,2017-09-16T10:15:47Z,159
38,2017-09-15T06:54:28Z,2017-09-16T10:30:49Z,2017-09-16T10:30:49Z,153
37,2017-09-14T21:34:42Z,2017-09-16T16:16:12Z,2017-09-16T16:16:12Z,243
36,2017-09-13T19:47:09Z,,2017-09-16T10:37:26Z,152
35,2017-09-13T14:29:57Z,2017-09-14T10:25:03Z,2017-09-14T10:25:04Z,162
34,2017-09-13T07:44:48Z,2017-09-16T11:33:38Z,2017-09-16T11:33:38Z,28
33,2017-09-12T15:58:48Z,2017-09-16T11:31:38Z,2017-09-16T11:31:38Z,79
32,2017-09-11T20:11:52Z,2017-09-16T11:34:17Z,2017-09-16T11:34:17Z,210
31,2017-09-10T13:00:19Z,2017-09-10T17:28:48Z,2017-09-10T17:28:48Z,18
