number,created_at,merged_at,closed_at,desc_len
147,2012-12-16T06:10:37Z,,2012-12-23T23:29:44Z,399
146,2012-12-15T17:37:55Z,,2012-12-15T17:52:08Z,113
145,2012-12-11T12:37:07Z,,2012-12-26T19:37:01Z,307
142,2012-12-04T01:10:26Z,,2012-12-04T01:41:08Z,160
141,2012-12-01T20:51:15Z,,2012-12-02T01:59:01Z,105
140,2012-11-26T11:16:05Z,,2012-11-26T17:39:44Z,83
136,2012-11-08T14:13:31Z,,2012-11-08T17:47:15Z,34
134,2012-10-27T01:54:29Z,,2012-10-27T02:58:44Z,588
133,2012-09-30T11:55:17Z,,2013-01-20T17:49:34Z,793
132,2012-09-28T00:35:32Z,,2012-09-28T16:52:14Z,27
131,2012-09-25T15:38:34Z,,2012-09-25T16:40:52Z,92
128,2012-09-17T06:51:28Z,,2012-09-17T09:13:38Z,391
127,2012-09-14T23:11:39Z,,2012-09-15T08:16:30Z,123
124,2012-09-09T20:56:07Z,,2012-12-02T02:10:31Z,604
111,2012-08-20T09:41:15Z,,2012-08-20T10:02:03Z,45
109,2012-08-17T12:21:38Z,,2012-08-17T12:58:55Z,31
108,2012-08-15T09:08:52Z,,2012-08-15T09:34:59Z,140
107,2012-08-10T15:33:58Z,,2012-08-10T22:46:48Z,142
106,2012-08-02T18:14:05Z,,2012-08-19T20:09:15Z,114
105,2012-07-18T08:37:44Z,,2012-07-18T08:53:08Z,49
104,2012-07-12T01:19:17Z,,2013-01-21T01:27:04Z,598
103,2012-07-07T15:46:39Z,,2012-07-08T22:44:32Z,26
99,2012-06-12T02:06:43Z,,2012-12-30T18:19:40Z,73
95,2012-05-22T20:09:08Z,,2012-08-14T23:07:39Z,350
93,2012-04-30T08:38:36Z,,2012-05-09T20:38:48Z,249
92,2012-04-10T21:16:44Z,,2012-08-06T02:49:10Z,323
91,2012-04-05T17:10:15Z,,2012-04-10T23:02:33Z,71
90,2012-04-02T15:13:25Z,,2012-04-06T10:10:38Z,162
89,2012-03-30T08:36:48Z,,2012-03-30T10:06:44Z,131
86,2012-03-09T21:19:11Z,,2012-03-09T22:08:54Z,463
82,2012-02-28T20:26:41Z,,2012-02-28T22:36:40Z,88
81,2012-02-28T14:59:01Z,,2012-02-28T15:51:52Z,186
79,2012-02-21T11:31:42Z,,2012-03-06T10:29:08Z,70
76,2012-02-09T13:39:35Z,,2012-02-09T14:29:09Z,33
67,2012-01-10T03:01:47Z,,2012-01-17T13:45:12Z,472
58,2011-11-04T15:13:09Z,,2011-11-04T15:41:18Z,27
57,2011-11-04T15:11:39Z,,2011-11-04T15:41:18Z,140
56,2011-11-03T15:41:54Z,,2011-11-03T16:11:52Z,318
54,2011-10-09T08:14:27Z,,2011-10-17T15:55:47Z,116
48,2011-09-23T22:18:48Z,,2011-09-26T08:12:01Z,158
45,2011-09-20T20:41:53Z,,2011-09-22T16:31:08Z,452
42,2011-09-16T11:17:40Z,,2012-01-17T14:23:33Z,151
38,2011-09-09T09:12:36Z,,2011-09-14T09:06:31Z,328
37,2011-09-08T09:03:28Z,,2011-09-22T16:31:42Z,423
35,2011-09-01T23:52:42Z,,2011-09-02T07:39:58Z,443
33,2011-08-31T04:19:46Z,,2011-08-31T21:27:31Z,179
32,2011-08-30T04:40:50Z,,2011-08-30T16:08:08Z,1094
31,2011-08-29T08:23:08Z,,2011-08-29T09:17:26Z,22
30,2011-08-29T07:50:12Z,,2011-08-29T09:19:07Z,86
26,2011-08-11T04:51:25Z,,2011-08-11T09:59:02Z,296
22,2011-07-07T10:27:07Z,,2011-07-13T02:20:47Z,45
15,2011-06-14T11:52:33Z,,2011-06-14T12:07:08Z,73
14,2011-06-10T23:23:01Z,2011-06-10T23:32:56Z,2011-06-10T23:32:56Z,538
9,2011-06-09T13:42:36Z,,2011-06-18T18:59:52Z,161
2,2011-05-31T11:51:59Z,,2011-05-31T12:33:25Z,231
1,2011-05-31T09:54:02Z,,2011-05-31T10:17:26Z,152
599,2016-06-25T03:53:37Z,,2016-06-30T05:38:39Z,95
598,2016-06-25T03:51:34Z,,2016-06-25T11:54:53Z,47
596,2016-06-01T16:04:04Z,2016-06-16T14:04:06Z,2016-06-16T14:04:07Z,273
594,2016-05-31T09:32:11Z,,2016-06-02T16:52:43Z,22
589,2016-04-17T11:44:55Z,2016-04-18T01:45:24Z,2016-04-18T01:45:24Z,49
588,2016-04-17T10:00:32Z,,2016-04-17T15:39:40Z,536
585,2016-04-15T13:02:23Z,,2016-04-16T23:10:23Z,155
584,2016-04-14T12:44:44Z,,2016-04-16T23:45:03Z,87
576,2016-04-11T03:31:52Z,2016-04-12T12:43:06Z,2016-04-12T12:43:06Z,73
575,2016-04-10T23:39:42Z,2016-04-11T23:35:02Z,2016-04-11T23:35:02Z,244
574,2016-04-10T23:15:07Z,2016-04-11T23:48:51Z,2016-04-11T23:48:51Z,265
573,2016-04-08T18:44:05Z,2016-04-11T12:59:42Z,2016-04-11T12:59:42Z,869
571,2016-04-07T15:10:09Z,2016-04-10T22:21:40Z,2016-04-10T22:21:40Z,153
569,2016-04-07T12:22:17Z,2016-04-10T23:08:40Z,2016-04-10T23:08:40Z,266
568,2016-04-07T02:51:08Z,2016-04-10T22:21:01Z,2016-04-10T22:21:01Z,263
564,2016-03-26T16:58:33Z,2016-03-30T02:06:29Z,2016-03-30T02:06:29Z,30
563,2016-03-26T16:56:41Z,2016-03-30T02:07:11Z,2016-03-30T02:07:11Z,66
561,2016-03-24T11:59:01Z,2016-03-24T12:56:09Z,2016-03-24T12:56:09Z,140
559,2016-03-24T01:56:52Z,,2016-03-25T03:39:08Z,76
