number,created_at,merged_at,closed_at,desc_len
726,2023-05-26T16:44:05Z,2023-05-26T16:49:33Z,2023-05-26T16:49:33Z,775
721,2023-05-25T16:57:06Z,2023-05-25T17:06:06Z,2023-05-25T17:06:06Z,29
720,2023-05-25T15:58:00Z,2023-05-26T13:24:04Z,2023-05-26T13:24:04Z,760
718,2023-05-25T07:20:34Z,2023-05-25T15:35:48Z,2023-05-25T15:35:48Z,238
715,2023-05-24T21:56:25Z,,2023-05-24T22:02:43Z,239
714,2023-05-24T21:54:33Z,2023-06-01T20:01:28Z,2023-06-01T20:01:28Z,1626
713,2023-05-24T20:23:52Z,2023-06-06T21:09:00Z,2023-06-06T21:09:00Z,901
712,2023-05-24T20:04:42Z,2023-05-28T23:57:01Z,2023-05-28T23:57:01Z,802
711,2023-05-24T19:16:08Z,2023-05-25T15:28:06Z,2023-05-25T15:28:06Z,208
706,2023-05-24T08:37:25Z,,2023-05-24T19:15:13Z,716
702,2023-05-23T22:20:10Z,2023-05-23T22:20:17Z,2023-05-23T22:20:17Z,48
701,2023-05-23T18:52:38Z,2023-05-23T18:53:02Z,2023-05-23T18:53:02Z,35
700,2023-05-23T17:57:24Z,2023-05-23T17:57:51Z,2023-05-23T17:57:51Z,67
699,2023-05-23T15:40:02Z,2023-05-23T16:15:54Z,2023-05-23T16:15:54Z,305
697,2023-05-23T13:55:47Z,2023-05-23T15:03:32Z,2023-05-23T15:03:32Z,610
691,2023-05-23T02:20:09Z,2023-05-23T02:20:16Z,2023-05-23T02:20:16Z,58
689,2023-05-23T00:28:56Z,2023-05-23T00:29:01Z,2023-05-23T00:29:01Z,15
688,2023-05-22T23:45:51Z,2023-05-23T00:14:53Z,2023-05-23T00:14:53Z,746
687,2023-05-22T23:29:49Z,,2023-05-22T23:30:14Z,735
686,2023-05-22T23:19:30Z,2023-05-25T15:34:07Z,2023-05-25T15:34:07Z,301
685,2023-05-22T21:59:58Z,2023-05-22T22:03:13Z,2023-05-22T22:03:13Z,613
684,2023-05-22T21:45:42Z,2023-05-25T15:34:22Z,2023-05-25T15:34:22Z,57
683,2023-05-22T21:37:33Z,2023-05-22T22:10:31Z,2023-05-22T22:10:31Z,64
681,2023-05-22T20:06:18Z,2023-05-22T20:08:04Z,2023-05-22T20:08:04Z,89
680,2023-05-22T19:09:32Z,,2023-05-22T21:37:53Z,657
679,2023-05-22T18:24:40Z,2023-05-22T21:22:06Z,2023-05-22T21:22:06Z,637
676,2023-05-22T15:45:00Z,2023-05-22T15:52:56Z,2023-05-22T15:52:57Z,838
675,2023-05-22T13:08:19Z,2023-05-22T18:25:43Z,2023-05-22T18:25:43Z,93
674,2023-05-22T12:40:32Z,2023-05-22T12:54:47Z,2023-05-22T12:54:47Z,35
671,2023-05-21T20:27:53Z,2023-05-22T13:04:26Z,2023-05-22T13:04:26Z,49
669,2023-05-21T19:54:58Z,2023-05-21T20:02:11Z,2023-05-21T20:02:11Z,735
666,2023-05-21T19:30:25Z,2023-05-22T13:04:37Z,2023-05-22T13:04:37Z,62
665,2023-05-21T16:20:08Z,2023-05-22T03:14:18Z,2023-05-22T03:14:18Z,782
663,2023-05-21T14:14:46Z,2023-05-21T14:27:05Z,2023-05-21T14:27:05Z,87
661,2023-05-21T13:06:26Z,2023-05-30T16:05:57Z,2023-05-30T16:05:57Z,2963
659,2023-05-21T11:21:53Z,,2023-05-22T21:23:06Z,920
656,2023-05-21T04:13:35Z,,2023-05-21T04:29:18Z,1228
654,2023-05-21T01:08:56Z,2023-05-21T01:16:15Z,2023-05-21T01:16:15Z,376
652,2023-05-20T23:26:38Z,,2023-07-12T06:01:23Z,2146
650,2023-05-20T18:22:04Z,2023-05-22T19:56:49Z,2023-05-22T19:56:49Z,261
645,2023-05-20T12:28:16Z,,2023-05-20T12:28:40Z,34
644,2023-05-19T20:55:09Z,2023-05-20T20:36:30Z,2023-05-20T20:36:30Z,1267
642,2023-05-19T13:30:21Z,2023-05-21T14:49:42Z,2023-05-21T14:49:42Z,405
641,2023-05-19T13:03:40Z,,2023-05-19T13:04:01Z,744
639,2023-05-19T01:26:43Z,,2023-05-19T14:20:37Z,727
