number,created_at,merged_at,closed_at,desc_len
8,2015-04-17T20:23:40Z,2015-04-17T20:32:04Z,2015-04-17T20:32:05Z,144
7,2015-04-17T20:15:46Z,2015-04-17T20:30:26Z,2015-04-17T20:30:26Z,502
1394,2023-07-30T20:27:16Z,2023-07-30T20:43:17Z,2023-07-30T20:43:17Z,53
1390,2023-07-11T16:30:29Z,,2023-07-12T09:13:49Z,67
1386,2023-07-10T05:56:06Z,,2023-07-10T06:09:44Z,95
1384,2023-07-09T10:13:45Z,,2023-07-09T10:14:00Z,96
1383,2023-07-09T06:54:44Z,,2023-07-09T10:04:04Z,95
1371,2023-04-05T23:48:57Z,,2023-04-08T18:18:31Z,700
1361,2023-02-23T17:25:46Z,,2023-06-14T00:20:07Z,136
1352,2023-01-01T17:34:19Z,,2023-07-29T18:45:54Z,344
1348,2022-12-09T21:19:01Z,,2022-12-22T20:52:50Z,138
1329,2022-09-07T19:26:09Z,2023-07-10T13:09:27Z,2023-07-10T13:09:27Z,440
1328,2022-09-07T19:20:52Z,2022-09-07T19:33:40Z,2022-09-07T19:33:40Z,33
1327,2022-08-31T20:37:32Z,2022-08-31T20:55:31Z,2022-08-31T20:55:31Z,30
1326,2022-08-31T14:12:38Z,,2022-08-31T18:02:46Z,21
1319,2022-07-12T19:28:17Z,2022-08-31T18:42:41Z,2022-08-31T18:42:41Z,21
1317,2022-07-01T08:27:51Z,2022-09-25T19:37:48Z,2022-09-25T19:37:48Z,170
1316,2022-06-29T12:18:56Z,2022-07-02T13:06:00Z,2022-07-02T13:06:00Z,1330
1314,2022-06-23T15:14:02Z,2022-06-28T16:28:38Z,2022-06-28T16:28:38Z,598
1310,2022-06-08T22:06:59Z,2022-06-11T17:13:03Z,2022-06-11T17:13:03Z,35
1309,2022-06-08T15:50:36Z,,2022-08-05T14:59:46Z,174
1308,2022-05-29T14:47:54Z,2022-06-05T20:58:32Z,2022-06-05T20:58:32Z,157
1307,2022-05-26T14:24:32Z,2022-05-29T19:40:31Z,2022-05-29T19:40:31Z,454
1302,2022-05-24T05:47:14Z,2022-07-03T11:22:36Z,2022-07-03T11:22:37Z,847
1301,2022-05-24T05:21:21Z,,2022-12-05T08:28:31Z,574
1298,2022-05-16T21:32:45Z,,2022-06-05T19:49:06Z,411
1293,2022-05-05T01:09:52Z,,2022-05-05T02:24:18Z,558
1292,2022-05-03T19:31:37Z,2022-06-13T21:29:15Z,2022-06-13T21:29:15Z,481
1291,2022-05-03T19:25:26Z,,2022-05-03T19:26:27Z,477
1287,2022-04-11T23:31:19Z,,2022-05-05T01:41:47Z,271
1283,2022-04-02T20:53:40Z,,2022-04-02T20:58:58Z,125
1279,2022-03-26T11:27:11Z,2022-03-27T20:06:40Z,2022-03-27T20:06:40Z,165
1276,2022-03-17T22:42:14Z,,2022-03-17T22:42:46Z,94
1275,2022-03-03T15:24:16Z,,2022-03-07T13:35:43Z,162
1272,2022-02-21T13:06:02Z,,2023-01-20T05:20:48Z,39
1270,2022-01-29T00:36:42Z,2022-01-30T21:34:39Z,2022-01-30T21:34:39Z,51
1267,2022-01-18T06:44:39Z,2022-01-20T21:01:22Z,2022-01-20T21:01:22Z,28
1266,2022-01-14T12:56:37Z,,2022-03-30T12:53:37Z,210
1264,2022-01-13T06:41:00Z,,2022-03-30T12:53:36Z,292
1253,2021-12-14T00:41:26Z,,2022-08-31T18:31:51Z,616
1251,2021-12-03T15:22:28Z,,2022-05-16T21:36:20Z,159
1249,2021-11-23T14:28:02Z,,2022-11-23T21:57:44Z,1132
1248,2021-11-23T14:12:06Z,2023-07-10T13:00:18Z,2023-07-10T13:00:18Z,472
1241,2021-10-21T22:21:46Z,2021-12-19T23:05:48Z,2021-12-19T23:05:48Z,610
1236,2021-09-16T15:01:06Z,,2022-05-21T11:45:52Z,193
1235,2021-09-16T14:36:37Z,,2022-05-21T11:45:52Z,225
1233,2021-09-05T13:41:04Z,2021-09-05T14:58:35Z,2021-09-05T14:58:35Z,222
1228,2021-08-16T22:35:57Z,2021-08-17T13:41:54Z,2021-08-17T13:41:54Z,67
1226,2021-08-05T12:13:39Z,2021-08-07T11:12:12Z,2021-08-07T11:12:12Z,166
1224,2021-08-02T18:24:04Z,2021-08-17T13:40:56Z,2021-08-17T13:40:57Z,48
1223,2021-07-29T22:36:07Z,2021-08-01T20:24:29Z,2021-08-01T20:24:29Z,65
1222,2021-07-29T22:27:43Z,2021-08-01T20:07:19Z,2021-08-01T20:07:19Z,50
1221,2021-07-28T20:53:08Z,2021-07-29T20:11:34Z,2021-07-29T20:11:34Z,181
1220,2021-07-23T18:09:12Z,2021-07-29T20:04:47Z,2021-07-29T20:04:47Z,64
1218,2021-07-21T11:37:14Z,2021-07-29T20:09:21Z,2021-07-29T20:09:21Z,132
1217,2021-07-18T13:51:19Z,2021-07-21T11:09:20Z,2021-07-21T11:09:20Z,50
1216,2021-07-17T12:21:27Z,2021-07-18T13:10:48Z,2021-07-18T13:10:48Z,290
1214,2021-07-14T11:17:50Z,2021-07-29T19:37:19Z,2021-07-29T19:37:19Z,140
1213,2021-07-13T20:43:43Z,2021-07-29T19:36:15Z,2021-07-29T19:36:15Z,57
1212,2021-07-01T21:09:37Z,2021-07-13T13:36:12Z,2021-07-13T13:36:12Z,63
1211,2021-06-28T00:37:56Z,2021-06-29T19:26:13Z,2021-06-29T19:26:13Z,390
1210,2021-06-28T00:21:57Z,2021-07-06T10:52:54Z,2021-07-06T10:52:55Z,784
1208,2021-06-15T05:26:04Z,2021-06-21T14:32:35Z,2021-06-21T14:32:35Z,157
1206,2021-06-08T19:55:53Z,2021-06-08T20:04:51Z,2021-06-08T20:04:51Z,62
1197,2021-05-06T13:50:16Z,,2021-06-29T19:22:58Z,52
1196,2021-05-05T22:45:24Z,2021-06-21T15:06:02Z,2021-06-21T15:06:02Z,369
1194,2021-05-02T21:13:01Z,,2021-06-21T19:50:45Z,23
1193,2021-05-02T21:10:42Z,2021-06-29T19:25:02Z,2021-06-29T19:25:02Z,31
1187,2021-04-17T12:55:53Z,2021-04-18T13:48:40Z,2021-04-18T13:48:40Z,276
1185,2021-04-06T17:55:42Z,,2021-06-29T19:22:21Z,294
1184,2021-04-06T13:54:14Z,2021-07-19T20:47:19Z,2021-07-19T20:47:20Z,487
1175,2021-03-13T06:01:58Z,2021-03-13T13:24:54Z,2021-03-13T13:24:54Z,240
1174,2021-03-11T17:05:44Z,2021-03-12T23:58:11Z,2021-03-12T23:58:11Z,775
1171,2021-03-03T18:04:16Z,2021-06-30T12:20:48Z,2021-06-30T12:20:48Z,232
1170,2021-02-22T22:00:17Z,2021-03-08T17:56:30Z,2021-03-08T17:56:30Z,95
1167,2021-02-14T01:17:05Z,2021-03-22T19:55:45Z,2021-03-22T19:55:45Z,206
1166,2021-02-13T12:05:43Z,,2021-02-14T00:54:06Z,481
1165,2021-02-04T21:17:32Z,2021-04-21T17:43:21Z,2021-04-21T17:43:21Z,528
1164,2021-01-29T21:00:23Z,2021-06-23T10:19:47Z,2021-06-23T10:19:47Z,16
1162,2021-01-25T20:57:08Z,,2021-01-28T16:34:24Z,714
1160,2021-01-20T01:15:46Z,,2021-01-25T15:34:16Z,194
1154,2021-01-03T19:22:51Z,2021-01-21T13:34:02Z,2021-01-21T13:34:02Z,37
1152,2020-12-27T22:37:35Z,2021-07-29T11:59:28Z,2021-07-29T11:59:28Z,186
1151,2020-12-27T22:30:20Z,2021-01-19T21:37:05Z,2021-01-19T21:37:06Z,61
1150,2020-12-23T22:52:48Z,2021-07-01T09:47:13Z,2021-07-01T09:47:13Z,70
1145,2020-11-10T16:46:07Z,2020-11-18T09:43:12Z,2020-11-18T09:43:13Z,47
1140,2020-10-19T15:44:47Z,,2020-10-19T19:17:00Z,133
1139,2020-10-15T07:16:21Z,,2020-10-15T13:12:41Z,27
1138,2020-10-08T20:58:15Z,2021-02-08T12:04:59Z,2021-02-08T12:04:59Z,42
1135,2020-10-01T04:39:46Z,2021-06-30T21:10:06Z,2021-06-30T21:10:06Z,91
1133,2020-09-21T16:04:09Z,2021-07-07T21:05:55Z,2021-07-07T21:05:55Z,1624
1131,2020-09-08T09:57:24Z,2021-07-15T19:20:09Z,2021-07-15T19:20:09Z,217
1125,2020-08-11T15:05:08Z,2020-11-03T17:27:09Z,2020-11-03T17:27:09Z,33
1124,2020-08-11T15:04:40Z,2020-11-03T17:26:14Z,2020-11-03T17:26:14Z,39
1119,2020-07-20T14:33:40Z,,2022-09-11T03:13:27Z,43
