number,created_at,merged_at,closed_at,desc_len
1490,2017-04-06T23:24:19Z,2017-04-12T05:33:22Z,2017-04-12T05:33:22Z,345
1489,2017-04-06T06:54:18Z,2017-04-07T06:42:42Z,2017-04-07T06:42:42Z,72
1488,2017-04-05T21:56:11Z,,2017-04-06T06:00:25Z,166
1487,2017-04-05T21:26:15Z,2017-04-06T06:41:56Z,2017-04-06T06:41:56Z,113
1486,2017-04-05T19:58:29Z,2017-04-08T07:47:58Z,2017-04-08T07:47:58Z,46
1485,2017-04-05T16:36:34Z,2017-04-06T06:04:42Z,2017-04-06T06:04:42Z,92
1481,2017-04-04T21:06:05Z,2017-04-05T05:36:28Z,2017-04-05T05:36:28Z,34
1480,2017-04-04T21:05:11Z,2017-04-05T05:38:38Z,2017-04-05T05:38:38Z,41
1479,2017-04-04T20:55:47Z,2017-04-06T06:08:21Z,2017-04-06T06:08:21Z,53
1478,2017-04-04T19:02:09Z,2017-04-05T05:43:33Z,2017-04-05T05:43:33Z,42
1477,2017-04-03T15:07:23Z,2017-04-05T05:51:58Z,2017-04-05T05:51:58Z,90
1476,2017-04-02T09:27:21Z,2017-07-10T02:43:09Z,2017-07-10T02:43:09Z,215
1475,2017-04-02T08:31:42Z,2017-04-03T05:11:41Z,2017-04-03T05:11:41Z,62
1474,2017-04-02T07:49:19Z,2017-04-02T08:22:26Z,2017-04-02T08:22:26Z,70
1473,2017-04-02T06:35:44Z,2017-04-06T06:06:22Z,2017-04-06T06:06:23Z,139
1472,2017-04-02T01:08:22Z,2017-06-28T07:10:19Z,2017-06-28T07:10:19Z,88
1471,2017-04-01T23:34:19Z,2021-09-29T06:06:26Z,2021-09-29T06:06:26Z,44
1470,2017-04-01T23:26:05Z,2017-04-02T03:02:57Z,2017-04-02T03:02:58Z,191
1468,2017-03-29T17:30:10Z,2017-03-30T07:24:51Z,2017-03-30T07:24:51Z,46
1467,2017-03-29T10:14:43Z,2017-03-30T23:50:45Z,2017-03-30T23:50:46Z,45
1466,2017-03-29T10:05:40Z,2017-03-30T07:18:26Z,2017-03-30T07:18:26Z,101
1465,2017-03-29T09:54:47Z,2017-03-31T07:14:12Z,2017-03-31T07:14:13Z,151
1464,2017-03-29T09:52:15Z,2017-03-30T07:23:38Z,2017-03-30T07:23:38Z,68
1463,2017-03-28T16:42:25Z,2017-04-28T23:27:10Z,2017-04-28T23:27:10Z,439
1462,2017-03-28T15:45:51Z,2019-01-21T00:16:16Z,2019-01-21T00:16:16Z,235
1461,2017-03-28T14:48:12Z,2017-03-30T01:49:31Z,2017-03-30T01:49:31Z,105
1460,2017-03-28T08:10:13Z,,2017-03-29T08:38:23Z,31
1459,2017-03-28T07:28:29Z,2017-03-28T19:33:23Z,2017-03-28T19:33:23Z,45
1458,2017-03-27T18:04:19Z,2017-03-30T06:14:31Z,2017-03-30T06:14:31Z,160
1456,2017-03-25T22:12:39Z,2017-03-28T07:48:19Z,2017-03-28T07:48:19Z,51
1455,2017-03-25T09:00:16Z,2017-03-26T00:44:43Z,2017-03-26T00:44:44Z,48
1454,2017-03-23T19:46:49Z,2017-03-24T06:38:33Z,2017-03-24T06:38:33Z,58
1453,2017-03-23T07:00:47Z,2017-03-27T01:11:22Z,2017-03-27T01:11:22Z,100
1452,2017-03-23T06:15:07Z,2017-03-23T20:17:42Z,2017-03-23T20:17:42Z,121
1449,2017-03-22T20:53:26Z,2017-03-23T07:15:38Z,2017-03-23T07:15:38Z,21
1448,2017-03-22T20:47:27Z,2017-03-22T22:01:38Z,2017-03-22T22:01:38Z,109
1447,2017-03-22T20:38:38Z,2017-03-23T05:49:01Z,2017-03-23T05:49:01Z,17
1443,2017-03-20T21:07:00Z,2017-03-22T07:02:58Z,2017-03-22T07:02:59Z,62
1442,2017-03-20T20:57:14Z,2017-03-21T18:26:52Z,2017-03-21T18:26:52Z,33
1441,2017-03-20T20:24:29Z,2017-03-22T05:57:17Z,2017-03-22T05:57:17Z,33
1439,2017-03-19T22:24:29Z,2017-03-22T21:02:35Z,2017-03-22T21:02:35Z,435
1438,2017-03-19T20:51:00Z,2017-03-22T06:29:36Z,2017-03-22T06:29:36Z,43
1437,2017-03-19T20:23:04Z,2017-03-23T19:26:13Z,2017-03-23T19:26:13Z,914
1434,2017-03-17T06:57:09Z,2017-03-17T21:27:38Z,2017-03-17T21:27:38Z,59
1431,2017-03-15T20:29:29Z,2017-03-19T07:00:53Z,2017-03-19T07:00:53Z,305
1430,2017-03-15T20:16:34Z,2017-03-19T06:59:25Z,2017-03-19T06:59:25Z,446
1427,2017-03-13T10:16:37Z,2017-03-14T06:40:44Z,2017-03-14T06:40:44Z,15
1424,2017-03-10T10:03:28Z,2017-03-11T19:41:19Z,2017-03-11T19:41:19Z,25
1423,2017-03-09T20:30:19Z,,2017-03-11T19:44:34Z,219
1422,2017-03-09T17:11:27Z,2018-05-02T04:18:04Z,2018-05-02T04:18:05Z,72
1421,2017-03-09T15:11:24Z,2017-03-15T06:09:03Z,2017-03-15T06:09:03Z,32
1420,2017-03-09T15:02:36Z,2017-03-11T19:42:38Z,2017-03-11T19:42:38Z,29
1419,2017-03-09T14:51:24Z,,2017-03-11T20:35:03Z,62
1417,2017-03-08T13:05:36Z,2017-03-11T19:40:00Z,2017-03-11T19:40:00Z,395
1415,2017-03-07T00:19:59Z,2017-03-19T07:03:10Z,2017-03-19T07:03:10Z,100
1408,2017-02-26T17:42:49Z,2017-03-01T08:57:06Z,2017-03-01T08:57:06Z,394
1403,2017-02-20T03:34:34Z,2017-02-21T01:58:53Z,2017-02-21T01:58:53Z,179
1397,2017-02-12T10:01:17Z,2017-02-18T08:52:46Z,2017-02-18T08:52:46Z,169
1392,2017-02-02T16:01:44Z,,2017-03-13T00:08:47Z,145
1387,2017-01-18T06:19:36Z,,2021-10-04T05:58:00Z,155
