number,created_at,merged_at,closed_at,desc_len
1953,2018-07-18T16:52:38Z,,2019-09-15T07:33:41Z,296
1950,2018-07-17T14:26:03Z,2018-07-17T15:17:57Z,2018-07-17T15:17:57Z,157
1949,2018-07-16T02:39:16Z,,2019-02-16T11:58:02Z,1045
1941,2018-07-10T22:22:49Z,2018-07-30T11:52:19Z,2018-07-30T11:52:19Z,1127
1935,2018-07-09T14:09:09Z,,2019-02-27T14:07:20Z,231
1932,2018-07-08T11:56:35Z,2018-07-08T13:24:12Z,2018-07-08T13:24:12Z,29
1929,2018-07-05T13:04:18Z,,2018-07-08T09:04:03Z,134
1926,2018-07-04T20:28:32Z,,2018-08-06T12:35:49Z,110
1924,2018-07-04T12:52:46Z,,2019-06-14T12:32:57Z,279
1919,2018-07-02T17:10:54Z,2018-07-02T17:43:34Z,2018-07-02T17:43:34Z,101
1916,2018-06-30T08:52:21Z,2018-06-30T08:53:36Z,2018-06-30T08:53:36Z,83
1914,2018-06-29T13:59:39Z,,2018-06-29T14:38:46Z,294
1856,2018-06-03T21:11:27Z,,2018-06-11T23:18:49Z,697
1847,2018-05-29T21:09:28Z,2018-05-30T08:28:28Z,2018-05-30T08:28:28Z,706
1843,2018-05-27T13:13:59Z,,2019-02-27T13:58:12Z,124
1838,2018-05-26T11:47:56Z,,2018-06-07T17:09:19Z,212
1830,2018-05-21T22:16:50Z,,2018-05-28T13:28:13Z,186
1827,2018-05-20T23:50:28Z,,2018-05-21T08:41:11Z,1084
1822,2018-05-16T20:56:22Z,,2018-05-17T12:23:45Z,418
1806,2018-05-10T15:34:19Z,,2018-06-07T17:10:43Z,399
1803,2018-05-09T12:12:55Z,,2018-05-09T13:49:03Z,497
1796,2018-05-05T01:25:58Z,,2018-05-14T15:53:52Z,234
1795,2018-05-04T19:12:52Z,,2018-05-04T20:00:38Z,73
1790,2018-05-03T09:12:37Z,,2018-05-07T09:54:02Z,196
1778,2018-04-27T01:46:40Z,,2018-07-03T07:38:14Z,565
1776,2018-04-26T18:47:16Z,,2018-11-15T17:13:19Z,753
1775,2018-04-25T15:49:32Z,2018-04-26T07:51:46Z,2018-04-26T07:51:46Z,57
1774,2018-04-25T15:33:35Z,2018-04-25T15:40:41Z,2018-04-25T15:40:41Z,154
1773,2018-04-25T07:38:12Z,2018-04-25T07:40:15Z,2018-04-25T07:40:15Z,18
1754,2018-04-17T15:06:41Z,,2018-04-17T15:25:50Z,596
1749,2018-04-13T22:06:55Z,2018-04-14T08:28:11Z,2018-04-14T08:28:12Z,29
1747,2018-04-13T19:31:07Z,2018-04-19T14:17:58Z,2018-04-19T14:17:58Z,195
1744,2018-04-12T11:13:28Z,2018-04-12T11:18:27Z,2018-04-12T11:18:27Z,31
1740,2018-04-10T17:01:58Z,,2018-04-10T21:49:58Z,70
1721,2018-04-03T22:04:36Z,2018-04-03T22:09:36Z,2018-04-03T22:09:36Z,37
1709,2018-03-29T13:22:18Z,,2018-04-02T15:44:43Z,298
1708,2018-03-29T12:29:31Z,,2018-04-02T15:36:01Z,279
1692,2018-03-23T10:35:29Z,,2018-10-15T15:22:20Z,61
1687,2018-03-19T18:52:45Z,,2018-05-07T09:53:15Z,301
1686,2018-03-19T14:17:28Z,2018-03-19T15:48:04Z,2018-03-19T15:48:04Z,520
1677,2018-03-12T13:13:36Z,,2018-09-09T12:42:32Z,1053
