number,created_at,merged_at,closed_at,desc_len
152,2023-02-22T04:42:23Z,2023-03-28T23:11:05Z,2023-03-28T23:11:06Z,154
151,2023-02-21T08:38:01Z,2023-03-16T23:15:10Z,2023-03-16T23:15:10Z,29
150,2023-02-20T10:26:54Z,2023-03-01T12:02:20Z,2023-03-01T12:02:20Z,163
146,2023-02-19T02:00:39Z,2023-03-16T23:11:05Z,2023-03-16T23:11:05Z,660
144,2023-02-18T05:10:45Z,,2023-02-18T05:11:51Z,11
140,2023-02-16T17:46:21Z,2023-03-03T16:55:27Z,2023-03-03T16:55:27Z,583
138,2023-02-16T15:09:49Z,2023-02-16T15:36:06Z,2023-02-16T15:36:07Z,27
136,2023-02-15T22:00:14Z,2023-02-15T23:20:07Z,2023-02-15T23:20:07Z,20
133,2023-02-14T22:25:26Z,2023-03-10T09:02:25Z,2023-03-10T09:02:25Z,226
132,2023-02-14T16:34:11Z,2023-02-14T18:29:08Z,2023-02-14T18:29:08Z,57
131,2023-02-14T02:24:40Z,2023-02-15T16:04:02Z,2023-02-15T16:04:02Z,641
130,2023-02-14T00:59:11Z,2023-02-14T00:59:23Z,2023-02-14T00:59:23Z,64
129,2023-02-14T00:56:07Z,2023-02-14T00:56:13Z,2023-02-14T00:56:13Z,33
128,2023-02-14T00:51:36Z,,2023-02-14T00:51:50Z,47
126,2023-02-12T00:30:00Z,2023-02-13T17:36:15Z,2023-02-13T17:36:15Z,16
125,2023-02-10T23:10:59Z,,2023-02-10T23:18:06Z,98
122,2023-02-09T10:36:35Z,2023-02-13T18:33:00Z,2023-02-13T18:33:01Z,101
121,2023-02-09T10:15:07Z,2023-02-09T10:15:15Z,2023-02-09T10:15:15Z,53
120,2023-02-08T06:50:57Z,2023-02-09T09:27:11Z,2023-02-09T09:27:11Z,167
119,2023-02-08T01:12:52Z,,2023-02-08T01:13:09Z,64
117,2023-02-07T00:53:30Z,2023-02-07T17:23:25Z,2023-02-07T17:23:25Z,59
115,2023-02-06T23:48:55Z,,2023-02-16T15:36:20Z,38
114,2023-02-06T21:53:14Z,2023-02-07T17:22:42Z,2023-02-07T17:22:42Z,20
109,2023-02-04T19:58:26Z,2023-02-05T18:53:07Z,2023-02-05T18:53:07Z,155
105,2023-02-04T05:40:37Z,2023-02-06T17:37:27Z,2023-02-06T17:37:27Z,51
104,2023-02-03T22:57:33Z,2023-02-06T17:30:48Z,2023-02-06T17:30:48Z,137
103,2023-02-03T22:31:26Z,,2023-03-28T22:57:06Z,47
102,2023-02-03T21:42:33Z,2023-02-03T21:43:51Z,2023-02-03T21:43:51Z,29
100,2023-02-01T13:55:11Z,2023-02-09T18:35:03Z,2023-02-09T18:35:03Z,485
97,2023-01-30T15:10:22Z,2023-02-09T10:35:42Z,2023-02-09T10:35:42Z,25
95,2023-01-30T08:28:41Z,2023-02-06T17:26:05Z,2023-02-06T17:26:05Z,115
93,2023-01-29T16:56:39Z,2023-02-05T18:51:14Z,2023-02-05T18:51:14Z,17
92,2023-01-29T01:14:04Z,2023-02-06T17:24:43Z,2023-02-06T17:24:43Z,126
91,2023-01-28T00:28:02Z,2023-01-28T00:28:11Z,2023-01-28T00:28:11Z,54
89,2023-01-25T01:15:30Z,2023-01-26T17:44:09Z,2023-01-26T17:44:09Z,39
86,2023-01-21T03:58:55Z,2023-01-26T17:43:36Z,2023-01-26T17:43:36Z,57
85,2023-01-20T22:43:45Z,2023-01-20T22:43:56Z,2023-01-20T22:43:56Z,272
84,2023-01-19T02:23:26Z,2023-01-19T18:32:00Z,2023-01-19T18:32:00Z,41
83,2023-01-19T00:12:21Z,2023-01-19T22:32:55Z,2023-01-19T22:32:55Z,49
81,2023-01-18T10:24:09Z,2023-01-19T17:37:38Z,2023-01-19T17:37:38Z,416
80,2023-01-17T21:24:30Z,2023-01-17T21:24:37Z,2023-01-17T21:24:37Z,21
77,2023-01-16T07:16:35Z,2023-01-19T22:38:36Z,2023-01-19T22:38:36Z,151
72,2023-01-12T04:14:53Z,,2023-01-13T12:35:10Z,212
68,2023-01-11T16:46:25Z,2023-01-11T16:46:39Z,2023-01-11T16:46:39Z,63
67,2023-01-11T00:03:29Z,2023-01-11T00:03:41Z,2023-01-11T00:03:41Z,59
66,2023-01-10T18:38:47Z,2023-01-10T18:39:15Z,2023-01-10T18:39:15Z,43
64,2023-01-10T12:05:50Z,2023-01-10T18:40:20Z,2023-01-10T18:40:20Z,12
63,2023-01-10T06:25:37Z,,2023-01-10T18:40:54Z,60
62,2023-01-10T03:34:43Z,,2023-01-10T18:55:24Z,47
58,2023-01-06T20:06:04Z,2023-01-06T20:56:08Z,2023-01-06T20:56:08Z,103
56,2023-01-05T09:56:40Z,2023-02-06T17:20:01Z,2023-02-06T17:20:01Z,231
54,2023-01-04T03:00:25Z,2023-01-09T00:06:09Z,2023-01-09T00:06:09Z,50
50,2022-12-27T08:57:09Z,2023-01-14T03:57:21Z,2023-01-14T03:57:21Z,136
49,2022-12-27T00:42:20Z,,2023-01-10T18:43:26Z,172
48,2022-12-23T21:03:50Z,,2023-01-10T18:45:01Z,488
47,2022-12-23T20:46:49Z,,2023-01-10T18:47:20Z,228
46,2022-12-23T20:30:48Z,2023-01-09T00:07:43Z,2023-01-09T00:07:43Z,345
42,2022-12-15T18:00:13Z,2022-12-15T18:00:26Z,2022-12-15T18:00:26Z,51
40,2022-12-10T00:18:14Z,2022-12-12T19:22:42Z,2022-12-12T19:22:42Z,15
39,2022-12-06T16:10:31Z,2022-12-06T20:39:06Z,2022-12-06T20:39:06Z,48
38,2022-11-29T00:36:09Z,2022-11-29T01:34:07Z,2022-11-29T01:34:07Z,107
36,2022-11-18T17:29:15Z,2022-12-12T19:24:06Z,2022-12-12T19:24:06Z,189
35,2022-11-15T21:28:23Z,2022-11-15T21:29:08Z,2022-11-15T21:29:08Z,162
34,2022-11-06T14:55:01Z,2022-11-07T16:59:13Z,2022-11-07T16:59:13Z,70
33,2022-11-05T01:36:09Z,2022-11-05T01:37:09Z,2022-11-05T01:37:09Z,334
32,2022-11-03T18:22:26Z,2022-11-03T18:22:49Z,2022-11-03T18:22:49Z,41
30,2022-10-28T18:56:32Z,2022-10-28T22:30:31Z,2022-10-28T22:30:31Z,120
29,2022-10-24T23:31:58Z,2022-10-24T23:33:03Z,2022-10-24T23:33:03Z,32
28,2022-10-24T21:04:04Z,2022-10-24T21:04:45Z,2022-10-24T21:04:46Z,63
27,2022-10-24T20:47:44Z,2022-10-24T20:48:15Z,2022-10-24T20:48:15Z,24
26,2022-10-20T22:47:29Z,2022-10-27T00:50:50Z,2022-10-27T00:50:50Z,379
24,2022-10-12T22:54:45Z,2022-10-12T22:54:52Z,2022-10-12T22:54:52Z,34
22,2022-10-01T06:13:10Z,2022-10-01T06:13:54Z,2022-10-01T06:13:54Z,32
21,2022-09-28T20:12:37Z,2022-09-29T17:29:20Z,2022-09-29T17:29:20Z,324
19,2022-09-19T12:42:57Z,2022-09-19T17:28:42Z,2022-09-19T17:28:42Z,51
18,2022-09-15T17:47:28Z,2022-09-15T17:47:41Z,2022-09-15T17:47:41Z,60
17,2022-09-13T04:21:40Z,2022-09-13T04:21:47Z,2022-09-13T04:21:47Z,34
16,2022-09-13T02:50:07Z,2022-09-13T02:50:13Z,2022-09-13T02:50:13Z,25
15,2022-09-13T01:49:25Z,2022-09-13T01:49:33Z,2022-09-13T01:49:33Z,40
14,2022-09-13T01:49:04Z,2022-09-13T01:49:12Z,2022-09-13T01:49:12Z,34
12,2022-09-02T19:20:03Z,2022-09-02T19:20:11Z,2022-09-02T19:20:11Z,47
11,2022-09-02T19:19:40Z,2022-09-02T19:19:50Z,2022-09-02T19:19:50Z,22
8,2022-08-03T00:45:22Z,2022-08-03T00:52:20Z,2022-08-03T00:52:20Z,25
7,2022-07-28T00:35:56Z,,2022-11-24T03:22:40Z,138
6,2022-07-21T00:45:25Z,2022-07-21T00:45:39Z,2022-07-21T00:45:39Z,174
5,2022-07-12T23:23:08Z,2022-07-12T23:23:33Z,2022-07-12T23:23:33Z,413
4,2022-06-20T16:45:13Z,2022-06-20T20:16:49Z,2022-06-20T20:16:49Z,530
3,2022-06-10T00:46:56Z,2022-06-10T02:08:07Z,2022-06-10T02:08:08Z,17
2,2022-06-09T21:29:18Z,2022-06-10T00:32:27Z,2022-06-10T00:32:27Z,91
1,2022-05-31T21:06:15Z,2022-06-03T00:05:29Z,2022-06-03T00:05:29Z,38
815,2023-10-31T18:21:10Z,2023-10-31T18:21:46Z,2023-10-31T18:21:46Z,51
814,2023-10-30T11:55:26Z,,2023-10-31T17:44:15Z,50
811,2023-10-29T06:11:51Z,2023-10-31T18:37:00Z,2023-10-31T18:37:00Z,49
809,2023-10-24T06:23:51Z,2023-10-31T18:38:12Z,2023-10-31T18:38:13Z,430
808,2023-10-23T14:05:06Z,,2023-10-27T17:41:06Z,419
806,2023-10-20T15:37:03Z,2023-10-31T18:39:09Z,2023-10-31T18:39:09Z,90
805,2023-10-19T17:59:25Z,,2023-10-31T17:41:31Z,1686
803,2023-10-19T10:27:55Z,2023-10-19T17:42:13Z,2023-10-19T17:42:13Z,161
801,2023-10-19T04:32:48Z,2023-10-31T02:00:48Z,2023-10-31T02:00:48Z,322
800,2023-10-18T21:08:29Z,2023-10-18T23:13:59Z,2023-10-18T23:13:59Z,80
798,2023-10-18T13:05:04Z,2023-10-18T23:10:29Z,2023-10-18T23:10:29Z,93
796,2023-10-18T08:40:40Z,2023-10-18T23:09:54Z,2023-10-18T23:09:54Z,442
795,2023-10-17T23:07:23Z,2023-10-18T00:39:43Z,2023-10-18T00:39:43Z,96
794,2023-10-17T18:48:13Z,,2023-10-17T20:41:04Z,1535
793,2023-10-17T12:07:02Z,,2023-10-17T20:34:40Z,565
792,2023-10-17T02:55:50Z,,2023-10-17T20:43:00Z,1525
791,2023-10-16T14:33:40Z,2023-10-16T17:21:25Z,2023-10-16T17:21:25Z,304
790,2023-10-16T02:43:00Z,2023-10-18T17:59:56Z,2023-10-18T17:59:56Z,2136
788,2023-10-15T11:57:18Z,,2023-10-16T17:30:02Z,369
787,2023-10-14T18:23:39Z,2023-10-17T00:52:59Z,2023-10-17T00:52:59Z,88
785,2023-10-14T13:50:32Z,,2023-10-14T13:53:28Z,2160
784,2023-10-13T00:17:00Z,2023-10-13T00:18:14Z,2023-10-13T00:18:14Z,63
783,2023-10-12T23:55:18Z,2023-10-12T23:57:03Z,2023-10-12T23:57:03Z,64
782,2023-10-12T23:01:32Z,2023-10-12T23:50:55Z,2023-10-12T23:50:55Z,171
781,2023-10-12T17:21:13Z,,2023-10-12T21:05:25Z,321
779,2023-10-12T02:29:53Z,2023-10-12T02:30:36Z,2023-10-12T02:30:36Z,117
778,2023-10-12T02:21:41Z,2023-10-12T02:21:52Z,2023-10-12T02:21:52Z,137
777,2023-10-12T00:43:12Z,2023-10-12T02:22:25Z,2023-10-12T02:22:25Z,111
776,2023-10-11T23:51:48Z,2023-10-12T00:40:53Z,2023-10-12T00:40:53Z,901
775,2023-10-11T18:19:29Z,2023-10-11T21:38:57Z,2023-10-11T21:38:57Z,351
774,2023-10-11T07:47:06Z,,2023-10-11T21:58:16Z,1353
773,2023-10-10T21:18:27Z,2023-10-11T21:54:18Z,2023-10-11T21:54:18Z,14953
771,2023-10-09T21:31:14Z,,2023-10-18T01:28:03Z,389
770,2023-10-09T14:33:31Z,2023-10-11T21:53:37Z,2023-10-11T21:53:37Z,291
765,2023-10-06T20:17:03Z,2023-10-07T00:12:04Z,2023-10-07T00:12:04Z,162
763,2023-10-05T20:40:50Z,2023-10-07T00:11:08Z,2023-10-07T00:11:08Z,295
762,2023-10-05T19:12:58Z,2023-10-17T00:19:17Z,2023-10-17T00:19:17Z,2068
761,2023-10-05T13:45:09Z,2023-10-05T18:04:53Z,2023-10-05T18:04:54Z,12503
760,2023-10-04T22:14:20Z,,2023-10-04T22:16:08Z,1354
759,2023-10-04T20:20:18Z,2023-10-11T21:51:34Z,2023-10-11T21:51:34Z,53
758,2023-10-04T13:53:43Z,2023-10-05T18:04:34Z,2023-10-05T18:04:34Z,1349
757,2023-10-03T22:42:39Z,2023-10-05T18:03:24Z,2023-10-05T18:03:24Z,72
756,2023-10-03T22:05:12Z,2023-10-04T01:08:37Z,2023-10-04T01:08:37Z,7208
755,2023-10-03T22:05:05Z,2023-10-04T01:08:17Z,2023-10-04T01:08:17Z,14995
754,2023-10-03T22:05:04Z,2023-10-04T01:08:33Z,2023-10-04T01:08:33Z,6906
753,2023-10-03T02:07:25Z,,2023-10-18T00:59:42Z,1073
752,2023-10-02T23:35:12Z,2023-10-03T22:04:35Z,2023-10-03T22:04:35Z,7872
751,2023-10-02T19:51:17Z,2023-10-02T19:51:36Z,2023-10-02T19:51:36Z,105
750,2023-10-02T11:45:03Z,,2023-10-02T11:45:16Z,1201
747,2023-09-29T19:28:54Z,2023-09-30T01:22:39Z,2023-09-30T01:22:39Z,937
746,2023-09-29T10:24:05Z,2023-09-30T01:23:01Z,2023-09-30T01:23:01Z,1279
745,2023-09-28T15:30:38Z,2023-09-29T01:00:05Z,2023-09-29T01:00:05Z,482
744,2023-09-28T11:40:19Z,2023-09-29T00:53:37Z,2023-09-29T00:53:37Z,93
742,2023-09-28T08:08:00Z,2023-09-29T00:50:32Z,2023-09-29T00:50:32Z,41
741,2023-09-27T23:12:15Z,2023-09-27T23:12:31Z,2023-09-27T23:12:32Z,160
740,2023-09-27T21:14:34Z,2023-09-27T21:14:52Z,2023-09-27T21:14:52Z,152
739,2023-09-27T17:12:22Z,2023-09-27T17:41:49Z,2023-09-27T17:41:50Z,60
738,2023-09-27T17:04:50Z,,2023-09-27T17:12:33Z,238
737,2023-09-27T13:27:55Z,2023-09-27T17:46:58Z,2023-09-27T17:46:58Z,318
736,2023-09-26T21:36:01Z,2023-09-26T21:36:48Z,2023-09-26T21:36:48Z,76
735,2023-09-25T19:08:27Z,2023-09-25T19:09:40Z,2023-09-25T19:09:40Z,257
734,2023-09-24T15:58:09Z,2023-09-26T23:22:58Z,2023-09-26T23:22:58Z,1156
733,2023-09-24T08:16:52Z,2023-09-26T23:25:56Z,2023-09-26T23:25:56Z,126
732,2023-09-22T15:53:37Z,2023-09-22T15:59:56Z,2023-09-22T15:59:56Z,81
731,2023-09-22T15:51:56Z,2023-09-22T15:52:03Z,2023-09-22T15:52:03Z,25
730,2023-09-22T00:32:20Z,2023-09-22T00:32:45Z,2023-09-22T00:32:45Z,27
729,2023-09-21T23:23:36Z,2023-09-22T17:49:08Z,2023-09-22T17:49:08Z,33
