number,created_at,merged_at,closed_at,desc_len
923,2021-07-21T03:23:17Z,2021-07-21T04:46:34Z,2021-07-21T04:46:34Z,137
906,2021-06-25T08:15:55Z,,2021-08-03T17:20:50Z,19
905,2021-06-20T22:11:03Z,,2021-06-20T22:11:13Z,4
900,2021-05-09T09:34:49Z,2021-08-03T17:20:11Z,2021-08-03T17:20:11Z,429
889,2021-04-02T19:20:24Z,2021-04-10T03:34:57Z,2021-04-10T03:34:57Z,612
888,2021-03-31T17:35:16Z,2021-03-31T17:43:43Z,2021-03-31T17:43:43Z,399
885,2021-03-25T20:38:37Z,2021-03-26T06:06:39Z,2021-03-26T06:06:39Z,55
883,2021-03-24T18:47:18Z,2021-03-24T19:43:36Z,2021-03-24T19:43:36Z,115
880,2021-03-14T23:24:51Z,,2021-03-15T01:33:02Z,40
877,2021-03-11T10:10:45Z,,2021-03-19T13:40:02Z,110
873,2021-03-08T19:34:00Z,2021-03-09T17:09:49Z,2021-03-09T17:09:49Z,992
872,2021-03-04T07:58:42Z,,2021-03-31T01:52:40Z,105
871,2021-03-03T15:02:22Z,2021-03-03T19:38:06Z,2021-03-03T19:38:06Z,337
863,2021-02-14T17:46:35Z,2021-02-16T08:17:10Z,2021-02-16T08:17:10Z,101
860,2021-02-08T21:36:42Z,2021-02-16T08:18:44Z,2021-02-16T08:18:44Z,440
857,2021-01-26T18:59:21Z,2021-01-29T08:26:13Z,2021-01-29T08:26:13Z,222
854,2021-01-18T06:20:34Z,2021-01-18T06:37:16Z,2021-01-18T06:37:16Z,154
850,2021-01-02T10:17:09Z,,2021-02-27T14:49:05Z,36
843,2020-12-28T04:49:58Z,,2021-01-18T14:33:48Z,253
840,2020-12-21T03:20:12Z,2020-12-21T03:33:06Z,2020-12-21T03:33:06Z,29
839,2020-12-18T18:52:06Z,2020-12-20T14:50:38Z,2020-12-20T14:50:38Z,48
837,2020-12-17T13:31:38Z,2020-12-20T16:50:35Z,2020-12-20T16:50:35Z,674
834,2020-12-11T18:18:01Z,2020-12-11T21:15:42Z,2020-12-11T21:15:42Z,132
827,2020-11-22T13:39:15Z,,2020-11-22T13:41:03Z,65
826,2020-11-22T13:33:38Z,2020-11-22T19:33:39Z,2020-11-22T19:33:39Z,107
809,2020-10-27T17:25:27Z,,2020-10-28T04:01:54Z,57
808,2020-10-15T05:41:04Z,,2020-10-15T05:48:47Z,9
806,2020-10-06T06:33:34Z,,2020-10-07T04:19:20Z,107
805,2020-10-06T00:11:30Z,2020-10-21T00:46:29Z,2020-10-21T00:46:29Z,244
803,2020-10-02T02:37:29Z,,2020-10-02T03:14:15Z,99
802,2020-10-01T17:32:51Z,,2020-10-02T02:32:50Z,31
800,2020-09-27T23:03:22Z,2020-09-27T23:08:05Z,2020-09-27T23:08:05Z,239
798,2020-09-25T11:46:55Z,,2020-12-19T12:45:58Z,286
792,2020-09-18T11:42:52Z,,2021-08-03T17:22:58Z,101
788,2020-09-16T05:29:50Z,2020-09-16T06:12:22Z,2020-09-16T06:12:23Z,1351
786,2020-09-14T05:53:37Z,2020-09-16T05:47:48Z,2020-09-16T05:47:49Z,747
782,2020-09-04T15:46:15Z,2020-09-11T17:44:28Z,2020-09-11T17:44:28Z,106
779,2020-09-03T09:06:38Z,2020-09-04T00:27:42Z,2020-09-04T00:27:42Z,122
776,2020-08-30T15:29:05Z,,2020-10-11T14:29:55Z,167
774,2020-08-24T08:25:26Z,,2020-08-24T08:25:44Z,60
771,2020-08-16T06:41:22Z,2020-08-16T22:20:23Z,2020-08-16T22:20:23Z,34
770,2020-08-15T15:58:10Z,,2020-08-15T17:47:04Z,9
764,2020-08-02T08:02:00Z,2020-08-16T05:46:19Z,2020-08-16T05:46:20Z,42
758,2020-07-28T12:38:32Z,,2020-08-16T08:47:18Z,74
757,2020-07-25T17:22:34Z,2020-07-25T17:36:20Z,2020-07-25T17:36:20Z,166
755,2020-07-23T08:01:24Z,,2020-07-23T08:01:38Z,2
754,2020-07-23T07:52:07Z,,2020-07-25T14:48:23Z,129
753,2020-07-20T17:01:25Z,,2020-07-25T17:42:31Z,407
752,2020-07-20T04:39:53Z,2020-07-20T05:18:23Z,2020-07-20T05:18:23Z,138
749,2020-07-17T08:16:51Z,2020-07-18T07:54:02Z,2020-07-18T07:54:02Z,561
748,2020-07-17T05:21:53Z,,2020-07-17T08:03:20Z,160
741,2020-06-27T16:50:24Z,,2020-07-02T08:09:16Z,215
733,2020-06-17T14:07:13Z,,2020-07-25T17:37:50Z,623
732,2020-06-17T14:02:52Z,,2020-06-17T14:03:17Z,623
731,2020-06-17T13:43:54Z,,2020-06-17T13:55:47Z,629
730,2020-06-17T12:42:59Z,,2020-07-25T18:29:33Z,237
729,2020-06-14T20:47:17Z,,2020-06-15T02:27:52Z,49
726,2020-06-09T11:15:14Z,2020-06-10T01:50:12Z,2020-06-10T01:50:12Z,79
723,2020-05-30T11:05:59Z,,2020-06-08T23:00:11Z,54
719,2020-05-23T12:44:57Z,,2020-05-24T01:12:00Z,368
717,2020-05-16T18:08:20Z,2020-05-18T03:24:44Z,2020-05-18T03:24:44Z,133
714,2020-05-13T18:27:52Z,,2020-05-14T01:27:00Z,1518
712,2020-05-11T08:44:52Z,2020-05-13T04:23:06Z,2020-05-13T04:23:06Z,94
711,2020-05-10T16:00:13Z,2020-05-10T16:33:12Z,2020-05-10T16:33:12Z,59
710,2020-05-10T13:26:48Z,,2020-05-11T08:44:36Z,282
708,2020-05-07T11:07:28Z,,2020-05-10T04:43:23Z,3
706,2020-05-07T03:42:54Z,,2020-05-07T04:57:30Z,266
705,2020-05-03T20:47:27Z,,2020-05-10T16:05:20Z,134
703,2020-04-26T01:18:57Z,2020-04-26T04:27:57Z,2020-04-26T04:27:57Z,131
702,2020-04-25T06:12:00Z,2020-05-03T05:38:03Z,2020-05-03T05:38:03Z,128
700,2020-04-22T17:03:25Z,2020-04-22T17:36:47Z,2020-04-22T17:36:47Z,20
699,2020-04-22T15:52:58Z,2020-06-10T01:50:50Z,2020-06-10T01:50:50Z,407
696,2020-04-15T13:23:47Z,,2020-04-15T17:06:01Z,177
694,2020-04-10T12:42:33Z,2020-04-12T20:32:04Z,2020-04-12T20:32:04Z,515
691,2020-04-06T04:00:57Z,2020-04-06T05:19:41Z,2020-04-06T05:19:42Z,37
688,2020-04-05T12:04:21Z,2020-04-05T15:09:51Z,2020-04-05T15:09:52Z,78
677,2020-03-20T14:35:21Z,2020-03-20T15:13:49Z,2020-03-20T15:13:49Z,57
676,2020-03-20T00:05:55Z,2020-03-20T15:14:58Z,2020-03-20T15:14:58Z,21
673,2020-03-18T20:23:59Z,2020-03-19T02:19:46Z,2020-03-19T02:19:46Z,176
670,2020-03-15T21:16:29Z,2020-03-16T00:47:06Z,2020-03-16T00:47:06Z,378
667,2020-03-06T09:08:26Z,2020-03-11T05:56:35Z,2020-03-11T05:56:36Z,185
666,2020-03-05T12:17:16Z,2020-03-05T18:45:46Z,2020-03-05T18:45:46Z,218
665,2020-03-04T20:07:47Z,2020-03-05T01:16:31Z,2020-03-05T01:16:31Z,32
663,2020-02-28T20:35:39Z,2020-03-03T07:11:02Z,2020-03-03T07:11:02Z,442
646,2020-02-19T09:59:39Z,2020-02-19T22:58:17Z,2020-02-19T22:58:17Z,260
643,2020-02-01T16:19:07Z,2020-02-11T21:38:51Z,2020-02-11T21:38:51Z,312
641,2020-01-29T05:38:13Z,2020-01-29T05:59:41Z,2020-01-29T05:59:41Z,34
618,2019-10-21T10:59:09Z,2019-10-21T23:32:57Z,2019-10-21T23:32:57Z,46
617,2019-10-16T09:26:09Z,,2020-01-29T06:08:49Z,59
615,2019-10-13T15:04:34Z,2020-01-29T06:15:40Z,2020-01-29T06:15:40Z,137
614,2019-10-13T14:55:40Z,2019-10-13T16:37:23Z,2019-10-13T16:37:24Z,255
611,2019-10-12T12:11:04Z,,2020-01-29T06:00:53Z,21
610,2019-10-11T09:25:57Z,2019-10-11T22:00:03Z,2019-10-11T22:00:03Z,49
608,2019-10-08T17:37:56Z,,2019-10-10T01:17:19Z,142
607,2019-10-06T08:57:34Z,,2019-10-10T01:17:23Z,46
606,2019-10-04T10:39:08Z,2019-10-10T01:12:11Z,2019-10-10T01:12:11Z,96
601,2019-09-08T11:26:19Z,2019-09-08T15:19:55Z,2019-09-08T15:19:55Z,119
600,2019-09-04T22:03:38Z,,2019-09-08T11:11:05Z,103
599,2019-09-04T21:51:04Z,,2019-09-04T21:55:06Z,38
596,2019-08-30T09:13:28Z,,2020-04-07T05:17:45Z,677
1186,2023-10-31T14:30:45Z,,2023-10-31T14:58:49Z,47
1185,2023-10-30T12:48:02Z,2023-10-30T13:11:44Z,2023-10-30T13:11:44Z,67
1183,2023-10-29T14:07:00Z,2023-10-29T19:21:05Z,2023-10-29T19:21:05Z,15
1182,2023-10-28T12:31:44Z,2023-10-28T14:23:36Z,2023-10-28T14:23:37Z,132
1181,2023-10-14T11:31:29Z,,2023-10-15T18:23:23Z,52
1178,2023-10-10T03:39:17Z,2023-10-10T04:13:31Z,2023-10-10T04:13:31Z,74
1177,2023-10-03T11:35:49Z,2023-10-04T06:56:01Z,2023-10-04T06:56:01Z,201
1176,2023-09-29T15:45:51Z,2023-09-30T05:34:35Z,2023-09-30T05:34:35Z,798
1175,2023-09-18T04:03:55Z,2023-09-18T04:38:33Z,2023-09-18T04:38:33Z,127
1170,2023-08-27T11:28:47Z,,2023-08-27T21:57:53Z,112
1166,2023-08-04T05:35:55Z,,2023-08-04T19:18:01Z,8
1163,2023-07-20T03:51:05Z,,2023-07-20T04:36:51Z,431
1159,2023-06-24T10:12:29Z,,2023-06-24T10:12:47Z,45
1152,2023-04-24T13:55:25Z,2023-04-26T02:34:11Z,2023-04-26T02:34:11Z,123
1145,2023-03-25T06:23:51Z,,2023-04-05T04:21:52Z,925
1143,2023-03-17T14:22:38Z,2023-04-04T01:36:40Z,2023-04-04T01:36:40Z,332
1141,2023-03-16T12:10:38Z,,2023-03-17T13:45:12Z,243
1138,2023-03-03T03:11:55Z,,2023-03-03T03:12:38Z,40
1136,2023-02-19T21:14:12Z,2023-04-05T04:23:08Z,2023-04-05T04:23:08Z,33
1133,2023-02-05T14:54:37Z,2023-02-06T02:14:33Z,2023-02-06T02:14:33Z,31
1132,2023-02-05T07:04:07Z,,2023-02-05T07:04:46Z,23
1130,2023-02-01T12:29:20Z,2023-04-05T04:18:42Z,2023-04-05T04:18:42Z,430
1126,2023-01-15T02:05:59Z,2023-01-15T02:24:50Z,2023-01-15T02:24:50Z,34
1125,2023-01-14T23:10:39Z,2023-01-21T18:09:32Z,2023-01-21T18:09:32Z,273
1124,2023-01-13T18:29:49Z,2023-01-21T18:13:32Z,2023-01-21T18:13:32Z,100
1123,2023-01-11T10:33:32Z,2023-01-11T15:43:22Z,2023-01-11T15:43:22Z,166
1116,2022-12-18T13:12:24Z,2022-12-19T08:13:21Z,2022-12-19T08:13:21Z,527
1115,2022-12-18T07:34:23Z,2022-12-18T11:22:39Z,2022-12-18T11:22:39Z,327
1107,2022-12-03T13:57:36Z,2022-12-08T07:46:08Z,2022-12-08T07:46:08Z,44
1105,2022-11-30T02:46:23Z,2022-12-08T08:05:24Z,2022-12-08T08:05:25Z,2655
1101,2022-11-22T07:14:05Z,2022-11-27T06:49:46Z,2022-11-27T06:49:46Z,1025
1099,2022-11-13T21:04:45Z,2022-12-13T01:14:09Z,2022-12-13T01:14:09Z,204
1093,2022-10-26T17:07:17Z,2022-11-27T06:55:33Z,2022-11-27T06:55:33Z,99
1088,2022-10-12T18:38:47Z,2022-10-13T03:38:28Z,2022-10-13T03:38:28Z,130
1087,2022-10-12T18:35:39Z,,2022-10-12T18:37:45Z,120
1086,2022-10-12T09:54:09Z,,2022-10-26T12:27:03Z,202
1085,2022-10-11T15:21:16Z,,2022-10-12T00:53:09Z,273
1075,2022-09-09T12:56:20Z,2022-09-25T13:04:57Z,2022-09-25T13:04:57Z,1044
1074,2022-09-06T18:53:25Z,2022-09-16T22:11:11Z,2022-09-16T22:11:11Z,232
1071,2022-08-03T06:10:03Z,2022-08-23T23:16:16Z,2022-08-23T23:16:16Z,55
1069,2022-08-01T13:02:44Z,2022-08-03T06:24:49Z,2022-08-03T06:24:49Z,615
1068,2022-07-28T06:19:03Z,,2022-07-28T08:33:48Z,328
1066,2022-07-25T05:07:00Z,,2022-07-25T06:56:10Z,85
1063,2022-07-19T13:25:01Z,,2022-07-20T01:29:21Z,66
1062,2022-07-16T10:08:18Z,2022-07-16T11:12:07Z,2022-07-16T11:12:07Z,22
1059,2022-07-13T01:10:09Z,,2022-07-13T01:12:39Z,186
1058,2022-07-11T15:36:03Z,2022-07-12T06:10:50Z,2022-07-12T06:10:50Z,41
