number,created_at,merged_at,closed_at,desc_len
3698,2023-07-20T05:45:14Z,2023-07-20T06:04:08Z,2023-07-20T06:04:08Z,23
3697,2023-07-20T05:28:13Z,2023-07-20T06:12:06Z,2023-07-20T06:12:06Z,615
3695,2023-07-20T02:47:45Z,,2023-07-20T03:29:26Z,64
3694,2023-07-20T02:16:02Z,2023-07-20T02:28:53Z,2023-07-20T02:28:54Z,8
3693,2023-07-19T23:57:48Z,2023-07-20T00:37:20Z,2023-07-20T00:37:20Z,45
3692,2023-07-19T23:56:58Z,2023-07-20T21:50:55Z,2023-07-20T21:50:55Z,189
3690,2023-07-19T22:56:20Z,2023-07-19T22:58:07Z,2023-07-19T22:58:07Z,190
3688,2023-07-19T21:46:45Z,2023-07-19T23:02:29Z,2023-07-19T23:02:29Z,169
3687,2023-07-19T21:44:33Z,2023-07-19T22:39:16Z,2023-07-19T22:39:16Z,21
3683,2023-07-19T19:51:47Z,2023-07-19T22:39:02Z,2023-07-19T22:39:02Z,28
3680,2023-07-19T18:14:01Z,2023-07-19T23:01:37Z,2023-07-19T23:01:37Z,1786
3678,2023-07-19T09:56:11Z,2023-07-19T21:08:53Z,2023-07-19T21:08:53Z,125
3672,2023-07-18T17:25:23Z,2023-07-18T23:09:19Z,2023-07-18T23:09:19Z,237
3671,2023-07-18T16:49:29Z,2023-07-18T23:03:06Z,2023-07-18T23:03:06Z,73
3667,2023-07-18T04:05:31Z,2023-07-18T08:20:21Z,2023-07-18T08:20:21Z,38
3665,2023-07-18T01:07:58Z,2023-07-20T06:59:15Z,2023-07-20T06:59:15Z,20
3664,2023-07-18T00:57:59Z,2023-07-18T02:26:34Z,2023-07-18T02:26:34Z,53
3663,2023-07-18T00:10:35Z,2023-07-18T11:54:24Z,2023-07-18T11:54:24Z,57
3662,2023-07-17T21:48:56Z,2023-07-17T23:06:32Z,2023-07-17T23:06:32Z,72
3661,2023-07-17T18:19:29Z,,2023-08-09T07:11:51Z,103
3658,2023-07-17T10:40:14Z,,2023-09-12T12:23:40Z,107
3656,2023-07-17T10:17:36Z,2023-07-17T11:15:13Z,2023-07-17T11:15:13Z,2773
3655,2023-07-17T08:22:10Z,2023-07-17T09:22:00Z,2023-07-17T09:22:00Z,71
3654,2023-07-17T04:19:51Z,2023-07-17T05:42:20Z,2023-07-17T05:42:20Z,201
3651,2023-07-16T21:58:48Z,2023-08-09T05:14:30Z,2023-08-09T05:14:31Z,934
3650,2023-07-16T21:37:00Z,2023-07-17T03:31:54Z,2023-07-17T03:31:54Z,164
3645,2023-07-16T09:41:29Z,2023-07-17T04:15:24Z,2023-07-17T04:15:25Z,1840
3643,2023-07-16T02:20:45Z,2023-07-17T03:32:18Z,2023-07-17T03:32:18Z,23
3637,2023-07-15T00:45:25Z,2023-07-15T02:37:23Z,2023-07-15T02:37:23Z,16
3631,2023-07-14T00:04:24Z,2023-07-14T00:40:47Z,2023-07-14T00:40:47Z,29
3630,2023-07-13T20:28:56Z,2023-07-13T21:29:25Z,2023-07-13T21:29:25Z,72
3626,2023-07-13T00:04:15Z,2023-07-17T17:05:01Z,2023-07-17T17:05:01Z,125
3614,2023-07-12T08:31:33Z,2023-07-17T03:32:34Z,2023-07-17T03:32:34Z,778
3611,2023-07-12T03:57:53Z,2023-07-12T04:01:36Z,2023-07-12T04:01:36Z,44
3610,2023-07-12T01:49:59Z,2023-07-12T01:50:34Z,2023-07-12T01:50:35Z,125
3609,2023-07-12T00:12:26Z,2023-07-12T01:49:35Z,2023-07-12T01:49:35Z,21
3608,2023-07-11T23:29:17Z,2023-07-12T22:21:56Z,2023-07-12T22:21:56Z,427
3602,2023-07-11T00:57:18Z,2023-07-11T19:48:19Z,2023-07-11T19:48:19Z,94
3601,2023-07-11T00:47:35Z,,2023-07-11T00:49:12Z,326
3600,2023-07-10T23:45:38Z,2023-07-11T19:48:33Z,2023-07-11T19:48:33Z,25
3599,2023-07-10T21:31:05Z,2023-07-11T16:09:07Z,2023-07-11T16:09:07Z,243
3598,2023-07-10T21:19:43Z,2023-07-11T00:14:37Z,2023-07-11T00:14:37Z,72
3596,2023-07-10T20:09:42Z,2023-07-18T02:39:10Z,2023-07-18T02:39:10Z,2083
3593,2023-07-10T13:11:50Z,2023-07-11T20:09:44Z,2023-07-11T20:09:44Z,51
3590,2023-07-10T08:10:33Z,2023-07-10T09:21:03Z,2023-07-10T09:21:03Z,11
3587,2023-07-10T04:37:21Z,2023-07-10T05:36:24Z,2023-07-10T05:36:24Z,96
3586,2023-07-10T00:50:29Z,2023-07-10T04:50:20Z,2023-07-10T04:50:20Z,54
3583,2023-07-09T13:35:58Z,2023-07-09T14:20:52Z,2023-07-09T14:20:52Z,325
3581,2023-07-09T10:47:02Z,2023-07-09T23:33:50Z,2023-07-09T23:33:50Z,1334
3579,2023-07-09T01:12:13Z,,2023-07-10T03:08:17Z,31
3578,2023-07-09T00:11:27Z,2023-07-09T00:41:24Z,2023-07-09T00:41:24Z,65
3577,2023-07-08T09:40:16Z,2023-07-08T11:00:56Z,2023-07-08T11:00:56Z,69
3576,2023-07-08T09:12:29Z,2023-07-08T21:26:20Z,2023-07-08T21:26:20Z,69
3569,2023-07-08T00:11:46Z,2023-07-11T19:48:46Z,2023-07-11T19:48:47Z,21
3563,2023-07-07T11:45:27Z,2023-07-07T22:10:50Z,2023-07-07T22:10:50Z,103
3558,2023-07-07T07:53:34Z,2023-07-08T03:12:39Z,2023-07-08T03:12:39Z,28
3557,2023-07-07T07:04:18Z,2023-07-08T04:20:30Z,2023-07-08T04:20:30Z,534
3556,2023-07-07T06:45:28Z,2023-07-07T07:33:43Z,2023-07-07T07:33:43Z,58
3553,2023-07-07T04:40:29Z,2023-07-07T07:38:18Z,2023-07-07T07:38:18Z,218
3551,2023-07-07T02:12:44Z,2023-07-07T22:10:33Z,2023-07-07T22:10:33Z,145
3549,2023-07-06T20:46:29Z,2023-07-06T20:55:01Z,2023-07-06T20:55:01Z,11
3547,2023-07-06T18:16:57Z,2023-07-06T19:01:17Z,2023-07-06T19:01:17Z,76
3543,2023-07-06T14:41:34Z,2023-07-06T20:55:28Z,2023-07-06T20:55:28Z,188
3542,2023-07-06T09:46:04Z,,2023-08-23T19:09:04Z,460
3539,2023-07-06T06:13:13Z,2023-07-06T07:06:44Z,2023-07-06T07:06:44Z,11
3538,2023-07-06T04:21:34Z,2023-07-06T05:23:33Z,2023-07-06T05:23:33Z,53
3534,2023-07-05T20:23:06Z,,2023-09-29T15:51:33Z,15
3532,2023-07-05T17:15:52Z,2023-07-07T23:24:07Z,2023-07-07T23:24:07Z,45
3531,2023-07-05T15:47:06Z,2023-07-06T05:22:56Z,2023-07-06T05:22:57Z,32
3526,2023-07-05T08:43:58Z,2023-07-05T10:46:11Z,2023-07-05T10:46:11Z,117
3523,2023-07-05T07:18:31Z,2023-07-05T08:21:35Z,2023-07-05T08:21:35Z,11
3522,2023-07-05T04:47:36Z,2023-07-05T07:09:00Z,2023-07-05T07:09:00Z,11
3518,2023-07-04T23:39:05Z,2023-07-05T07:08:49Z,2023-07-05T07:08:50Z,17
3517,2023-07-04T19:00:16Z,2023-07-04T22:41:37Z,2023-07-04T22:41:37Z,38
3516,2023-07-04T16:55:00Z,2023-08-03T22:31:56Z,2023-08-03T22:31:56Z,468
3514,2023-07-04T15:33:56Z,2023-07-04T22:38:44Z,2023-07-04T22:38:44Z,647
3513,2023-07-04T13:43:52Z,2023-07-04T22:40:27Z,2023-07-04T22:40:27Z,20
3510,2023-07-04T01:38:44Z,2023-07-04T09:09:59Z,2023-07-04T09:09:59Z,129
3509,2023-07-03T20:10:25Z,,2023-07-11T20:33:55Z,1238
3504,2023-07-03T01:07:03Z,2023-07-03T03:16:53Z,2023-07-03T03:16:53Z,34
3503,2023-07-02T23:52:08Z,2023-07-03T03:24:15Z,2023-07-03T03:24:15Z,74
3501,2023-07-02T20:41:35Z,2023-07-03T05:09:50Z,2023-07-03T05:09:50Z,357
3498,2023-07-02T18:33:47Z,2023-07-03T01:06:22Z,2023-07-03T01:06:22Z,155
3496,2023-07-02T17:06:34Z,2023-07-02T17:12:31Z,2023-07-02T17:12:31Z,359
3490,2023-07-02T06:18:09Z,2023-07-02T08:06:41Z,2023-07-02T08:06:41Z,11
3488,2023-07-02T05:02:51Z,2023-07-04T03:53:42Z,2023-07-04T03:53:42Z,52
3487,2023-07-02T03:08:57Z,2023-07-02T04:58:06Z,2023-07-02T04:58:06Z,14
3486,2023-07-02T01:59:21Z,2023-07-02T03:02:50Z,2023-07-02T03:02:50Z,1600
3485,2023-07-01T23:31:43Z,2023-07-02T00:37:44Z,2023-07-02T00:37:44Z,534
3484,2023-07-01T20:54:41Z,2023-07-01T21:38:39Z,2023-07-01T21:38:39Z,52
3483,2023-07-01T20:08:00Z,2023-07-01T21:40:06Z,2023-07-01T21:40:06Z,213
3482,2023-07-01T16:00:09Z,,2023-07-01T16:00:41Z,27
3481,2023-07-01T15:36:30Z,2023-07-03T21:08:49Z,2023-07-03T21:08:49Z,132
3476,2023-06-30T20:41:24Z,2023-06-30T21:58:39Z,2023-06-30T21:58:39Z,30
3475,2023-06-30T20:35:17Z,2023-07-11T01:25:20Z,2023-07-11T01:25:20Z,336
3474,2023-06-30T13:50:27Z,2023-06-30T17:03:54Z,2023-06-30T17:03:54Z,60
3470,2023-06-30T06:36:04Z,2023-06-30T17:04:46Z,2023-06-30T17:04:46Z,4185
3467,2023-06-30T04:44:59Z,2023-07-02T00:01:52Z,2023-07-02T00:01:52Z,225
3466,2023-06-30T04:20:29Z,,2023-08-29T22:45:25Z,304
3465,2023-06-30T02:37:53Z,2023-06-30T03:14:12Z,2023-06-30T03:14:12Z,11
4230,2023-08-21T01:05:26Z,2023-08-21T04:29:09Z,2023-08-21T04:29:10Z,108
4226,2023-08-20T15:15:23Z,2023-08-22T01:22:37Z,2023-08-22T01:22:37Z,1484
4222,2023-08-20T07:59:01Z,2023-08-21T02:34:33Z,2023-08-21T02:34:33Z,878
4221,2023-08-20T00:49:20Z,2023-08-20T01:17:16Z,2023-08-20T01:17:16Z,410
4220,2023-08-20T00:16:19Z,2023-08-20T00:46:59Z,2023-08-20T00:47:00Z,127
4219,2023-08-19T23:55:48Z,,2023-08-22T00:49:27Z,2069
4218,2023-08-19T21:00:20Z,,2023-08-30T03:14:57Z,2183
4213,2023-08-19T07:05:36Z,2023-08-19T07:20:23Z,2023-08-19T07:20:23Z,359
4210,2023-08-19T01:00:54Z,2023-08-20T01:48:59Z,2023-08-20T01:48:59Z,2242
4208,2023-08-19T00:42:25Z,2023-08-19T02:59:03Z,2023-08-19T02:59:03Z,2284
4206,2023-08-18T18:46:37Z,2023-08-19T02:59:23Z,2023-08-19T02:59:23Z,2065
4199,2023-08-18T06:12:18Z,2023-08-22T04:34:03Z,2023-08-22T04:34:03Z,101
4194,2023-08-17T19:46:33Z,2023-08-18T03:56:52Z,2023-08-18T03:56:52Z,1091
4193,2023-08-17T19:42:55Z,2023-08-17T21:25:10Z,2023-08-17T21:25:10Z,1940
4192,2023-08-17T16:37:45Z,2023-08-17T19:13:17Z,2023-08-17T19:13:17Z,2146
4191,2023-08-17T15:40:37Z,2023-08-17T21:27:33Z,2023-08-17T21:27:33Z,1821
4190,2023-08-17T15:18:23Z,,2023-08-17T19:49:11Z,2056
4187,2023-08-17T09:42:09Z,2023-08-19T02:58:04Z,2023-08-19T02:58:04Z,536
4186,2023-08-17T08:03:17Z,2023-08-25T05:53:34Z,2023-08-25T05:53:34Z,156
4182,2023-08-17T04:12:05Z,2023-08-17T04:30:37Z,2023-08-17T04:30:37Z,159
4181,2023-08-17T03:52:47Z,2023-08-17T05:10:01Z,2023-08-17T05:10:01Z,198
4180,2023-08-17T03:50:24Z,2023-08-17T03:52:49Z,2023-08-17T03:52:49Z,78
4179,2023-08-16T22:58:29Z,2023-08-19T07:11:25Z,2023-08-19T07:11:25Z,482
4176,2023-08-16T09:50:51Z,,2023-08-16T23:10:23Z,2103
4173,2023-08-16T03:22:11Z,2023-08-16T05:13:14Z,2023-08-16T05:13:14Z,21
4172,2023-08-16T02:01:18Z,2023-08-16T02:02:47Z,2023-08-16T02:02:47Z,2087
