number,created_at,merged_at,closed_at,desc_len
3978,2021-04-28T10:02:01Z,,2021-04-28T10:25:36Z,75
3977,2021-04-28T09:15:13Z,,2021-04-28T10:22:39Z,531
3976,2021-04-28T06:22:49Z,2021-05-03T00:09:40Z,2021-05-03T00:09:40Z,177
3975,2021-04-28T05:50:26Z,,2022-02-08T17:54:33Z,1162
3974,2021-04-26T17:21:57Z,2021-04-27T01:47:43Z,2021-04-27T01:47:44Z,400
3973,2021-04-25T19:12:44Z,2021-04-27T14:32:10Z,2021-04-27T14:32:10Z,470
3972,2021-04-24T18:04:50Z,2021-04-27T14:58:26Z,2021-04-27T14:58:26Z,230
3971,2021-04-24T16:46:57Z,2021-04-27T14:55:26Z,2021-04-27T14:55:26Z,206
3970,2021-04-23T19:02:38Z,,2021-04-23T19:08:25Z,128
3969,2021-04-21T00:02:36Z,,2021-04-21T00:13:15Z,64
3967,2021-04-17T10:50:10Z,2021-04-17T14:34:56Z,2021-04-17T14:34:56Z,21
3965,2021-04-16T15:46:44Z,2021-04-16T15:52:35Z,2021-04-16T15:52:35Z,16
3964,2021-04-16T11:38:39Z,2021-04-16T13:28:53Z,2021-04-16T13:28:53Z,425
3963,2021-04-16T06:16:16Z,2021-04-16T06:18:39Z,2021-04-16T06:18:39Z,703
3962,2021-04-16T06:12:20Z,2021-04-16T06:14:24Z,2021-04-16T06:14:25Z,777
3960,2021-04-14T17:03:05Z,2021-04-14T17:06:50Z,2021-04-14T17:06:50Z,849
3958,2021-04-12T17:12:30Z,2021-04-12T17:24:22Z,2021-04-12T17:24:22Z,37
3957,2021-04-11T08:16:10Z,2021-04-12T18:47:24Z,2021-04-12T18:47:24Z,322
3955,2021-04-06T17:46:54Z,2021-04-06T17:49:45Z,2021-04-06T17:49:45Z,6281
3954,2021-04-05T20:35:16Z,,2021-04-05T20:36:59Z,532
3952,2021-04-05T17:10:22Z,2021-04-05T17:24:22Z,2021-04-05T17:24:22Z,37
3951,2021-04-05T09:30:59Z,,2021-04-05T11:20:23Z,583
3946,2021-03-27T15:27:03Z,,2021-08-06T00:17:54Z,101
3943,2021-03-22T17:04:34Z,2021-03-22T17:50:37Z,2021-03-22T17:50:37Z,37
3942,2021-03-21T01:35:46Z,,2021-04-14T16:39:09Z,699
3940,2021-03-16T20:13:14Z,,2021-03-17T00:32:13Z,129
3939,2021-03-16T16:50:40Z,2021-03-16T17:16:59Z,2021-03-16T17:16:59Z,280
3937,2021-03-15T17:00:58Z,2021-03-15T18:36:59Z,2021-03-15T18:36:59Z,37
3935,2021-03-11T11:11:13Z,,2021-03-11T13:16:12Z,586
3933,2021-03-10T18:59:15Z,2021-03-10T19:02:17Z,2021-03-10T19:02:17Z,1383
3932,2021-03-10T13:43:37Z,2021-03-10T14:30:24Z,2021-03-10T14:30:24Z,578
3926,2021-03-01T15:17:55Z,2021-03-01T15:25:15Z,2021-03-01T15:25:16Z,8465
3925,2021-03-01T15:15:59Z,2021-03-01T15:22:59Z,2021-03-01T15:22:59Z,4757
3924,2021-02-28T22:49:48Z,,2021-02-28T22:52:41Z,1469
3923,2021-02-24T21:49:26Z,2021-04-14T16:30:48Z,2021-04-14T16:30:49Z,984
3922,2021-02-24T18:32:38Z,2021-02-24T18:35:16Z,2021-02-24T18:35:16Z,48
3920,2021-02-22T21:52:38Z,,2021-02-22T22:49:06Z,169
3918,2021-02-21T21:17:40Z,2021-03-08T18:15:27Z,2021-03-08T18:15:27Z,220
3917,2021-02-20T06:31:36Z,2021-02-25T17:51:59Z,2021-02-25T17:51:59Z,95
3916,2021-02-19T15:02:18Z,2021-02-19T15:21:18Z,2021-02-19T15:21:18Z,97
3914,2021-02-19T11:13:43Z,,2021-02-19T15:21:26Z,121
3910,2021-02-16T08:00:24Z,,2021-03-08T16:30:26Z,909
3907,2021-02-14T11:18:40Z,2021-03-08T16:57:58Z,2021-03-08T16:57:58Z,1180
3904,2021-02-09T02:28:06Z,2021-02-09T02:32:18Z,2021-02-09T02:32:18Z,215
3903,2021-02-09T02:07:50Z,2021-02-09T02:11:47Z,2021-02-09T02:11:47Z,398
3901,2021-02-08T16:50:05Z,2021-02-09T02:17:34Z,2021-02-09T02:17:34Z,37
3899,2021-02-04T15:31:16Z,,2021-02-04T15:33:43Z,22
3897,2021-02-02T19:06:03Z,,2021-02-02T19:08:28Z,144
3896,2021-02-02T10:40:34Z,,2021-02-02T14:46:46Z,655
3895,2021-02-02T06:54:02Z,2021-02-02T06:57:43Z,2021-02-02T06:57:43Z,546
3894,2021-02-02T03:08:51Z,2021-02-02T03:20:20Z,2021-02-02T03:20:20Z,500
3893,2021-02-01T16:50:14Z,2021-02-02T03:59:58Z,2021-02-02T03:59:58Z,37
3892,2021-02-01T11:58:24Z,2021-02-02T03:35:59Z,2021-02-02T03:35:59Z,10561
3891,2021-02-01T11:57:11Z,2021-02-02T03:39:09Z,2021-02-02T03:39:09Z,8676
3890,2021-02-01T11:56:16Z,2021-02-02T03:35:45Z,2021-02-02T03:35:45Z,5147
3889,2021-02-01T11:54:59Z,2021-02-02T03:43:43Z,2021-02-02T03:43:43Z,6743
3888,2021-02-01T11:53:42Z,2021-02-02T03:42:44Z,2021-02-02T03:42:44Z,6464
3887,2021-02-01T11:52:16Z,2021-02-02T03:49:49Z,2021-02-02T03:49:50Z,5769
3886,2021-02-01T11:50:58Z,2021-02-02T03:44:56Z,2021-02-02T03:44:57Z,6123
3885,2021-02-01T11:49:59Z,2021-02-02T03:31:21Z,2021-02-02T03:31:21Z,7856
3883,2021-01-30T22:43:21Z,2021-02-02T04:31:57Z,2021-02-02T04:31:57Z,228
3880,2021-01-27T17:18:01Z,2021-01-27T18:00:02Z,2021-01-27T18:00:02Z,441
3877,2021-01-22T08:57:08Z,,2021-01-22T09:33:05Z,121
3876,2021-01-22T08:37:37Z,,2021-01-22T08:40:38Z,125
3875,2021-01-22T08:33:25Z,,2021-01-22T08:35:45Z,567
3868,2021-01-08T16:25:39Z,,2021-01-08T16:29:40Z,109
3866,2021-01-06T14:43:28Z,2021-01-07T00:57:32Z,2021-01-07T00:57:32Z,367
3862,2021-01-03T08:02:33Z,2021-01-04T01:52:37Z,2021-01-04T01:52:37Z,100
3861,2021-01-03T06:00:56Z,2021-01-06T15:47:30Z,2021-01-06T15:47:30Z,75
3859,2021-01-01T09:43:18Z,2021-01-01T09:54:19Z,2021-01-01T09:54:19Z,7112
