number,created_at,merged_at,closed_at,desc_len
12,2014-03-03T10:43:30Z,2014-03-03T14:40:55Z,2014-03-03T14:40:55Z,181
11,2014-03-02T09:05:12Z,2014-03-03T14:39:57Z,2014-03-03T14:39:57Z,55
10,2014-03-02T04:39:23Z,2014-03-03T14:39:46Z,2014-03-03T14:39:46Z,88
8,2014-02-26T05:45:48Z,2014-02-26T12:55:07Z,2014-02-26T12:55:07Z,122
7,2014-02-25T20:18:45Z,2014-02-25T21:28:37Z,2014-02-25T21:28:37Z,48
6,2014-02-25T17:31:06Z,2014-02-25T17:55:47Z,2014-02-25T17:55:47Z,86
5,2014-02-24T08:33:22Z,2014-02-24T21:11:36Z,2014-02-24T21:11:36Z,339
4,2014-02-24T02:43:48Z,2014-02-24T03:28:16Z,2014-02-24T03:28:16Z,129
2,2014-02-18T16:26:50Z,2014-02-18T16:30:04Z,2014-02-18T16:30:04Z,411
154,2014-08-07T16:12:27Z,2014-08-07T16:18:43Z,2014-08-07T16:18:43Z,18
153,2014-08-06T23:35:27Z,,2014-08-08T16:02:16Z,154
152,2014-08-06T13:48:12Z,2014-08-06T17:07:41Z,2014-08-06T17:07:41Z,110
151,2014-08-05T18:50:58Z,2014-08-06T00:20:48Z,2014-08-06T00:20:48Z,303
150,2014-07-31T17:02:52Z,2014-08-01T12:28:11Z,2014-08-01T12:28:11Z,8
149,2014-07-30T19:20:37Z,2014-08-02T19:08:01Z,2014-08-02T19:08:01Z,96
148,2014-07-25T20:18:23Z,2014-07-27T04:58:03Z,2014-07-27T04:58:03Z,68
145,2014-07-18T04:06:17Z,2014-07-18T05:00:38Z,2014-07-18T05:00:38Z,35
144,2014-07-16T20:32:32Z,2014-08-21T04:16:29Z,2014-08-21T04:16:29Z,31
143,2014-07-16T15:13:39Z,2014-07-16T23:32:43Z,2014-07-16T23:32:43Z,41
142,2014-07-15T12:56:42Z,2014-09-15T22:05:19Z,2014-09-15T22:05:19Z,77
141,2014-07-13T11:48:41Z,2014-07-13T16:59:48Z,2014-07-13T16:59:48Z,18
139,2014-06-21T23:48:36Z,,2014-06-22T03:56:49Z,8
138,2014-06-20T20:52:50Z,2014-06-20T20:59:09Z,2014-06-20T20:59:09Z,45
136,2014-06-10T15:21:13Z,2014-06-17T02:39:02Z,2014-06-17T02:39:02Z,125
135,2014-06-10T00:17:45Z,2014-06-10T04:47:11Z,2014-06-10T04:47:11Z,29
134,2014-06-09T15:24:38Z,,2014-06-10T00:13:22Z,344
133,2014-06-09T13:33:17Z,2014-06-09T18:40:05Z,2014-06-09T18:40:05Z,385
131,2014-06-06T15:33:32Z,2014-06-09T13:21:38Z,2014-06-09T13:21:38Z,26
129,2014-05-30T20:08:30Z,2014-06-01T23:17:30Z,2014-06-01T23:17:30Z,287
127,2014-05-28T14:37:03Z,,2014-05-28T14:38:26Z,14
126,2014-05-26T18:54:42Z,2014-05-29T14:07:32Z,2014-05-29T14:07:32Z,573
125,2014-05-24T10:53:25Z,2014-05-26T13:10:54Z,2014-05-26T13:10:54Z,141
124,2014-05-23T12:58:18Z,2014-05-26T13:11:17Z,2014-05-26T13:11:17Z,43
122,2014-05-22T17:17:21Z,2014-05-22T17:21:37Z,2014-05-22T17:21:37Z,32
121,2014-05-21T13:28:53Z,2014-05-21T13:30:12Z,2014-05-21T13:30:12Z,98
120,2014-05-18T14:33:33Z,2014-05-19T17:24:36Z,2014-05-19T17:24:36Z,269
119,2014-05-17T03:58:44Z,2014-05-19T21:50:44Z,2014-05-19T21:50:44Z,127
117,2014-05-13T08:35:41Z,2014-05-13T08:35:59Z,2014-05-13T08:35:59Z,50
114,2014-05-05T18:12:46Z,2014-05-05T18:20:04Z,2014-05-05T18:20:04Z,136
113,2014-05-02T20:53:46Z,2014-05-02T21:12:26Z,2014-05-02T21:12:26Z,151
112,2014-05-01T01:32:45Z,2014-05-01T16:29:25Z,2014-05-01T16:29:25Z,204
111,2014-04-26T02:28:59Z,2014-04-27T00:02:50Z,2014-04-27T00:02:50Z,119
109,2014-04-25T07:34:31Z,2014-04-26T03:41:30Z,2014-04-26T03:41:30Z,334
108,2014-04-24T18:14:32Z,2014-04-24T18:31:10Z,2014-04-24T18:31:10Z,359
107,2014-04-24T10:31:36Z,2014-04-26T03:41:59Z,2014-04-26T03:41:59Z,168
106,2014-04-24T05:10:20Z,2014-04-24T05:10:29Z,2014-04-24T05:10:29Z,21
105,2014-04-24T03:44:58Z,,2014-04-24T04:55:04Z,19
104,2014-04-23T14:07:02Z,2014-04-23T15:37:22Z,2014-04-23T15:37:22Z,127
103,2014-04-22T14:22:39Z,2014-04-24T15:01:35Z,2014-04-24T15:01:35Z,171
100,2014-04-13T16:21:03Z,,2014-04-13T16:21:34Z,4
99,2014-04-09T14:55:09Z,2014-04-11T06:44:59Z,2014-04-11T06:44:59Z,226
97,2014-04-08T15:46:26Z,2014-04-15T21:49:27Z,2014-04-15T21:49:27Z,26
95,2014-04-07T13:29:00Z,2014-04-08T03:01:00Z,2014-04-08T03:01:00Z,93
94,2014-04-07T09:38:50Z,2014-04-08T03:01:28Z,2014-04-08T03:01:28Z,173
