number,created_at,merged_at,closed_at,desc_len
19,2017-05-10T06:57:40Z,2017-05-11T05:44:24Z,2017-05-11T05:44:24Z,44
17,2017-05-10T02:50:06Z,,2017-05-15T02:39:29Z,92
16,2017-05-08T09:22:15Z,2017-05-08T21:27:51Z,2017-05-08T21:27:51Z,80
15,2017-05-08T06:35:05Z,2017-05-08T06:39:15Z,2017-05-08T06:39:15Z,252
14,2017-05-06T16:53:01Z,2017-05-06T22:54:44Z,2017-05-06T22:54:44Z,150
13,2017-05-06T16:21:05Z,2017-05-06T22:55:18Z,2017-05-06T22:55:18Z,109
12,2017-05-05T06:18:31Z,2017-05-05T22:14:28Z,2017-05-05T22:14:28Z,95
11,2017-05-04T22:28:16Z,2017-05-05T22:14:55Z,2017-05-05T22:14:55Z,27
9,2017-05-02T16:36:27Z,2017-05-02T20:07:06Z,2017-05-02T20:07:06Z,206
8,2017-05-02T01:00:18Z,2017-05-02T01:35:53Z,2017-05-02T01:35:53Z,74
6,2017-05-01T14:06:54Z,2017-05-01T14:33:20Z,2017-05-01T14:33:20Z,32
4,2017-05-01T08:21:12Z,2017-05-01T12:38:33Z,2017-05-01T12:38:33Z,43
3,2017-04-28T20:41:25Z,,2017-05-23T15:30:13Z,127
2,2017-04-28T20:32:07Z,2017-04-28T20:34:02Z,2017-04-28T20:34:02Z,109
1,2017-04-28T20:26:31Z,2017-04-28T23:26:38Z,2017-04-28T23:26:38Z,30
451,2023-08-12T04:32:51Z,,2023-09-16T05:07:35Z,1719
445,2023-07-17T11:27:29Z,,2023-07-30T10:46:54Z,361
441,2023-06-30T05:02:07Z,,2023-06-30T05:02:50Z,1286
437,2023-06-06T19:05:49Z,,2023-06-06T19:06:24Z,1286
434,2023-05-28T06:31:30Z,,2023-05-28T06:31:58Z,18
432,2023-05-11T13:02:09Z,,2023-07-31T08:05:47Z,1293
426,2023-04-09T14:04:29Z,,2023-08-17T07:48:11Z,1397
425,2023-04-09T13:58:12Z,,2023-04-09T14:01:33Z,1388
