number,created_at,merged_at,closed_at,desc_len
58,2015-01-09T18:34:59Z,2015-01-09T18:45:09Z,2015-01-09T18:45:09Z,326
55,2015-01-09T11:25:06Z,2015-01-09T12:02:03Z,2015-01-09T12:02:03Z,51
54,2015-01-09T11:24:31Z,2015-01-09T18:24:04Z,2015-01-09T18:24:04Z,33
53,2015-01-09T10:46:33Z,2015-01-09T11:01:15Z,2015-01-09T11:01:15Z,19
52,2015-01-09T02:25:08Z,2015-01-09T04:53:19Z,2015-01-09T04:53:19Z,528
51,2015-01-08T14:40:38Z,,2015-01-11T13:34:38Z,159
50,2015-01-07T14:48:51Z,2015-01-08T10:51:48Z,2015-01-08T10:51:48Z,158
49,2015-01-06T17:28:48Z,2015-01-06T18:18:52Z,2015-01-06T18:18:52Z,246
48,2015-01-05T09:58:54Z,,2015-01-14T04:09:49Z,116
47,2015-01-04T17:05:40Z,,2015-01-06T18:21:52Z,158
45,2015-01-02T02:00:03Z,2015-01-03T04:34:16Z,2015-01-03T04:34:16Z,272
44,2015-01-01T07:20:50Z,2015-01-01T07:26:10Z,2015-01-01T07:26:10Z,543
43,2014-12-31T20:33:03Z,2014-12-31T21:18:13Z,2014-12-31T21:18:13Z,327
42,2014-12-31T14:40:26Z,,2014-12-31T14:41:25Z,26
41,2014-12-31T14:16:28Z,,2014-12-31T16:45:08Z,53
39,2014-12-30T16:25:20Z,2014-12-30T17:46:20Z,2014-12-30T17:46:20Z,39
38,2014-12-30T15:41:08Z,2014-12-30T15:42:23Z,2014-12-30T15:42:23Z,15
37,2014-12-30T10:12:52Z,2014-12-30T10:15:12Z,2014-12-30T10:15:12Z,31
36,2014-12-30T07:30:47Z,2014-12-30T07:36:32Z,2014-12-30T07:36:32Z,55
35,2014-12-30T06:46:40Z,,2014-12-30T06:53:01Z,164
34,2014-12-30T03:57:03Z,2014-12-30T03:58:11Z,2014-12-30T03:58:11Z,36
33,2014-12-30T00:33:43Z,2014-12-30T03:52:45Z,2014-12-30T03:52:45Z,178
32,2014-12-29T22:18:08Z,2014-12-30T03:55:37Z,2014-12-30T03:55:37Z,277
31,2014-12-29T18:27:19Z,2014-12-29T18:28:37Z,2014-12-29T18:28:37Z,95
30,2014-12-29T16:34:04Z,2014-12-29T16:50:30Z,2014-12-29T16:50:30Z,27
28,2014-12-29T15:35:31Z,2014-12-29T16:36:08Z,2014-12-29T16:36:08Z,38
27,2014-12-29T15:06:41Z,,2014-12-30T06:55:18Z,124
25,2014-12-29T08:37:22Z,2014-12-29T08:38:57Z,2014-12-29T08:38:57Z,418
24,2014-12-29T07:25:50Z,2014-12-29T07:37:19Z,2014-12-29T07:37:19Z,125
22,2014-12-29T06:16:47Z,2014-12-29T10:32:46Z,2014-12-29T10:32:46Z,15
21,2014-12-29T05:26:47Z,2014-12-29T05:27:52Z,2014-12-29T05:27:52Z,67
20,2014-12-29T04:15:14Z,,2014-12-29T04:22:16Z,44
19,2014-12-29T04:01:10Z,2014-12-29T04:03:22Z,2014-12-29T04:03:22Z,62
18,2014-12-29T03:36:34Z,,2014-12-29T05:22:36Z,88
17,2014-12-29T03:32:25Z,,2014-12-29T17:27:41Z,47
16,2014-12-29T03:19:28Z,2014-12-29T03:22:40Z,2014-12-29T03:22:40Z,47
15,2014-12-29T01:54:04Z,2014-12-29T03:07:57Z,2014-12-29T03:07:57Z,44
14,2014-12-29T01:11:07Z,2014-12-29T04:06:34Z,2014-12-29T04:06:34Z,27
13,2014-12-29T00:49:13Z,2014-12-29T03:13:53Z,2014-12-29T03:13:53Z,457
12,2014-12-28T21:23:45Z,2014-12-29T03:21:15Z,2014-12-29T03:21:15Z,48
11,2014-12-28T20:10:06Z,,2014-12-30T06:56:01Z,30
10,2014-12-28T18:34:07Z,2014-12-28T18:40:45Z,2014-12-28T18:40:45Z,22
9,2014-12-27T11:22:35Z,,2014-12-30T06:58:03Z,73
8,2014-12-26T09:03:18Z,2014-12-26T09:05:08Z,2014-12-26T09:05:08Z,41
7,2014-12-25T23:38:00Z,2014-12-26T07:04:25Z,2014-12-26T07:04:25Z,169
6,2014-12-25T21:45:38Z,2014-12-26T05:55:26Z,2014-12-26T05:55:26Z,23
5,2014-12-25T18:24:12Z,2014-12-26T06:08:43Z,2014-12-26T06:08:43Z,114
4,2014-12-25T16:40:44Z,2014-12-25T17:50:04Z,2014-12-25T17:50:04Z,137
3,2014-12-25T15:13:36Z,2014-12-25T15:21:02Z,2014-12-25T15:21:02Z,100
2,2014-12-24T05:58:09Z,2014-12-24T06:08:29Z,2014-12-24T06:08:29Z,102
1,2014-12-23T15:24:16Z,2014-12-23T16:26:15Z,2014-12-23T16:26:15Z,264
345,2023-05-04T12:49:33Z,,2023-06-10T12:49:43Z,17
342,2023-02-14T15:27:08Z,,2023-05-10T18:36:05Z,661
337,2022-10-31T14:21:41Z,2022-10-31T20:26:03Z,2022-10-31T20:26:03Z,50
336,2022-10-06T11:41:11Z,2022-10-06T17:16:38Z,2022-10-06T17:16:38Z,34
333,2022-02-11T14:37:30Z,,2022-06-19T10:39:39Z,38
332,2022-01-06T16:58:41Z,,2022-01-06T17:00:49Z,35
327,2021-04-19T04:56:49Z,,2021-08-06T05:08:16Z,34
325,2021-01-26T11:12:17Z,2022-11-12T13:05:10Z,2022-11-12T13:05:11Z,147
323,2020-11-29T17:49:45Z,2020-12-02T19:38:22Z,2020-12-02T19:38:22Z,87
322,2020-10-28T13:29:37Z,2022-10-06T17:16:27Z,2022-10-06T17:16:27Z,83
320,2020-05-21T00:52:08Z,,2022-10-06T07:36:17Z,37
317,2020-03-09T00:49:07Z,2020-03-13T20:00:11Z,2020-03-13T20:00:11Z,123
307,2019-10-15T19:12:15Z,2020-03-13T20:01:14Z,2020-03-13T20:01:14Z,37
306,2019-10-02T12:48:32Z,,2022-10-06T11:41:41Z,45
300,2019-05-08T21:26:25Z,2022-10-06T07:40:01Z,2022-10-06T07:40:01Z,49
298,2019-04-27T10:40:51Z,2022-10-07T18:55:21Z,2022-10-07T18:55:21Z,59
297,2019-04-20T13:49:08Z,2022-10-06T17:22:00Z,2022-10-06T17:22:00Z,19
292,2019-01-23T15:47:21Z,,2019-01-23T15:51:43Z,55
291,2018-11-25T14:06:02Z,2019-01-16T18:20:07Z,2019-01-16T18:20:07Z,58
290,2018-10-27T08:09:27Z,2019-01-16T18:20:28Z,2019-01-16T18:20:29Z,40
289,2018-10-27T08:00:33Z,2019-01-16T18:21:08Z,2019-01-16T18:21:08Z,48
288,2018-10-27T07:55:31Z,2019-01-16T18:21:35Z,2019-01-16T18:21:35Z,48
287,2018-10-27T07:49:47Z,2022-10-06T17:15:03Z,2022-10-06T17:15:03Z,27
285,2018-10-16T20:42:37Z,2019-01-16T18:21:53Z,2019-01-16T18:21:53Z,57
283,2018-10-13T03:13:52Z,,2018-11-28T05:50:14Z,130
282,2018-10-13T02:20:10Z,2019-01-16T18:22:23Z,2019-01-16T18:22:23Z,295
281,2018-10-12T10:34:16Z,2019-01-16T18:26:42Z,2019-01-16T18:26:42Z,22
280,2018-10-11T21:39:38Z,2019-01-16T18:26:44Z,2019-01-16T18:26:44Z,167
276,2018-06-20T09:01:39Z,2019-01-16T18:24:39Z,2019-01-16T18:24:39Z,76
275,2018-06-12T13:57:52Z,2019-01-16T18:22:59Z,2019-01-16T18:22:59Z,43
274,2018-06-04T15:26:49Z,2019-01-16T18:23:36Z,2019-01-16T18:23:36Z,180
270,2018-03-20T16:17:05Z,2019-01-16T18:27:13Z,2019-01-16T18:27:13Z,17
269,2018-03-02T20:08:50Z,2022-10-06T17:23:01Z,2022-10-06T17:23:01Z,31
268,2018-03-02T08:37:16Z,2019-01-16T18:27:49Z,2019-01-16T18:27:49Z,21
266,2018-02-23T02:02:40Z,2019-01-16T18:31:54Z,2019-01-16T18:31:54Z,124
263,2018-01-01T04:04:52Z,2019-01-16T18:28:39Z,2019-01-16T18:28:39Z,77
261,2017-12-10T05:43:43Z,,2018-01-01T01:34:28Z,33
259,2017-11-29T03:30:17Z,2017-11-30T03:56:41Z,2017-11-30T03:56:41Z,82
258,2017-11-07T09:54:56Z,,2018-10-13T09:55:17Z,170
256,2017-11-06T16:14:08Z,,2019-04-13T08:51:03Z,49
255,2017-10-29T23:52:18Z,2017-10-30T00:43:23Z,2017-10-30T00:43:23Z,32
254,2017-10-24T08:44:09Z,2017-10-28T15:52:46Z,2017-10-28T15:52:46Z,28
