number,created_at,merged_at,closed_at,desc_len
4263,2017-08-27T19:16:18Z,,2018-03-08T18:01:26Z,151
4262,2017-08-27T17:20:21Z,,2017-08-27T17:33:10Z,211
4261,2017-08-27T07:55:16Z,2017-08-27T13:00:38Z,2017-08-27T13:00:38Z,212
4258,2017-08-26T21:20:51Z,,2017-08-27T07:53:04Z,27
4245,2017-08-17T02:14:02Z,2017-08-17T19:34:07Z,2017-08-17T19:34:07Z,330
4241,2017-08-11T20:06:33Z,,2018-02-24T14:53:50Z,23
4240,2017-08-11T19:49:57Z,2017-08-12T14:41:27Z,2017-08-12T14:41:28Z,127
4237,2017-08-10T17:27:45Z,2017-08-10T18:02:57Z,2017-08-10T18:02:57Z,76
4234,2017-08-10T09:46:28Z,,2017-08-10T15:11:11Z,127
4231,2017-08-09T18:02:49Z,2017-08-10T18:03:37Z,2017-08-10T18:03:37Z,310
4229,2017-08-09T12:42:35Z,2017-08-09T17:56:40Z,2017-08-09T17:56:40Z,50
4226,2017-08-08T23:17:03Z,,2017-08-09T17:57:03Z,10
4225,2017-08-08T23:03:14Z,,2017-08-08T23:03:26Z,11
4223,2017-08-08T12:33:55Z,2017-08-08T14:42:55Z,2017-08-08T14:42:55Z,29
4217,2017-08-02T14:26:47Z,2017-08-02T14:38:47Z,2017-08-02T14:38:47Z,21
4210,2017-07-29T11:15:18Z,2017-07-29T11:27:18Z,2017-07-29T11:27:18Z,43
4207,2017-07-27T00:24:53Z,2017-07-27T04:40:04Z,2017-07-27T04:40:04Z,149
4206,2017-07-26T19:36:38Z,2017-07-26T19:57:22Z,2017-07-26T19:57:22Z,445
4204,2017-07-26T09:25:09Z,2017-07-26T10:03:58Z,2017-07-26T10:03:58Z,444
4198,2017-07-21T03:49:32Z,2017-07-21T06:05:11Z,2017-07-21T06:05:11Z,15
4196,2017-07-20T09:09:54Z,2017-07-20T11:52:12Z,2017-07-20T11:52:12Z,75
4195,2017-07-20T08:11:06Z,2017-07-20T08:13:06Z,2017-07-20T08:13:07Z,204
4194,2017-07-19T13:25:34Z,,2017-07-19T13:28:22Z,812
4192,2017-07-15T04:45:56Z,2017-07-15T06:39:02Z,2017-07-15T06:39:02Z,818
4188,2017-07-08T18:46:33Z,,2018-04-29T19:08:16Z,91
4183,2017-07-03T23:47:34Z,2017-07-04T08:16:03Z,2017-07-04T08:16:03Z,667
4182,2017-07-03T22:32:02Z,2017-07-27T20:54:10Z,2017-07-27T20:54:10Z,53
4179,2017-06-27T15:27:33Z,,2020-01-10T22:57:13Z,396
4175,2017-06-26T06:36:56Z,,2017-06-26T06:44:56Z,40
4174,2017-06-25T16:51:24Z,2017-07-27T15:51:33Z,2017-07-27T15:51:34Z,37
4173,2017-06-24T23:12:46Z,2017-06-27T13:54:40Z,2017-06-27T13:54:40Z,181
4162,2017-06-15T19:18:51Z,,2017-06-15T19:21:18Z,108
4152,2017-06-11T17:27:19Z,2017-06-11T17:34:36Z,2017-06-11T17:34:36Z,35
4151,2017-06-10T23:47:57Z,2017-06-11T09:26:52Z,2017-06-11T09:26:52Z,56
4150,2017-06-10T08:27:18Z,,2017-06-10T08:49:18Z,61
4146,2017-06-09T16:55:15Z,,2018-02-27T17:11:36Z,87
4145,2017-06-09T08:56:31Z,2017-06-09T09:04:40Z,2017-06-09T09:04:40Z,4
4144,2017-06-08T21:07:53Z,2017-06-09T01:40:08Z,2017-06-09T01:40:08Z,683
4140,2017-06-07T12:50:46Z,2017-06-09T17:30:57Z,2017-06-09T17:30:57Z,52
4137,2017-06-06T22:27:04Z,2017-06-07T07:51:42Z,2017-06-07T07:51:42Z,333
4135,2017-06-06T21:44:41Z,2017-06-06T22:00:39Z,2017-06-06T22:00:39Z,142
4134,2017-06-06T21:30:12Z,2017-06-09T18:34:56Z,2017-06-09T18:34:57Z,48
4132,2017-06-06T20:49:25Z,,2017-06-07T15:07:01Z,31
4129,2017-06-06T04:03:35Z,2017-06-06T04:07:28Z,2017-06-06T04:07:28Z,30
4124,2017-06-03T12:15:30Z,,2017-06-03T21:11:20Z,27
4120,2017-05-31T09:30:42Z,2017-06-10T06:57:24Z,2017-06-10T06:57:24Z,180
4118,2017-05-30T22:33:15Z,2017-07-26T19:59:40Z,2017-07-26T19:59:40Z,117
4116,2017-05-30T20:36:20Z,,2017-05-30T20:52:43Z,35
4115,2017-05-30T14:21:56Z,,2017-05-30T19:45:53Z,86
4114,2017-05-30T10:03:05Z,2017-05-30T12:54:32Z,2017-05-30T12:54:32Z,107
4111,2017-05-30T04:56:03Z,,2017-05-30T06:52:35Z,89
4108,2017-05-30T02:35:48Z,2017-05-30T03:08:03Z,2017-05-30T03:08:03Z,19
4107,2017-05-29T22:32:44Z,,2017-05-29T22:35:43Z,15
4106,2017-05-29T21:28:15Z,2017-05-29T21:31:49Z,2017-05-29T21:31:49Z,62
4103,2017-05-29T19:43:03Z,2017-05-29T19:45:39Z,2017-05-29T19:45:39Z,44
4100,2017-05-29T16:56:29Z,2017-05-29T17:14:43Z,2017-05-29T17:14:43Z,304
4099,2017-05-29T16:12:09Z,2017-05-29T17:15:21Z,2017-05-29T17:15:21Z,18
4098,2017-05-29T10:33:18Z,,2017-05-29T17:24:48Z,823
4095,2017-05-29T06:01:26Z,,2017-05-29T15:40:06Z,4
4094,2017-05-29T05:32:02Z,2017-05-29T05:53:27Z,2017-05-29T05:53:27Z,6
4093,2017-05-29T05:27:48Z,,2017-05-29T05:53:09Z,12
4092,2017-05-29T05:02:57Z,,2017-05-29T05:26:49Z,8
4091,2017-05-29T04:41:12Z,,2017-05-29T05:01:47Z,27
4090,2017-05-29T03:36:35Z,,2017-05-29T05:01:35Z,13
4089,2017-05-29T01:29:45Z,,2017-05-29T03:36:01Z,6
4088,2017-05-29T00:18:28Z,,2017-05-29T01:51:22Z,6
4087,2017-05-29T00:07:12Z,,2017-05-29T00:17:04Z,6
4086,2017-05-28T16:54:31Z,2017-05-28T18:38:52Z,2017-05-28T18:38:52Z,20
4084,2017-05-28T04:03:02Z,,2017-05-28T04:11:40Z,14
4083,2017-05-28T02:55:39Z,2017-05-28T03:37:38Z,2017-05-28T03:37:38Z,16
4082,2017-05-28T02:02:38Z,,2017-05-28T02:05:29Z,14
4081,2017-05-27T23:05:01Z,,2017-05-28T02:05:42Z,22
4079,2017-05-27T20:46:10Z,2017-05-27T20:58:19Z,2017-05-27T20:58:19Z,833
4067,2017-05-27T02:45:50Z,2017-05-27T03:33:28Z,2017-05-27T03:33:28Z,130
4066,2017-05-27T01:15:12Z,2017-05-27T01:33:29Z,2017-05-27T01:33:29Z,52
4064,2017-05-25T23:45:24Z,2017-05-25T23:46:09Z,2017-05-25T23:46:09Z,149
4063,2017-05-25T23:23:57Z,2017-05-25T23:24:02Z,2017-05-25T23:24:02Z,7
4059,2017-05-25T15:32:14Z,2017-05-25T16:39:44Z,2017-05-25T16:39:44Z,14
4058,2017-05-25T00:47:56Z,,2017-05-25T15:48:11Z,360
4056,2017-05-24T17:05:15Z,2017-05-24T17:46:12Z,2017-05-24T17:46:12Z,173
4052,2017-05-24T05:51:20Z,2017-05-27T01:34:30Z,2017-05-27T01:34:30Z,329
4050,2017-05-23T17:50:04Z,2018-05-17T20:56:18Z,2018-05-17T20:56:18Z,593
4048,2017-05-23T08:35:52Z,,2017-05-24T04:12:30Z,1211
4047,2017-05-22T21:17:24Z,,2017-05-24T17:57:58Z,961
4044,2017-05-21T15:39:06Z,,2017-05-30T17:12:52Z,243
4042,2017-05-21T00:06:13Z,2017-05-23T14:39:37Z,2017-05-23T14:39:37Z,621
4041,2017-05-20T14:41:02Z,2017-05-20T15:11:12Z,2017-05-20T15:11:12Z,234
4036,2017-05-17T22:16:11Z,2017-05-17T22:47:49Z,2017-05-17T22:47:49Z,511
4033,2017-05-17T17:47:58Z,2017-05-18T01:41:01Z,2017-05-18T01:41:01Z,50
4029,2017-05-17T14:32:46Z,,2017-05-18T16:05:41Z,70
4027,2017-05-16T23:24:10Z,,2017-05-18T15:24:27Z,89
4026,2017-05-16T23:02:02Z,2017-05-18T14:50:40Z,2017-05-18T14:50:40Z,89
4015,2017-05-10T16:06:54Z,2017-05-10T19:04:04Z,2017-05-10T19:04:04Z,442
4014,2017-05-10T13:20:58Z,2017-05-10T14:02:55Z,2017-05-10T14:02:55Z,224
4007,2017-05-09T18:12:19Z,2017-05-09T18:55:57Z,2017-05-09T18:55:57Z,138
4004,2017-05-09T08:38:51Z,2017-05-09T15:42:02Z,2017-05-09T15:42:02Z,136
4001,2017-05-07T01:26:09Z,2017-05-07T04:07:02Z,2017-05-07T04:07:02Z,106
3998,2017-05-04T23:00:12Z,,2018-04-29T18:58:10Z,525
3996,2017-05-02T12:08:27Z,,2017-05-02T12:12:52Z,347
3991,2017-04-25T20:52:20Z,2017-04-26T12:09:35Z,2017-04-26T12:09:35Z,27
3988,2017-04-24T17:36:21Z,2017-05-03T17:25:26Z,2017-05-03T17:25:26Z,112
3987,2017-04-24T16:56:10Z,,2017-04-24T16:56:19Z,76
3984,2017-04-21T13:48:45Z,2017-04-26T15:07:46Z,2017-04-26T15:07:46Z,301
3983,2017-04-21T11:09:03Z,2017-04-24T16:49:25Z,2017-04-24T16:49:26Z,519
3982,2017-04-21T10:44:14Z,2017-04-21T10:54:33Z,2017-04-21T10:54:33Z,31
3981,2017-04-21T10:23:04Z,2017-04-21T10:32:41Z,2017-04-21T10:32:41Z,23
