number,created_at,merged_at,closed_at,desc_len
3551,2019-09-01T08:05:58Z,2019-09-01T13:27:37Z,2019-09-01T13:27:37Z,50
3550,2019-08-31T02:02:48Z,2020-07-14T14:09:04Z,2020-07-14T14:09:04Z,332
3549,2019-08-30T18:34:06Z,2019-08-31T17:37:44Z,2019-08-31T17:37:44Z,107
3548,2019-08-30T18:30:17Z,2019-09-02T04:44:05Z,2019-09-02T04:44:05Z,77
3547,2019-08-30T18:29:16Z,2019-08-31T17:37:59Z,2019-08-31T17:37:59Z,49
3546,2019-08-30T16:26:59Z,2019-08-30T18:06:31Z,2019-08-30T18:06:31Z,32
3545,2019-08-30T16:15:52Z,2019-08-30T16:23:18Z,2019-08-30T16:23:18Z,80
3544,2019-08-30T16:12:09Z,2019-08-30T16:22:25Z,2019-08-30T16:22:25Z,55
3543,2019-08-30T16:03:40Z,2019-08-30T16:22:50Z,2019-08-30T16:22:50Z,96
3542,2019-08-30T15:59:00Z,2019-08-30T16:00:16Z,2019-08-30T16:00:16Z,65
3541,2019-08-30T15:52:49Z,2019-08-30T15:55:21Z,2019-08-30T15:55:21Z,227
3540,2019-08-30T00:10:45Z,2019-08-30T14:33:49Z,2019-08-30T14:33:49Z,150
3539,2019-08-29T21:19:34Z,2019-08-30T04:13:02Z,2019-08-30T04:13:03Z,187
3538,2019-08-29T20:55:13Z,2019-08-30T04:12:19Z,2019-08-30T04:12:19Z,42
3537,2019-08-29T20:43:45Z,2019-08-30T14:31:18Z,2019-08-30T14:31:19Z,105
3536,2019-08-29T19:13:17Z,2019-09-06T20:29:46Z,2019-09-06T20:29:46Z,223
3535,2019-08-29T18:26:44Z,,2019-08-29T18:30:24Z,164
3534,2019-08-29T18:23:19Z,2019-08-29T19:00:14Z,2019-08-29T19:00:14Z,83
3533,2019-08-29T18:17:47Z,2019-08-29T19:07:04Z,2019-08-29T19:07:04Z,77
3532,2019-08-29T18:09:47Z,2019-08-29T18:59:36Z,2019-08-29T18:59:36Z,120
