number,created_at,merged_at,closed_at,desc_len
104,2013-11-19T16:46:56Z,,2013-11-19T17:28:35Z,26
103,2013-11-19T16:46:08Z,,2013-11-19T17:28:39Z,18
102,2013-11-19T16:43:00Z,,2013-11-19T17:28:45Z,10
101,2013-11-19T16:39:48Z,2013-11-19T16:44:20Z,2013-11-19T16:44:20Z,40
100,2013-11-19T16:39:25Z,2013-11-19T16:39:29Z,2013-11-19T16:39:29Z,87
99,2013-11-19T16:37:43Z,2013-11-19T16:37:48Z,2013-11-19T16:37:48Z,169
98,2013-11-19T16:37:23Z,,2013-11-19T16:40:28Z,34
97,2013-11-19T16:37:16Z,,2013-11-19T16:40:31Z,51
96,2013-11-19T16:33:52Z,,2013-11-19T16:40:34Z,32
95,2013-11-19T16:28:25Z,,2013-11-19T16:40:46Z,17
94,2013-11-19T16:27:33Z,,2013-11-19T16:41:14Z,10
93,2013-11-19T16:24:03Z,,2013-11-19T16:41:17Z,15
92,2013-11-19T16:22:59Z,,2013-11-19T16:41:25Z,126
91,2013-11-19T16:19:43Z,,2013-11-19T16:41:55Z,10
90,2013-11-19T16:18:40Z,,2013-11-19T16:41:28Z,15
89,2013-11-19T16:15:28Z,2013-11-19T16:34:00Z,2013-11-19T16:34:00Z,26
88,2013-11-19T15:23:39Z,2013-11-19T15:39:24Z,2013-11-19T15:39:24Z,41
87,2013-11-19T15:09:31Z,2013-11-19T15:16:31Z,2013-11-19T15:16:31Z,24
86,2013-11-19T14:54:53Z,2013-11-19T14:55:00Z,2013-11-19T14:55:00Z,7
85,2013-11-19T14:50:54Z,,2013-11-19T14:55:27Z,35
84,2013-11-19T14:42:56Z,2013-11-19T14:43:07Z,2013-11-19T14:43:07Z,28
83,2013-11-19T14:30:34Z,2013-11-19T14:30:41Z,2013-11-19T14:30:41Z,53
82,2013-11-19T14:28:41Z,2013-11-19T14:28:55Z,2013-11-19T14:28:55Z,41
81,2013-11-19T14:28:25Z,,2013-11-19T14:31:27Z,130
80,2013-11-19T14:28:17Z,,2013-11-19T14:31:33Z,11
79,2013-11-19T14:23:21Z,2013-11-19T14:24:56Z,2013-11-19T14:24:56Z,23
78,2013-11-19T14:16:11Z,2013-11-19T14:16:36Z,2013-11-19T14:16:36Z,77
77,2013-11-19T14:05:30Z,2013-11-19T14:07:18Z,2013-11-19T14:07:18Z,7
76,2013-11-19T13:57:45Z,2013-11-19T14:03:52Z,2013-11-19T14:03:52Z,10
75,2013-11-18T21:12:21Z,2013-11-19T13:41:34Z,2013-11-19T13:41:34Z,238
74,2013-11-18T16:49:01Z,2013-11-19T13:37:33Z,2013-11-19T13:37:33Z,333
71,2013-11-18T14:03:31Z,2013-11-18T14:31:59Z,2013-11-18T14:31:59Z,59
68,2013-06-01T13:26:17Z,2013-11-18T09:49:51Z,2013-11-18T09:49:51Z,291
67,2013-05-20T20:39:18Z,,2013-05-20T20:39:31Z,96
66,2013-05-06T14:06:15Z,,2013-05-22T19:17:58Z,218
65,2013-04-04T15:24:40Z,,2013-05-20T20:49:59Z,237
63,2013-03-31T20:55:13Z,2013-04-04T12:57:15Z,2013-04-04T12:57:15Z,347
62,2013-03-30T16:49:36Z,2013-05-20T20:28:45Z,2013-05-20T20:28:45Z,103
60,2013-03-25T20:44:46Z,2013-05-20T20:34:31Z,2013-05-20T20:34:31Z,192
59,2013-03-10T00:12:40Z,2013-05-20T20:33:59Z,2013-05-20T20:33:59Z,177
58,2013-03-09T23:50:54Z,,2013-05-20T20:32:13Z,167
56,2013-01-29T20:27:49Z,,2013-05-20T20:54:24Z,33
54,2012-11-14T11:48:55Z,2013-01-17T17:55:38Z,2013-01-17T17:55:38Z,68
53,2012-09-27T15:41:15Z,2012-10-25T20:08:44Z,2012-10-25T20:08:44Z,179
52,2012-09-17T17:16:26Z,,2013-01-17T17:55:45Z,112
50,2012-09-04T18:09:19Z,,2012-09-05T18:22:59Z,114
49,2012-09-04T18:07:17Z,2013-05-20T20:15:09Z,2013-05-20T20:15:09Z,114
47,2012-09-04T02:21:30Z,,2012-09-04T07:50:43Z,271
46,2012-09-04T01:19:17Z,2012-09-04T07:51:00Z,2012-09-04T07:51:00Z,307
45,2012-09-03T10:53:16Z,2012-09-03T19:53:25Z,2012-09-03T19:53:25Z,122
43,2012-09-02T22:57:25Z,,2012-09-04T08:02:50Z,82
41,2012-09-02T19:57:38Z,2012-09-03T19:49:50Z,2012-09-03T19:49:50Z,226
38,2012-08-29T17:26:30Z,2012-09-04T15:25:30Z,2012-09-04T15:25:30Z,335
37,2012-06-26T00:32:34Z,2012-06-26T10:20:16Z,2012-06-26T10:20:16Z,219
36,2012-06-23T13:17:38Z,2012-06-25T10:21:14Z,2012-06-25T10:21:14Z,156
33,2011-12-13T18:26:41Z,2012-04-16T09:13:07Z,2012-04-16T09:13:07Z,229
29,2011-06-08T19:36:53Z,2012-09-04T20:34:04Z,2012-09-04T20:34:04Z,512
28,2011-06-04T20:05:55Z,2011-07-26T20:13:44Z,2011-07-26T20:13:44Z,90
27,2011-06-01T22:30:18Z,2011-07-26T20:51:08Z,2011-07-26T20:51:08Z,252
26,2011-06-01T18:27:32Z,2011-07-29T19:24:49Z,2011-07-29T19:24:49Z,180
25,2011-06-01T17:17:13Z,2011-07-26T21:42:26Z,2011-07-26T21:42:26Z,108
24,2011-05-13T03:19:21Z,2011-05-16T22:10:48Z,2011-05-16T22:10:48Z,162
23,2011-04-25T08:15:33Z,2011-07-29T20:33:39Z,2011-07-29T20:33:39Z,179
22,2011-04-24T15:25:36Z,2012-09-04T22:22:48Z,2012-09-04T22:22:48Z,514
21,2011-04-21T19:58:00Z,2011-05-01T23:56:17Z,2011-05-01T23:56:17Z,69
20,2011-04-21T16:55:11Z,2011-05-01T23:57:55Z,2011-05-01T23:57:55Z,715
19,2011-04-19T06:32:44Z,2011-05-01T23:58:18Z,2011-05-01T23:58:18Z,447
18,2011-04-09T15:08:45Z,2011-05-01T23:56:40Z,2011-05-01T23:56:40Z,252
14,2011-03-22T20:57:07Z,2011-03-24T19:53:20Z,2011-03-24T19:53:20Z,104
8,2011-02-07T13:00:33Z,2011-02-07T17:10:49Z,2011-02-08T01:10:49Z,326
1,2011-02-06T17:22:37Z,2011-02-06T18:35:09Z,2011-02-06T18:35:09Z,17
292,2023-01-13T20:12:25Z,,2023-05-05T17:30:54Z,200
290,2022-10-16T23:25:26Z,,2022-10-16T23:25:35Z,18
269,2020-12-16T05:18:27Z,,2020-12-16T05:19:48Z,36
255,2018-11-17T01:11:44Z,,2019-06-04T20:36:17Z,31
254,2018-10-26T15:36:38Z,,2019-02-19T16:30:49Z,44
248,2017-08-12T08:19:10Z,,2022-11-25T06:06:48Z,909
237,2016-08-05T05:34:52Z,2016-08-05T05:37:30Z,2016-08-05T05:37:30Z,99
233,2016-06-03T09:02:12Z,2016-06-03T09:05:41Z,2016-06-03T09:05:41Z,359
232,2016-06-03T08:51:55Z,2016-06-03T08:54:35Z,2016-06-03T08:54:35Z,131
231,2016-05-26T14:44:49Z,2016-06-01T08:13:26Z,2016-06-01T08:13:26Z,354
230,2016-05-19T11:42:06Z,2016-06-01T08:11:05Z,2016-06-01T08:11:05Z,67
229,2016-05-07T05:45:36Z,2016-05-07T06:00:38Z,2016-05-07T06:00:38Z,145
228,2016-05-05T19:20:29Z,2016-05-07T06:02:50Z,2016-05-07T06:02:50Z,65
225,2016-02-22T02:41:25Z,2016-02-22T02:47:56Z,2016-02-22T02:47:56Z,41
224,2016-02-20T14:34:42Z,2016-02-22T02:12:30Z,2016-02-22T02:12:30Z,154
223,2016-02-20T14:23:31Z,2016-02-22T02:10:23Z,2016-02-22T02:10:23Z,97
221,2016-02-19T03:23:39Z,2016-02-19T03:44:17Z,2016-02-19T03:44:17Z,191
220,2016-02-17T07:01:17Z,2016-02-18T16:57:56Z,2016-02-18T16:57:56Z,8
219,2016-02-08T11:37:38Z,2016-02-08T12:38:48Z,2016-02-08T12:38:48Z,104
218,2016-02-08T08:52:26Z,,2016-02-08T12:11:35Z,68
215,2016-01-10T16:22:58Z,2016-02-07T15:59:07Z,2016-02-07T15:59:07Z,167
214,2016-01-03T02:42:47Z,,2016-02-16T03:39:27Z,137
213,2015-12-29T06:48:55Z,,2016-02-09T15:11:04Z,25
212,2015-11-07T11:01:22Z,,2016-02-08T01:26:56Z,276
211,2015-10-31T12:00:55Z,2016-02-18T16:59:32Z,2016-02-18T16:59:32Z,29
209,2015-08-30T22:45:15Z,2016-02-09T15:06:48Z,2016-02-09T15:06:48Z,129
207,2015-08-10T19:32:36Z,,2016-02-18T16:59:57Z,161
205,2015-07-08T16:54:38Z,2016-02-16T14:04:27Z,2016-02-16T14:04:27Z,245
204,2015-05-27T16:00:28Z,,2016-02-18T17:00:23Z,23
202,2015-05-20T02:41:15Z,,2016-02-16T03:38:58Z,91
200,2015-04-01T12:14:01Z,2016-02-17T06:19:53Z,2016-02-17T06:19:53Z,127
199,2015-02-10T06:13:30Z,2016-02-08T16:08:35Z,2016-02-08T16:08:35Z,214
198,2014-12-19T17:41:08Z,,2015-08-02T21:44:28Z,297
192,2014-08-30T16:42:15Z,,2016-02-16T03:26:03Z,125
190,2014-06-30T20:21:13Z,,2016-02-16T14:09:31Z,346
188,2014-06-02T10:13:40Z,,2016-02-18T17:03:21Z,67
186,2014-05-14T14:05:01Z,,2015-02-21T18:46:10Z,142
185,2014-05-14T13:57:29Z,,2014-05-14T13:59:42Z,26
184,2014-05-13T08:50:36Z,,2016-02-18T17:01:56Z,182
183,2014-05-06T07:47:23Z,,2016-02-16T03:42:58Z,102
181,2014-01-21T19:37:44Z,,2014-01-21T20:00:52Z,643
180,2014-01-20T19:28:32Z,,2016-02-08T08:54:03Z,149
178,2014-01-07T12:50:44Z,,2016-02-17T15:34:51Z,85
176,2013-12-18T03:20:39Z,2016-02-08T01:34:00Z,2016-02-08T01:34:00Z,156
174,2013-12-10T12:54:13Z,,2016-02-18T17:02:39Z,116
172,2013-12-06T18:26:41Z,2016-02-17T07:10:25Z,2016-02-17T07:10:25Z,164
171,2013-12-06T17:31:05Z,2013-12-06T17:40:48Z,2013-12-06T17:40:48Z,37
170,2013-12-06T15:30:32Z,2013-12-06T15:30:46Z,2013-12-06T15:30:46Z,88
169,2013-12-05T19:52:02Z,2013-12-06T17:28:24Z,2013-12-06T17:28:24Z,250
167,2013-12-04T13:52:57Z,2013-12-06T17:26:55Z,2013-12-06T17:26:55Z,27
165,2013-12-03T10:11:00Z,2013-12-06T17:26:37Z,2013-12-06T17:26:37Z,199
164,2013-12-03T09:51:16Z,,2013-12-03T09:58:05Z,30
163,2013-12-02T21:14:01Z,2013-12-06T17:40:59Z,2013-12-06T17:40:59Z,66
162,2013-12-02T19:52:38Z,2013-12-06T17:29:22Z,2013-12-06T17:29:22Z,317
156,2013-11-28T12:45:30Z,2013-11-28T15:32:03Z,2013-11-28T15:32:03Z,557
154,2013-11-26T16:33:32Z,2013-11-27T21:47:54Z,2013-11-27T21:47:54Z,629
153,2013-11-26T09:43:48Z,2013-11-26T15:10:51Z,2013-11-26T15:10:51Z,139
150,2013-11-23T08:39:37Z,,2013-11-24T02:00:49Z,22
149,2013-11-23T00:58:13Z,2013-11-24T02:02:17Z,2013-11-24T02:02:17Z,37
146,2013-11-21T21:04:54Z,2013-11-24T17:24:06Z,2013-11-24T17:24:06Z,32
145,2013-11-20T19:59:57Z,2013-11-24T02:03:28Z,2013-11-24T02:03:28Z,48
144,2013-11-20T15:56:47Z,,2013-11-20T16:04:03Z,40
143,2013-11-20T09:54:10Z,,2013-11-20T10:25:12Z,23
142,2013-11-20T05:12:19Z,,2013-11-20T10:25:16Z,36
141,2013-11-20T01:11:15Z,,2013-11-20T10:25:20Z,10
140,2013-11-19T22:20:00Z,,2013-11-20T10:25:24Z,25
139,2013-11-19T22:17:02Z,2013-11-20T09:49:39Z,2013-11-20T09:49:39Z,234
138,2013-11-19T22:11:22Z,,2013-11-20T10:25:29Z,38
137,2013-11-19T21:36:45Z,,2013-11-20T10:25:34Z,17
136,2013-11-19T21:18:13Z,,2013-11-20T10:25:40Z,59
135,2013-11-19T21:12:22Z,,2013-11-20T10:25:47Z,242
134,2013-11-19T20:24:18Z,,2013-11-20T10:28:01Z,18
133,2013-11-19T20:15:32Z,,2013-11-20T10:26:41Z,394
132,2013-11-19T20:11:39Z,,2013-11-20T10:26:45Z,6
131,2013-11-19T19:59:25Z,,2013-11-20T10:26:49Z,23
130,2013-11-19T19:56:20Z,,2013-11-20T10:26:53Z,9
129,2013-11-19T19:55:52Z,,2013-11-20T10:26:57Z,38
128,2013-11-19T19:55:44Z,,2013-11-20T10:27:01Z,35
126,2013-11-19T19:33:19Z,,2013-11-20T10:27:04Z,27
