number,created_at,merged_at,closed_at,desc_len
4654,2023-06-15T17:05:58Z,2023-06-15T18:11:34Z,2023-06-15T18:11:34Z,12
4653,2023-06-15T16:19:07Z,2023-06-15T16:29:35Z,2023-06-15T16:29:35Z,91
4647,2023-06-15T06:19:34Z,2023-06-15T06:21:44Z,2023-06-15T06:21:44Z,68
4645,2023-06-14T15:27:44Z,2023-06-14T15:28:34Z,2023-06-14T15:28:34Z,27
4644,2023-06-14T07:59:05Z,2023-06-14T10:03:15Z,2023-06-14T10:03:15Z,68
4643,2023-06-14T07:22:49Z,2023-06-14T07:39:05Z,2023-06-14T07:39:05Z,39
4641,2023-06-14T01:07:59Z,,2023-06-14T08:02:54Z,780
4636,2023-06-13T12:01:47Z,2023-06-13T12:04:42Z,2023-06-13T12:04:42Z,22
4635,2023-06-13T09:10:52Z,2023-06-13T09:15:31Z,2023-06-13T09:15:31Z,256
4634,2023-06-13T07:58:13Z,2023-06-13T08:10:54Z,2023-06-13T08:10:54Z,162
4632,2023-06-13T03:01:13Z,2023-06-13T03:08:01Z,2023-06-13T03:08:01Z,217
4629,2023-06-12T13:26:55Z,2023-06-12T13:28:32Z,2023-06-12T13:28:32Z,50
4625,2023-06-12T07:53:30Z,2023-06-12T07:54:27Z,2023-06-12T07:54:27Z,12
4624,2023-06-12T07:06:19Z,2023-06-12T07:07:33Z,2023-06-12T07:07:33Z,77
4617,2023-06-11T10:01:37Z,2023-06-11T10:16:38Z,2023-06-11T10:16:38Z,12
4616,2023-06-11T08:45:49Z,2023-06-11T08:48:49Z,2023-06-11T08:48:49Z,201
4615,2023-06-11T08:11:28Z,2023-06-11T08:13:36Z,2023-06-11T08:13:36Z,30
4614,2023-06-11T08:00:33Z,2023-06-11T08:13:14Z,2023-06-11T08:13:14Z,29
4613,2023-06-11T00:56:57Z,2023-06-11T02:56:27Z,2023-06-11T02:56:27Z,12
4611,2023-06-10T16:52:59Z,2023-06-10T18:29:53Z,2023-06-10T18:29:53Z,211
4608,2023-06-10T07:01:17Z,2023-06-10T07:05:36Z,2023-06-10T07:05:36Z,13
4607,2023-06-10T01:07:07Z,2023-06-10T03:55:48Z,2023-06-10T03:55:48Z,13
4605,2023-06-09T21:56:32Z,2023-06-10T03:53:28Z,2023-06-10T03:53:28Z,113
4596,2023-06-09T08:09:11Z,2023-06-09T08:10:39Z,2023-06-09T08:10:39Z,80
4592,2023-06-08T14:09:09Z,2023-06-08T14:50:56Z,2023-06-08T14:50:56Z,12
4591,2023-06-08T14:04:03Z,2023-06-08T14:50:38Z,2023-06-08T14:50:38Z,78
4587,2023-06-08T08:43:01Z,2023-06-08T08:43:06Z,2023-06-08T08:43:06Z,87
4586,2023-06-08T08:22:23Z,2023-06-08T08:28:26Z,2023-06-08T08:28:26Z,48
4584,2023-06-08T02:22:54Z,2023-06-08T02:32:12Z,2023-06-08T02:32:12Z,227
4582,2023-06-07T16:36:22Z,2023-06-07T16:37:55Z,2023-06-07T16:37:55Z,39
4581,2023-06-07T14:48:44Z,2023-06-07T14:53:35Z,2023-06-07T14:53:35Z,57
4580,2023-06-07T14:39:22Z,2023-06-07T14:42:56Z,2023-06-07T14:42:56Z,58
4578,2023-06-07T12:52:42Z,2023-06-07T15:20:18Z,2023-06-07T15:20:18Z,1708
4577,2023-06-07T12:42:31Z,2023-06-07T15:19:53Z,2023-06-07T15:19:53Z,9
4576,2023-06-07T12:19:48Z,2023-06-07T12:24:21Z,2023-06-07T12:24:21Z,197
4572,2023-06-07T08:34:34Z,2023-06-07T08:37:04Z,2023-06-07T08:37:04Z,68
4569,2023-06-07T05:44:06Z,2023-06-07T11:54:10Z,2023-06-07T11:54:10Z,296
4566,2023-06-06T18:52:11Z,2023-06-06T18:56:56Z,2023-06-06T18:56:56Z,343
