number,created_at,merged_at,closed_at,desc_len
63,2017-01-07T13:20:25Z,,2017-01-07T13:20:51Z,20
62,2017-01-07T13:17:10Z,2017-01-08T18:18:36Z,2017-01-08T18:18:36Z,31
61,2017-01-07T12:30:56Z,,2017-01-08T18:23:44Z,37
60,2017-01-07T11:24:15Z,2017-01-08T17:05:13Z,2017-01-08T17:05:13Z,195
58,2017-01-07T05:51:58Z,2017-01-08T17:21:02Z,2017-01-08T17:21:02Z,304
57,2017-01-07T05:43:05Z,,2017-01-08T17:26:39Z,99
56,2017-01-07T05:18:56Z,2017-01-08T18:12:33Z,2017-01-08T18:12:33Z,79
54,2017-01-07T04:53:42Z,2017-01-08T17:23:13Z,2017-01-08T17:23:13Z,188
53,2017-01-07T03:52:02Z,2017-01-08T17:35:22Z,2017-01-08T17:35:22Z,157
51,2017-01-06T22:02:49Z,2017-01-08T16:42:27Z,2017-01-08T16:42:27Z,98
48,2017-01-06T19:24:01Z,,2017-01-09T15:23:01Z,345
47,2017-01-06T19:19:07Z,2017-01-11T03:20:24Z,2017-01-11T03:20:24Z,121
46,2017-01-06T18:34:26Z,2017-01-07T01:28:42Z,2017-01-07T01:28:42Z,35
44,2017-01-06T16:42:44Z,,2017-01-07T03:25:39Z,22
43,2017-01-06T16:42:18Z,2017-01-07T03:13:30Z,2017-01-07T03:13:30Z,27
39,2017-01-06T13:48:47Z,2017-01-07T01:37:57Z,2017-01-07T01:37:57Z,214
38,2017-01-06T12:02:18Z,,2017-01-08T16:58:10Z,126
37,2017-01-06T08:52:10Z,2017-01-11T03:29:28Z,2017-01-11T03:29:28Z,197
36,2017-01-06T07:25:18Z,,2017-01-15T18:53:28Z,833
35,2017-01-06T04:58:58Z,2017-01-06T05:12:08Z,2017-01-06T05:12:08Z,114
34,2017-01-06T04:16:49Z,2017-01-11T03:23:09Z,2017-01-11T03:23:09Z,572
33,2017-01-06T04:12:30Z,2017-01-11T03:30:48Z,2017-01-11T03:30:48Z,106
32,2017-01-06T03:41:36Z,2017-01-06T04:02:29Z,2017-01-06T04:02:29Z,500
29,2017-01-06T01:46:20Z,2017-01-06T02:19:49Z,2017-01-06T02:19:49Z,131
28,2017-01-05T23:06:44Z,2017-01-05T23:29:31Z,2017-01-05T23:29:31Z,140
27,2017-01-05T21:34:13Z,2017-01-06T02:34:42Z,2017-01-06T02:34:42Z,407
26,2017-01-05T20:43:52Z,2017-01-05T22:27:18Z,2017-01-05T22:27:18Z,291
24,2017-01-05T14:39:21Z,2017-01-05T14:51:23Z,2017-01-05T14:51:23Z,179
22,2017-01-05T12:05:58Z,2017-01-05T14:51:53Z,2017-01-05T14:51:53Z,50
21,2017-01-05T07:49:52Z,2017-01-05T14:53:02Z,2017-01-05T14:53:02Z,79
