number,created_at,merged_at,closed_at,desc_len
43,2018-10-28T02:15:13Z,2018-10-28T02:34:25Z,2018-10-28T02:34:26Z,92
42,2018-10-27T13:16:23Z,2018-10-27T14:23:12Z,2018-10-27T14:23:12Z,25
41,2018-10-27T10:42:39Z,2018-10-27T14:22:48Z,2018-10-27T14:22:49Z,80
40,2018-10-27T07:39:55Z,2018-10-27T14:22:27Z,2018-10-27T14:22:27Z,15
39,2018-10-27T06:05:06Z,2018-10-27T14:21:42Z,2018-10-27T14:21:42Z,27
38,2018-10-27T01:30:47Z,2018-10-27T02:41:07Z,2018-10-27T02:41:07Z,26
37,2018-10-26T16:42:48Z,2018-10-27T00:50:11Z,2018-10-27T00:50:11Z,5
36,2018-10-26T13:56:14Z,2018-10-26T13:57:56Z,2018-10-26T13:57:56Z,30
35,2018-10-26T12:39:17Z,2018-10-26T13:53:27Z,2018-10-26T13:53:27Z,14
34,2018-10-26T12:22:25Z,2018-10-26T12:30:22Z,2018-10-26T12:30:22Z,16
33,2018-10-26T11:30:00Z,2018-10-26T11:36:21Z,2018-10-26T11:36:21Z,16
32,2018-10-26T10:34:21Z,2018-10-26T11:35:50Z,2018-10-26T11:35:50Z,66
31,2018-10-26T09:04:53Z,2018-10-26T09:09:30Z,2018-10-26T09:09:31Z,56
30,2018-10-26T08:55:14Z,,2018-10-28T12:43:57Z,146
29,2018-10-26T06:47:16Z,2018-10-26T07:16:28Z,2018-10-26T07:16:28Z,48
28,2018-10-26T06:31:44Z,2018-10-26T06:33:53Z,2018-10-26T06:33:53Z,30
27,2018-10-25T16:25:38Z,2018-10-25T23:50:34Z,2018-10-25T23:50:34Z,108
26,2018-10-25T14:41:58Z,2018-10-25T15:02:01Z,2018-10-25T15:02:01Z,57
25,2018-10-25T12:51:59Z,2018-10-25T13:04:59Z,2018-10-25T13:04:59Z,18
24,2018-10-25T11:01:38Z,2018-10-25T11:13:11Z,2018-10-25T11:13:11Z,31
23,2018-10-25T10:12:43Z,2018-10-25T10:32:42Z,2018-10-25T10:32:42Z,15
21,2018-10-25T04:56:50Z,2018-10-25T05:36:04Z,2018-10-25T05:36:04Z,76
20,2018-10-25T01:22:50Z,2018-10-25T01:32:56Z,2018-10-25T01:32:56Z,33
19,2018-10-24T17:45:57Z,2018-10-25T00:44:39Z,2018-10-25T00:44:39Z,36
16,2018-10-24T11:49:49Z,2018-10-24T12:08:45Z,2018-10-24T12:08:45Z,58
15,2018-10-24T08:43:08Z,2018-10-24T08:46:53Z,2018-10-24T08:46:53Z,95
14,2018-10-24T07:59:32Z,2018-10-24T08:00:47Z,2018-10-24T08:00:47Z,20
13,2018-10-24T05:14:58Z,2018-10-24T05:31:07Z,2018-10-24T05:31:07Z,16
12,2018-10-24T03:43:35Z,2018-10-24T03:44:35Z,2018-10-24T03:44:35Z,30
11,2018-10-24T03:40:43Z,2018-10-24T03:41:37Z,2018-10-24T03:41:37Z,26
9,2018-10-23T08:25:33Z,2018-10-23T08:26:02Z,2018-10-23T08:26:02Z,16
8,2018-10-23T08:18:20Z,2018-10-23T08:18:54Z,2018-10-23T08:18:54Z,20
4,2018-10-23T00:41:03Z,2018-10-23T08:22:52Z,2018-10-23T08:22:52Z,30
3,2018-07-14T02:27:54Z,2018-10-23T08:20:38Z,2018-10-23T08:20:38Z,13
327,2019-04-10T08:58:33Z,2019-04-10T11:01:02Z,2019-04-10T11:01:02Z,46
326,2019-04-10T08:51:25Z,2019-04-10T08:55:37Z,2019-04-10T08:55:37Z,48
324,2019-04-09T10:12:53Z,2019-04-09T10:44:58Z,2019-04-09T10:44:58Z,34
323,2019-04-09T09:23:42Z,2019-04-09T10:44:42Z,2019-04-09T10:44:42Z,42
322,2019-04-09T09:07:26Z,2019-04-09T10:43:15Z,2019-04-09T10:43:15Z,42
321,2019-04-09T08:57:24Z,2019-04-09T10:42:57Z,2019-04-09T10:42:57Z,40
320,2019-04-09T08:05:20Z,2019-04-09T10:42:36Z,2019-04-09T10:42:36Z,65
319,2019-04-09T07:03:12Z,2019-04-09T10:42:00Z,2019-04-09T10:42:00Z,40
318,2019-04-09T06:52:53Z,2019-04-09T10:41:14Z,2019-04-09T10:41:14Z,47
317,2019-04-09T06:43:42Z,2019-04-09T10:40:54Z,2019-04-09T10:40:54Z,11
315,2019-04-09T06:32:50Z,2019-04-09T10:40:11Z,2019-04-09T10:40:11Z,46
314,2019-04-09T06:25:14Z,2019-04-09T10:39:53Z,2019-04-09T10:39:53Z,60
313,2019-04-09T06:08:21Z,2019-04-09T10:37:53Z,2019-04-09T10:37:53Z,62
310,2019-04-07T19:21:23Z,2019-04-08T00:56:02Z,2019-04-08T00:56:02Z,48
309,2019-04-07T19:05:48Z,2019-04-08T00:55:37Z,2019-04-08T00:55:37Z,40
308,2019-04-07T18:47:45Z,2019-04-08T00:55:22Z,2019-04-08T00:55:22Z,44
307,2019-04-07T18:37:03Z,2019-04-08T00:55:10Z,2019-04-08T00:55:10Z,42
306,2019-04-07T18:20:49Z,2019-04-08T00:54:49Z,2019-04-08T00:54:49Z,42
305,2019-04-07T18:14:08Z,2019-04-08T00:54:33Z,2019-04-08T00:54:33Z,48
304,2019-04-07T17:53:22Z,2019-04-08T00:54:02Z,2019-04-08T00:54:02Z,60
303,2019-04-07T17:26:15Z,2019-04-08T00:50:29Z,2019-04-08T00:50:29Z,40
302,2019-04-07T16:52:29Z,2019-04-08T00:50:01Z,2019-04-08T00:50:01Z,44
301,2019-04-07T16:33:04Z,2019-04-08T00:49:37Z,2019-04-08T00:49:37Z,40
