number,created_at,merged_at,closed_at,desc_len
17,2017-06-06T17:05:54Z,2017-06-15T16:48:18Z,2017-06-15T16:48:18Z,37
16,2017-06-06T16:57:40Z,,2017-06-13T15:50:05Z,180
15,2017-06-06T16:06:36Z,,2017-06-06T20:19:37Z,67
14,2017-06-06T15:53:47Z,2017-09-17T14:25:53Z,2017-09-17T14:25:53Z,20
12,2017-06-06T15:32:46Z,2017-06-06T20:34:31Z,2017-06-06T20:34:31Z,102
10,2017-06-06T14:46:49Z,2017-06-14T10:29:21Z,2017-06-14T10:29:21Z,276
9,2017-06-06T14:39:40Z,2017-06-08T04:29:28Z,2017-06-08T04:29:28Z,98
8,2017-06-06T14:07:29Z,2017-06-09T04:15:30Z,2017-06-09T04:15:30Z,360
7,2017-06-06T13:29:37Z,2017-06-09T04:17:14Z,2017-06-09T04:17:14Z,145
5,2017-06-06T13:08:14Z,2017-06-10T14:03:54Z,2017-06-10T14:03:54Z,70
4,2017-06-06T12:52:24Z,2017-06-06T20:18:37Z,2017-06-06T20:18:37Z,141
3,2017-06-06T12:36:15Z,2017-06-07T05:28:57Z,2017-06-07T05:28:57Z,187
2,2017-06-06T12:30:18Z,2017-06-06T20:09:48Z,2017-06-06T20:09:48Z,158
1,2017-06-05T23:23:08Z,2017-06-06T01:08:43Z,2017-06-06T01:08:43Z,55
1827,2023-10-24T10:17:54Z,,2023-10-30T19:00:58Z,668
1825,2023-10-23T06:15:38Z,,2023-10-29T18:41:23Z,608
1817,2023-10-22T09:51:09Z,,2023-10-29T18:07:01Z,473
1812,2023-10-20T06:20:10Z,2023-10-23T07:58:32Z,2023-10-23T07:58:32Z,624
1808,2023-10-19T16:45:40Z,,2023-10-20T11:46:34Z,520
1801,2023-10-17T19:56:38Z,,2023-10-25T09:42:20Z,143
1799,2023-10-17T14:30:38Z,,2023-10-26T18:04:32Z,712
1796,2023-10-17T07:45:55Z,2023-10-17T08:04:54Z,2023-10-17T08:04:54Z,601
1784,2023-10-15T15:38:38Z,,2023-10-16T06:25:21Z,838
1783,2023-10-15T15:30:08Z,2023-10-16T06:24:51Z,2023-10-16T06:24:51Z,480
1779,2023-10-14T20:38:41Z,2023-10-16T06:27:25Z,2023-10-16T06:27:25Z,617
1777,2023-10-14T18:05:02Z,,2023-10-21T05:24:56Z,598
1766,2023-10-13T20:10:57Z,,2023-10-16T06:29:49Z,613
1763,2023-10-12T16:15:56Z,2023-10-13T10:52:45Z,2023-10-13T10:52:45Z,745
1760,2023-10-11T18:00:33Z,,2023-10-15T02:40:32Z,565
1757,2023-10-11T01:15:36Z,,2023-10-11T01:16:35Z,514
1754,2023-10-10T07:20:43Z,2023-10-19T08:33:22Z,2023-10-19T08:33:22Z,499
1746,2023-10-09T03:13:14Z,,2023-10-09T03:19:44Z,407
1740,2023-10-07T16:37:46Z,2023-10-25T07:11:11Z,2023-10-25T07:11:11Z,788
1739,2023-10-07T15:32:47Z,2023-10-12T14:47:34Z,2023-10-12T14:47:34Z,1058
1722,2023-10-03T18:19:16Z,,2023-10-11T17:13:22Z,823
1721,2023-10-03T13:51:25Z,,2023-10-25T08:11:43Z,630
1700,2023-10-01T16:11:59Z,2023-10-12T14:52:48Z,2023-10-12T14:52:49Z,502
1694,2023-10-01T12:54:26Z,,2023-10-02T22:27:58Z,509
1693,2023-10-01T12:44:43Z,,2023-10-02T22:27:57Z,567
1692,2023-10-01T12:34:19Z,,2023-10-02T22:27:57Z,500
1691,2023-10-01T11:14:49Z,,2023-10-12T14:50:44Z,1116
1685,2023-09-30T23:35:23Z,,2023-10-02T22:27:57Z,541
1683,2023-09-30T05:06:03Z,,2023-09-30T05:06:52Z,563
1676,2023-07-01T08:25:57Z,,2023-07-01T08:30:58Z,38
1671,2023-05-29T07:47:27Z,2023-05-29T09:32:28Z,2023-05-29T09:32:28Z,593
1669,2023-05-19T07:17:15Z,,2023-06-20T21:59:34Z,756
1668,2023-05-17T00:17:29Z,2023-05-17T04:48:58Z,2023-05-17T04:48:59Z,735
1667,2023-05-16T22:37:26Z,,2023-05-17T04:49:49Z,83
1664,2023-03-15T05:12:17Z,2023-03-15T08:03:55Z,2023-03-15T08:03:55Z,697
1656,2023-01-09T12:21:53Z,2023-01-09T12:37:06Z,2023-01-09T12:37:06Z,734
1655,2023-01-09T12:17:46Z,,2023-01-09T12:18:19Z,729
1650,2022-12-02T20:49:57Z,,2022-12-07T21:52:03Z,708
1649,2022-12-02T13:26:10Z,2022-12-05T19:24:52Z,2022-12-05T19:24:52Z,763
