number,created_at,merged_at,closed_at,desc_len
329,2015-09-22T15:59:35Z,2015-09-22T16:22:21Z,2015-09-22T16:22:21Z,19
328,2015-09-22T10:37:31Z,2015-09-22T13:13:35Z,2015-09-22T13:13:35Z,58
327,2015-09-22T10:23:24Z,,2015-09-22T10:26:57Z,70
326,2015-09-22T04:06:57Z,2015-09-22T04:13:41Z,2015-09-22T04:13:41Z,136
320,2015-09-20T03:39:53Z,2015-09-20T03:49:40Z,2015-09-20T03:49:40Z,10
319,2015-09-20T03:01:03Z,2015-09-20T03:31:56Z,2015-09-20T03:31:56Z,98
316,2015-09-19T08:23:42Z,2015-09-19T08:24:24Z,2015-09-19T08:24:24Z,13
315,2015-09-19T07:52:53Z,2015-09-19T07:53:01Z,2015-09-19T07:53:01Z,486
313,2015-09-15T10:55:21Z,2015-09-21T09:54:42Z,2015-09-21T09:54:42Z,440
312,2015-09-07T10:10:11Z,,2015-09-22T13:18:48Z,133
311,2015-09-05T22:11:51Z,,2015-09-22T13:30:39Z,6
310,2015-09-05T00:12:11Z,,2015-09-05T23:03:36Z,252
309,2015-09-04T02:03:23Z,2015-09-04T10:58:40Z,2015-09-04T10:58:40Z,176
308,2015-09-01T17:45:47Z,2015-09-01T17:47:08Z,2015-09-01T17:47:08Z,55
306,2015-08-20T09:27:55Z,,2015-09-22T16:41:21Z,173
305,2015-08-20T08:00:01Z,,2015-09-22T16:47:13Z,154
300,2015-08-19T14:30:30Z,2015-08-19T14:42:45Z,2015-08-19T14:42:45Z,251
298,2015-08-19T05:07:01Z,,2015-08-19T05:07:31Z,12
297,2015-08-18T16:37:58Z,2015-08-19T11:39:49Z,2015-08-19T11:39:49Z,35
296,2015-08-18T15:50:06Z,2015-08-18T15:55:38Z,2015-08-18T15:55:38Z,34
289,2015-08-17T09:24:41Z,2015-08-17T09:27:13Z,2015-08-17T09:27:13Z,114
283,2015-08-17T03:39:32Z,2015-08-17T03:59:33Z,2015-08-17T03:59:33Z,63
281,2015-08-17T00:55:17Z,,2015-08-17T01:01:14Z,22
279,2015-08-17T00:43:12Z,2015-08-17T02:57:20Z,2015-08-17T02:57:21Z,44
265,2015-08-10T19:25:15Z,2015-08-11T06:50:17Z,2015-08-11T06:50:17Z,718
257,2015-08-07T07:29:02Z,2015-08-07T13:52:59Z,2015-08-07T13:52:59Z,194
256,2015-08-06T16:55:05Z,2015-08-06T19:11:31Z,2015-08-06T19:11:31Z,223
240,2015-07-27T05:39:36Z,,2015-07-27T06:58:12Z,225
237,2015-07-26T10:06:42Z,,2015-07-26T11:04:11Z,89
224,2015-06-18T06:43:34Z,,2015-09-22T06:36:30Z,110
223,2015-06-07T08:29:42Z,,2015-06-11T04:48:21Z,97
222,2015-06-05T03:36:10Z,,2016-08-08T10:54:14Z,157
221,2015-05-14T03:31:22Z,,2015-05-19T02:58:55Z,52
220,2015-05-11T16:53:45Z,,2015-05-13T08:20:30Z,109
218,2015-04-25T15:51:56Z,,2015-06-18T10:37:04Z,98
216,2015-04-23T14:52:04Z,,2015-04-25T17:11:23Z,82
198,2015-03-20T08:29:34Z,,2015-03-20T08:38:00Z,148
197,2015-03-20T05:20:17Z,2015-03-21T11:23:38Z,2015-03-21T11:23:38Z,133
191,2015-03-13T01:31:24Z,,2015-09-22T06:35:27Z,11
187,2015-03-10T02:10:38Z,,2015-04-27T02:07:22Z,626
181,2015-03-04T10:18:35Z,,2015-03-04T10:35:08Z,66
174,2015-02-13T16:28:05Z,2015-02-17T14:35:08Z,2015-02-17T14:35:08Z,59
146,2015-01-21T08:22:13Z,,2015-01-21T08:42:25Z,189
140,2015-01-19T10:47:11Z,2015-01-19T15:06:20Z,2015-01-19T15:06:20Z,393
132,2015-01-16T15:01:26Z,2015-01-17T03:55:21Z,2015-01-17T03:55:21Z,111
122,2015-01-08T08:13:47Z,,2015-01-08T09:04:20Z,180
121,2015-01-08T03:27:35Z,2015-01-08T09:00:48Z,2015-01-08T09:00:48Z,87
120,2015-01-07T17:28:15Z,2015-01-08T14:13:22Z,2015-01-08T14:13:22Z,790
119,2015-01-07T09:24:14Z,,2015-01-09T06:26:23Z,390
118,2015-01-07T07:48:19Z,,2015-01-07T12:25:59Z,440
117,2015-01-07T04:23:26Z,2015-01-07T07:37:57Z,2015-01-07T07:37:57Z,211
107,2015-01-01T01:17:45Z,2015-01-01T03:03:27Z,2015-01-01T03:03:27Z,86
76,2014-11-27T05:10:57Z,,2015-01-11T17:56:00Z,117
75,2014-11-27T02:49:42Z,,2014-11-27T05:08:41Z,32
62,2014-11-13T02:09:27Z,,2014-11-13T04:08:24Z,279
59,2014-11-11T15:40:55Z,,2014-11-12T05:47:39Z,38
51,2014-11-10T07:08:03Z,2014-11-12T10:43:15Z,2014-11-12T10:43:15Z,9
49,2014-11-10T04:57:27Z,2014-11-12T07:09:01Z,2014-11-12T07:09:01Z,71
46,2014-11-09T14:31:50Z,,2014-11-10T01:03:02Z,63
45,2014-11-09T12:39:11Z,,2014-11-09T13:44:23Z,59
44,2014-11-09T11:33:40Z,,2014-11-09T12:50:09Z,120
41,2014-11-09T07:08:26Z,,2014-11-09T07:15:28Z,108
40,2014-11-09T05:55:27Z,,2014-11-09T07:12:47Z,111
37,2014-11-08T20:45:48Z,,2014-11-09T07:06:15Z,77
36,2014-11-08T19:29:08Z,2014-11-08T20:21:44Z,2014-11-08T20:21:44Z,88
35,2014-11-08T18:15:01Z,2014-11-08T18:55:47Z,2014-11-08T18:55:47Z,166
34,2014-11-08T17:54:03Z,,2014-11-08T17:59:58Z,69
23,2014-11-08T13:02:58Z,2014-11-08T13:12:57Z,2014-11-08T13:12:57Z,53
21,2014-11-08T08:44:35Z,2014-11-08T09:12:28Z,2014-11-08T09:12:28Z,70
16,2014-09-23T03:40:26Z,2014-09-23T06:06:30Z,2014-09-23T06:06:30Z,20
13,2014-09-12T16:03:04Z,2014-09-12T16:10:36Z,2014-09-12T16:10:36Z,29
12,2014-09-11T04:31:16Z,2014-09-11T11:13:22Z,2014-09-11T11:13:22Z,21
6,2013-05-10T07:09:07Z,2013-05-10T07:13:40Z,2013-05-10T07:13:40Z,27
2,2013-01-15T05:57:53Z,2013-01-15T07:58:11Z,2013-01-15T07:58:11Z,113
3298,2022-03-31T08:39:21Z,,2022-03-31T17:49:33Z,988
