number,created_at,merged_at,closed_at,desc_len
327,2015-07-30T12:54:21Z,,2015-07-30T15:05:18Z,19
326,2015-07-30T10:23:48Z,,2015-07-30T11:51:52Z,54
325,2015-07-29T10:03:31Z,,2015-07-29T10:08:06Z,80
324,2015-07-28T06:02:58Z,,2015-07-28T16:13:44Z,41
323,2015-07-24T06:23:42Z,2015-07-26T23:22:13Z,2015-07-26T23:22:13Z,208
322,2015-07-23T08:06:37Z,,2015-07-23T13:52:51Z,55
321,2015-07-23T01:41:32Z,2015-07-23T09:18:05Z,2015-07-23T09:18:05Z,200
320,2015-07-22T21:53:51Z,,2015-07-22T23:02:04Z,238
319,2015-07-21T08:17:23Z,,2015-07-21T19:46:02Z,166
318,2015-07-16T18:55:43Z,2015-07-16T19:38:08Z,2015-07-16T19:38:08Z,151
317,2015-07-16T07:08:06Z,2015-07-16T10:44:48Z,2015-07-16T10:44:48Z,783
316,2015-07-15T03:23:01Z,,2015-07-15T09:53:14Z,216
315,2015-07-15T02:47:07Z,,2015-07-15T09:53:58Z,45
314,2015-07-14T09:24:17Z,,2015-07-14T12:16:13Z,63
313,2015-07-13T17:21:40Z,2015-07-13T17:25:37Z,2015-07-13T17:25:37Z,153
312,2015-07-11T15:23:00Z,2015-07-11T16:28:47Z,2015-07-11T16:28:47Z,207
311,2015-07-11T12:55:28Z,2015-07-11T13:12:18Z,2015-07-11T13:12:18Z,422
310,2015-07-11T06:12:53Z,,2015-07-11T09:05:25Z,26
308,2015-07-09T14:48:27Z,,2015-07-12T20:47:17Z,29
307,2015-07-07T23:02:26Z,2015-07-09T17:50:03Z,2015-07-09T17:50:03Z,9
306,2015-07-07T22:00:50Z,,2015-08-04T21:29:12Z,114
304,2015-07-07T04:58:49Z,,2015-07-07T05:04:51Z,7
303,2015-07-06T04:25:21Z,,2015-07-12T21:00:15Z,334
302,2015-07-04T03:12:17Z,2015-07-04T10:49:39Z,2015-07-04T10:49:39Z,18
300,2015-07-01T22:29:47Z,,2015-07-05T15:35:03Z,990
299,2015-07-01T07:48:09Z,,2015-07-01T12:18:30Z,148
298,2015-07-01T00:32:17Z,,2015-07-01T01:45:06Z,16
297,2015-06-27T23:22:20Z,2015-06-27T23:52:25Z,2015-06-27T23:52:25Z,224
296,2015-06-21T15:14:27Z,,2015-06-22T12:36:37Z,194
295,2015-06-12T17:20:31Z,,2015-06-12T18:12:15Z,519
294,2015-06-12T13:54:01Z,,2015-06-12T14:32:52Z,116
293,2015-06-11T09:13:06Z,,2015-06-11T09:56:49Z,52
292,2015-06-11T05:48:58Z,,2015-06-11T09:57:26Z,31
291,2015-06-07T12:58:10Z,2015-06-07T13:47:52Z,2015-06-07T13:47:52Z,467
290,2015-06-06T20:41:35Z,,2015-06-07T13:22:58Z,557
289,2015-06-06T20:23:42Z,2015-06-07T13:24:04Z,2015-06-07T13:24:04Z,187
288,2015-06-03T12:08:11Z,,2015-06-06T11:41:53Z,25
287,2015-05-28T20:02:56Z,,2015-05-28T21:05:24Z,2616
286,2015-05-28T19:07:15Z,,2015-05-28T21:04:53Z,1283
283,2015-05-19T19:04:21Z,2015-05-19T21:23:16Z,2015-05-19T21:23:16Z,79
282,2015-05-19T07:15:08Z,,2015-05-19T12:37:36Z,45
281,2015-05-19T05:36:32Z,,2015-05-19T07:10:58Z,45
280,2015-05-18T14:44:09Z,,2015-05-18T14:45:32Z,108
279,2015-05-16T11:06:45Z,,2015-05-16T11:11:35Z,87
