number,created_at,merged_at,closed_at,desc_len
2159,2022-01-22T20:10:35Z,,2022-11-04T23:56:36Z,358
2158,2022-01-21T21:53:35Z,,2022-02-27T08:35:55Z,8662
2157,2022-01-21T04:06:07Z,,2022-01-21T04:07:06Z,16
2155,2022-01-19T09:51:19Z,,2022-09-23T12:08:35Z,8429
2154,2022-01-17T09:53:54Z,,2022-01-17T16:16:12Z,42
2153,2022-01-14T22:14:21Z,2022-06-02T11:33:32Z,2022-06-02T11:33:32Z,8604
2151,2022-01-13T22:03:44Z,2022-02-13T11:12:27Z,2022-02-13T11:12:27Z,8419
2150,2022-01-13T18:22:08Z,,2022-01-15T05:31:30Z,13
2144,2022-01-06T21:33:00Z,,2022-01-06T21:49:32Z,8168
2136,2021-12-29T16:51:20Z,2022-01-23T14:22:44Z,2022-01-23T14:22:44Z,17022
2135,2021-12-29T07:09:38Z,,2021-12-29T11:24:59Z,8613
2133,2021-12-26T03:21:27Z,,2022-02-05T21:59:30Z,8129
2132,2021-12-26T00:49:14Z,,2021-12-26T03:00:53Z,8127
2131,2021-12-25T23:14:14Z,,2021-12-26T00:29:55Z,8760
2124,2021-12-21T07:16:57Z,,2021-12-21T13:17:28Z,8377
2122,2021-12-19T09:17:27Z,,2021-12-19T11:12:21Z,220
2111,2021-11-30T06:23:07Z,2022-01-17T18:18:23Z,2022-01-17T18:18:23Z,8448
2106,2021-11-24T03:49:33Z,,2022-02-27T08:37:55Z,8748
2105,2021-11-24T03:03:35Z,,2021-11-24T11:32:35Z,555
2101,2021-11-19T10:18:27Z,,2022-01-23T11:05:01Z,8541
2100,2021-11-17T15:48:20Z,,2021-11-17T15:48:48Z,8307
2099,2021-11-17T13:23:10Z,,2022-07-20T13:11:50Z,9686
2096,2021-11-15T09:59:29Z,,2021-11-15T10:29:00Z,8311
2088,2021-10-29T13:39:12Z,,2021-10-29T15:17:24Z,11
2087,2021-10-29T10:30:41Z,,2021-10-29T15:16:53Z,22
2086,2021-10-28T19:30:24Z,,2021-10-29T08:59:09Z,8313
2084,2021-10-20T16:37:51Z,2022-06-02T11:29:49Z,2022-06-02T11:29:49Z,8426
2083,2021-10-20T16:24:15Z,2021-10-20T16:54:58Z,2021-10-20T16:54:58Z,209
2082,2021-10-20T16:13:35Z,,2021-10-20T16:13:57Z,8125
2079,2021-10-18T14:59:43Z,2022-01-24T07:52:42Z,2022-01-24T07:52:42Z,9411
2077,2021-10-15T14:41:45Z,,2021-10-15T17:55:18Z,8153
2076,2021-10-14T19:40:25Z,2022-01-23T11:19:55Z,2022-01-23T11:19:55Z,8086
2075,2021-10-14T17:52:06Z,,2021-10-14T17:56:42Z,8368
2067,2021-10-06T21:05:23Z,2022-02-27T08:48:06Z,2022-02-27T08:48:06Z,8359
2066,2021-10-03T02:46:39Z,,2021-10-03T06:27:19Z,80
2065,2021-10-02T22:20:25Z,,2021-10-03T06:36:13Z,8182
2064,2021-10-02T04:49:15Z,,2021-10-02T05:26:21Z,8141
2063,2021-09-27T11:40:06Z,,2021-09-27T13:58:24Z,13
