number,created_at,merged_at,closed_at,desc_len
132,2011-01-24T23:50:40Z,,2011-06-22T08:00:35Z,502
131,2011-01-24T07:01:55Z,,2011-03-30T23:14:56Z,360
129,2011-01-22T09:02:00Z,,2011-03-06T16:32:32Z,380
124,2011-01-10T06:04:16Z,,2011-06-22T07:59:29Z,980
123,2011-01-09T17:05:38Z,,2011-01-09T23:44:32Z,488
121,2011-01-06T09:57:41Z,,2011-03-06T08:27:54Z,158
120,2011-01-05T12:27:14Z,2011-01-05T19:18:22Z,2011-01-06T03:18:22Z,360
115,2010-12-30T02:25:09Z,2010-12-30T02:29:23Z,2010-12-30T10:29:23Z,289
113,2010-12-24T08:48:22Z,,2010-12-24T21:02:07Z,233
112,2010-12-21T15:32:02Z,,2010-12-23T23:01:20Z,137
110,2010-12-02T20:12:02Z,,2010-12-23T23:08:52Z,368
108,2010-12-02T17:45:13Z,,2010-12-23T23:10:38Z,40
105,2010-11-26T07:13:00Z,,2010-12-23T23:25:04Z,176
102,2010-11-22T17:38:28Z,,2010-12-23T23:35:01Z,676
98,2010-11-12T04:19:12Z,,2010-12-24T08:26:11Z,384
97,2010-11-12T03:58:40Z,,2010-11-12T12:01:35Z,97
95,2010-11-09T13:40:06Z,2010-11-09T20:26:16Z,2010-11-09T20:26:16Z,194
94,2010-11-08T20:12:50Z,,2010-11-12T07:33:22Z,254
93,2010-11-06T21:51:29Z,,2010-12-24T00:47:43Z,126
87,2010-10-29T09:32:04Z,,2010-12-24T00:48:39Z,288
86,2010-10-27T23:43:07Z,,2010-12-24T00:53:32Z,83
85,2010-10-24T23:06:57Z,2010-10-29T11:21:26Z,2010-10-29T11:21:26Z,482
80,2010-10-21T21:02:25Z,,2010-10-29T06:11:03Z,158
77,2010-10-17T10:27:56Z,,2010-12-08T22:52:27Z,462
76,2010-10-11T22:54:30Z,,2010-12-24T01:12:21Z,759
74,2010-10-11T09:41:50Z,,2010-12-24T00:55:29Z,39
69,2010-10-06T08:59:00Z,2010-10-06T12:21:25Z,2010-10-06T12:21:25Z,313
67,2010-10-04T19:36:32Z,2010-10-04T19:43:39Z,2010-10-05T02:43:39Z,1164
64,2010-10-02T10:29:45Z,,2010-12-24T01:11:16Z,279
60,2010-10-01T08:35:25Z,2010-10-01T14:26:40Z,2010-10-01T14:26:40Z,165
55,2010-09-20T19:40:30Z,,2010-10-29T06:08:57Z,16
53,2010-09-17T21:55:25Z,2010-09-17T23:06:34Z,2010-09-17T23:06:34Z,286
52,2010-09-17T03:22:54Z,,2010-12-24T00:56:01Z,208
46,2010-09-07T23:40:20Z,2010-09-07T23:42:34Z,2010-09-08T06:42:34Z,158
413,2011-07-23T21:01:06Z,2011-07-30T21:33:09Z,2011-07-30T21:33:09Z,161
410,2011-07-22T21:05:25Z,,2011-07-31T00:58:41Z,161
409,2011-07-22T20:56:02Z,2011-07-31T00:59:06Z,2011-07-31T00:59:06Z,55
408,2011-07-22T19:38:58Z,2011-08-04T18:50:39Z,2011-08-04T18:50:39Z,74
401,2011-07-20T16:41:47Z,2011-07-31T01:36:08Z,2011-07-31T01:36:08Z,415
397,2011-07-19T06:24:58Z,,2011-07-31T01:35:24Z,177
396,2011-07-18T21:15:04Z,2011-07-31T01:49:47Z,2011-07-31T01:49:47Z,169
395,2011-07-18T21:07:49Z,2011-07-18T21:12:15Z,2011-07-18T21:12:15Z,80
391,2011-07-17T22:27:26Z,2011-09-07T16:39:30Z,2011-09-07T16:39:30Z,1114
383,2011-07-14T23:12:46Z,2011-07-22T14:51:54Z,2011-07-22T14:51:54Z,398
382,2011-07-14T22:39:53Z,2011-12-16T22:04:14Z,2011-12-16T22:04:14Z,164
381,2011-07-14T19:33:20Z,2011-07-31T03:27:30Z,2011-07-31T03:27:30Z,128
380,2011-07-14T07:30:54Z,,2011-07-31T03:23:43Z,727
375,2011-07-12T20:39:14Z,,2011-07-24T10:13:53Z,71
370,2011-07-11T12:16:43Z,,2011-07-31T03:54:50Z,13
369,2011-07-11T08:09:33Z,,2011-07-14T07:43:14Z,688
368,2011-07-11T07:22:00Z,,2011-07-31T03:27:15Z,66
364,2011-07-10T19:38:00Z,,2011-07-11T12:04:43Z,63
363,2011-07-10T19:25:21Z,2011-07-31T03:32:39Z,2011-07-31T03:32:39Z,13
360,2011-07-08T21:17:18Z,,2011-07-31T03:35:14Z,326
347,2011-07-05T22:11:52Z,2011-10-07T17:07:05Z,2011-10-07T17:07:05Z,108
346,2011-07-05T21:23:07Z,2011-07-26T08:48:22Z,2011-07-26T08:48:22Z,39
344,2011-07-05T13:00:01Z,,2011-07-31T01:53:54Z,16
342,2011-07-05T09:49:25Z,,2011-07-31T01:53:09Z,81
340,2011-07-04T22:14:17Z,2011-07-12T07:55:49Z,2011-07-12T07:55:49Z,72
339,2011-07-04T20:56:57Z,2011-07-31T01:47:41Z,2011-07-31T01:47:41Z,151
338,2011-07-04T19:57:02Z,2011-07-26T08:50:07Z,2011-07-26T08:50:07Z,87
337,2011-07-04T17:28:51Z,2011-07-31T01:47:12Z,2011-07-31T01:47:12Z,265
329,2011-07-02T15:51:09Z,2011-07-03T12:43:49Z,2011-07-03T12:43:49Z,159
328,2011-07-02T15:31:51Z,2011-07-02T15:41:33Z,2011-07-02T15:41:33Z,232
326,2011-07-02T11:00:30Z,,2011-07-31T01:46:50Z,542
325,2011-07-01T19:26:00Z,2011-07-01T19:41:02Z,2011-07-01T19:41:02Z,70
323,2011-07-01T16:51:17Z,,2011-07-10T19:25:53Z,12
318,2011-06-30T10:13:28Z,2011-06-30T13:22:27Z,2011-06-30T13:22:27Z,40
315,2011-06-29T19:46:43Z,2011-06-29T20:23:45Z,2011-06-29T20:23:45Z,89
314,2011-06-29T17:51:38Z,2011-06-29T17:52:56Z,2011-06-29T17:52:56Z,247
310,2011-06-29T10:19:36Z,2011-06-29T10:20:49Z,2011-06-29T10:20:49Z,56
309,2011-06-29T09:18:21Z,2011-06-29T11:12:18Z,2011-06-29T11:12:18Z,59
307,2011-06-29T02:41:35Z,,2011-06-29T03:51:04Z,85
306,2011-06-28T19:46:02Z,2011-06-29T11:14:29Z,2011-06-29T11:14:29Z,56
305,2011-06-28T19:45:00Z,,2011-06-29T11:16:58Z,31
