number,created_at,merged_at,closed_at,desc_len
784,2015-12-02T22:57:26Z,2015-12-09T20:48:57Z,2015-12-09T20:48:57Z,334
783,2015-12-02T19:51:37Z,2015-12-09T09:47:26Z,2015-12-09T09:47:26Z,303
782,2015-12-02T19:20:16Z,,2015-12-02T19:21:36Z,232
773,2015-11-26T09:27:34Z,,2015-12-08T04:13:33Z,224
766,2015-11-14T01:54:45Z,,2015-11-20T06:58:27Z,612
765,2015-11-13T14:47:52Z,2015-11-13T16:57:19Z,2015-11-13T16:57:19Z,315
760,2015-11-11T07:30:27Z,2015-11-11T07:33:45Z,2015-11-11T07:33:45Z,347
756,2015-11-10T02:36:42Z,2015-11-10T02:48:32Z,2015-11-10T02:48:32Z,2148
755,2015-11-09T03:51:17Z,2015-11-09T03:54:39Z,2015-11-09T03:54:39Z,1444
752,2015-11-07T11:09:21Z,2015-11-07T20:41:36Z,2015-11-07T20:41:36Z,3734
742,2015-10-29T03:32:40Z,2015-10-29T12:11:23Z,2015-10-29T12:11:23Z,1313
737,2015-10-26T05:35:24Z,2015-10-27T01:23:50Z,2015-10-27T01:23:50Z,556
735,2015-10-24T07:36:50Z,2015-10-24T12:40:10Z,2015-10-24T12:40:10Z,990
734,2015-10-23T02:54:48Z,2015-10-23T03:51:53Z,2015-10-23T03:51:53Z,4043
733,2015-10-22T18:58:16Z,2015-10-22T20:26:14Z,2015-10-22T20:26:14Z,910
732,2015-10-22T15:05:52Z,2015-10-22T15:10:16Z,2015-10-22T15:10:16Z,705
730,2015-10-22T13:49:28Z,2015-10-22T13:54:32Z,2015-10-22T13:54:32Z,830
729,2015-10-22T07:20:31Z,2015-10-22T12:45:57Z,2015-10-22T12:45:57Z,1057
725,2015-10-21T18:11:50Z,,2015-10-21T18:35:28Z,715
724,2015-10-21T17:47:35Z,,2015-10-21T18:31:23Z,512
723,2015-10-21T13:09:07Z,2015-10-21T13:14:27Z,2015-10-21T13:14:28Z,473
721,2015-10-21T04:14:48Z,2015-10-21T11:29:26Z,2015-10-21T11:29:26Z,699
719,2015-10-20T13:56:48Z,2015-10-21T03:11:30Z,2015-10-21T03:11:30Z,1498
717,2015-10-19T23:16:25Z,2015-10-19T23:23:41Z,2015-10-19T23:23:41Z,669
712,2015-10-19T02:31:25Z,2015-10-19T12:51:55Z,2015-10-19T12:51:55Z,1105
711,2015-10-19T01:09:27Z,2015-10-19T01:10:46Z,2015-10-19T01:10:46Z,413
710,2015-10-18T19:56:52Z,2015-10-18T20:24:01Z,2015-10-18T20:24:01Z,467
709,2015-10-18T05:19:20Z,2015-10-18T05:22:40Z,2015-10-18T05:22:40Z,323
708,2015-10-18T04:08:18Z,2015-10-18T04:13:32Z,2015-10-18T04:13:32Z,432
707,2015-10-18T03:14:03Z,2015-10-18T03:24:36Z,2015-10-18T03:24:36Z,400
706,2015-10-18T02:04:10Z,2015-10-18T02:10:01Z,2015-10-18T02:10:01Z,318
705,2015-10-17T23:54:57Z,2015-10-18T00:12:26Z,2015-10-18T00:12:26Z,1354
704,2015-10-17T17:11:44Z,2015-10-17T21:09:48Z,2015-10-17T21:09:48Z,300
703,2015-10-16T20:00:39Z,2015-10-16T23:16:50Z,2015-10-16T23:16:50Z,965
699,2015-10-14T21:43:56Z,2015-10-16T23:21:56Z,2015-10-16T23:21:56Z,583
698,2015-10-13T23:53:30Z,2015-10-13T23:53:44Z,2015-10-13T23:53:44Z,368
697,2015-10-12T19:12:47Z,2015-10-12T19:22:04Z,2015-10-12T19:22:04Z,398
691,2015-10-07T12:31:27Z,2015-10-07T22:38:56Z,2015-10-07T22:38:56Z,279
686,2015-10-05T02:37:55Z,2015-10-17T03:12:15Z,2015-10-17T03:12:15Z,889
684,2015-10-04T07:04:35Z,,2015-10-16T23:25:36Z,2791
680,2015-09-30T20:01:31Z,2015-09-30T20:07:32Z,2015-09-30T20:07:32Z,1499
