number,created_at,merged_at,closed_at,desc_len
251,2020-10-02T18:55:48Z,2020-10-09T08:33:43Z,2020-10-09T08:33:44Z,98
250,2020-10-02T15:29:32Z,2020-10-02T17:30:42Z,2020-10-02T17:30:42Z,120
249,2020-10-02T08:09:57Z,,2020-10-02T08:29:23Z,68
248,2020-10-02T04:41:48Z,2020-10-02T08:31:13Z,2020-10-02T08:31:13Z,225
247,2020-09-27T02:43:35Z,,2020-09-27T02:44:03Z,6
246,2020-09-25T02:44:12Z,2020-09-25T11:30:13Z,2020-09-25T11:30:13Z,44
244,2020-09-09T10:16:33Z,2020-09-09T11:21:34Z,2020-09-09T11:21:34Z,41
243,2020-09-09T07:57:36Z,2020-09-09T08:58:18Z,2020-09-09T08:58:18Z,42
242,2020-09-05T08:38:10Z,2020-09-05T09:46:09Z,2020-09-05T09:46:09Z,38
241,2020-09-04T12:04:08Z,,2020-09-23T15:32:58Z,98
240,2020-09-03T11:58:50Z,2020-09-03T12:16:36Z,2020-09-03T12:16:36Z,18
239,2020-09-02T09:43:34Z,2020-09-23T15:30:32Z,2020-09-23T15:30:32Z,29
238,2020-08-31T21:55:06Z,2020-09-01T09:48:56Z,2020-09-01T09:48:56Z,111
237,2020-08-25T23:16:10Z,2020-08-26T09:56:38Z,2020-08-26T09:56:38Z,69
236,2020-08-19T12:46:51Z,2020-08-19T14:30:32Z,2020-08-19T14:30:32Z,53
235,2020-08-19T12:20:42Z,2020-08-19T14:30:15Z,2020-08-19T14:30:15Z,38
234,2020-08-17T13:23:18Z,2020-08-17T13:35:27Z,2020-08-17T13:35:27Z,148
233,2020-08-15T11:00:32Z,2020-08-17T10:03:47Z,2020-08-17T10:03:47Z,428
231,2020-08-14T05:50:44Z,,2020-08-25T09:11:52Z,16
230,2020-08-12T00:35:48Z,2020-08-12T10:46:49Z,2020-08-12T10:46:50Z,28
229,2020-07-29T15:53:25Z,2020-07-29T16:08:49Z,2020-07-29T16:08:49Z,18
227,2020-07-12T05:23:30Z,2020-07-12T08:49:23Z,2020-07-12T08:49:23Z,93
226,2020-07-12T05:19:15Z,,2020-07-12T05:20:24Z,103
225,2020-07-08T14:01:54Z,2020-07-08T15:31:17Z,2020-07-08T15:31:17Z,40
224,2020-07-08T02:03:21Z,2020-07-08T08:16:19Z,2020-07-08T08:16:19Z,35
223,2020-07-06T21:44:34Z,2020-07-07T08:32:01Z,2020-07-07T08:32:01Z,177
221,2020-06-23T16:36:55Z,2020-06-24T10:08:57Z,2020-06-24T10:08:57Z,46
220,2020-06-23T15:16:24Z,,2020-06-23T16:03:30Z,46
219,2020-06-23T14:27:58Z,2020-06-23T16:00:05Z,2020-06-23T16:00:05Z,158
218,2020-06-22T13:53:17Z,2020-06-23T13:01:27Z,2020-06-23T13:01:27Z,131
217,2020-06-21T21:20:43Z,2020-06-22T09:06:13Z,2020-06-22T09:06:13Z,33
216,2020-06-17T07:14:48Z,2020-06-17T08:35:58Z,2020-06-17T08:35:58Z,16
215,2020-06-14T15:09:35Z,2020-06-14T16:47:36Z,2020-06-14T16:47:36Z,113
214,2020-06-09T15:36:04Z,2020-06-09T16:29:03Z,2020-06-09T16:29:03Z,16
213,2020-06-04T15:30:56Z,2020-06-05T22:05:13Z,2020-06-05T22:05:13Z,101
210,2020-05-29T04:31:10Z,2020-05-29T11:54:44Z,2020-05-29T11:54:44Z,49
