number,created_at,merged_at,closed_at,desc_len
11603,2023-07-13T13:41:18Z,2023-07-13T13:43:32Z,2023-07-13T13:43:32Z,9832
11597,2023-07-12T14:42:37Z,,2023-07-24T13:02:18Z,2577
11590,2023-07-12T02:26:33Z,2023-07-12T02:28:39Z,2023-07-12T02:28:39Z,9145
11589,2023-07-11T19:48:32Z,2023-07-11T20:04:38Z,2023-07-11T20:04:38Z,530
11588,2023-07-11T17:14:39Z,2023-07-11T17:19:32Z,2023-07-11T17:19:32Z,12292
11577,2023-07-09T11:25:58Z,2023-07-09T11:30:37Z,2023-07-09T11:30:37Z,1631
11576,2023-07-09T10:55:48Z,2023-07-09T11:00:43Z,2023-07-09T11:00:44Z,1627
11563,2023-07-06T22:12:42Z,2023-07-06T22:14:54Z,2023-07-06T22:14:54Z,3349
11550,2023-07-05T12:56:02Z,2023-07-05T13:03:47Z,2023-07-05T13:03:47Z,1112
11548,2023-07-04T19:41:32Z,2023-07-05T14:19:06Z,2023-07-05T14:19:06Z,886
11504,2023-06-28T19:43:45Z,2023-06-29T13:49:54Z,2023-06-29T13:49:54Z,1592
11496,2023-06-26T19:58:28Z,2023-06-27T21:11:58Z,2023-06-27T21:11:58Z,990
11493,2023-06-26T06:56:15Z,2023-06-26T07:01:20Z,2023-06-26T07:01:20Z,3461
11489,2023-06-25T01:55:51Z,,2023-06-25T11:26:57Z,2354
11488,2023-06-24T21:11:46Z,2023-06-25T11:29:00Z,2023-06-25T11:29:00Z,5407
11476,2023-06-22T20:11:02Z,2023-06-22T20:41:37Z,2023-06-22T20:41:37Z,886
11470,2023-06-21T14:08:19Z,2023-06-21T14:13:19Z,2023-06-21T14:13:19Z,75
11465,2023-06-20T21:25:56Z,2023-06-20T21:32:30Z,2023-06-20T21:32:30Z,1625
11454,2023-06-19T13:32:46Z,2023-06-28T16:37:53Z,2023-06-28T16:37:53Z,3543
11450,2023-06-19T06:25:49Z,2023-06-19T06:30:22Z,2023-06-19T06:30:23Z,36721
11443,2023-06-16T21:12:10Z,2023-06-16T21:17:41Z,2023-06-16T21:17:41Z,26384
11441,2023-06-16T17:56:12Z,2023-06-16T17:58:30Z,2023-06-16T17:58:30Z,12352
11436,2023-06-16T01:11:20Z,,2023-06-16T13:37:59Z,2186
