number,created_at,merged_at,closed_at,desc_len
3437,2021-05-21T15:22:51Z,2021-05-21T17:08:59Z,2021-05-21T17:08:59Z,230
3434,2021-05-18T08:14:22Z,,2021-05-18T08:51:27Z,713
3432,2021-05-17T11:57:55Z,2021-05-17T12:50:30Z,2021-05-17T12:50:30Z,116
3431,2021-05-17T01:41:16Z,2021-05-17T04:50:00Z,2021-05-17T04:50:00Z,688
3429,2021-05-15T12:47:42Z,2021-05-15T13:06:47Z,2021-05-15T13:06:47Z,16
3428,2021-05-15T09:59:18Z,2021-05-15T13:03:23Z,2021-05-15T13:03:23Z,43
3422,2021-05-11T10:07:41Z,2021-05-11T12:25:17Z,2021-05-11T12:25:17Z,210
3420,2021-05-11T09:40:54Z,2021-10-27T16:52:37Z,2021-10-27T16:52:37Z,341
3418,2021-05-07T13:59:12Z,2021-05-10T11:45:03Z,2021-05-10T11:45:03Z,157
3410,2021-04-30T11:03:00Z,2021-04-30T11:32:54Z,2021-04-30T11:32:54Z,99
3408,2021-04-29T21:31:31Z,2021-04-29T21:33:47Z,2021-04-29T21:33:47Z,283
3406,2021-04-29T07:59:06Z,2021-04-29T10:54:58Z,2021-04-29T10:54:58Z,167
3401,2021-04-19T15:04:54Z,2021-04-19T18:39:05Z,2021-04-19T18:39:05Z,234
3398,2021-04-15T05:32:42Z,2021-04-15T06:48:20Z,2021-04-15T06:48:20Z,431
3396,2021-04-12T19:42:51Z,2021-04-12T19:56:15Z,2021-04-12T19:56:15Z,32
3395,2021-04-11T17:23:48Z,2021-04-11T17:39:12Z,2021-04-11T17:39:12Z,14
3393,2021-04-11T11:24:36Z,2021-04-11T12:38:28Z,2021-04-11T12:38:28Z,387
3392,2021-04-10T19:22:53Z,2021-04-10T19:35:31Z,2021-04-10T19:35:31Z,82
3389,2021-04-08T17:48:08Z,2021-04-08T18:32:47Z,2021-04-08T18:32:47Z,24
3388,2021-04-08T15:43:11Z,2021-04-08T15:51:10Z,2021-04-08T15:51:10Z,49
3387,2021-04-08T13:21:20Z,2021-04-08T15:55:23Z,2021-04-08T15:55:23Z,65
3382,2021-04-06T17:30:12Z,2021-04-06T18:33:49Z,2021-04-06T18:33:49Z,65
3381,2021-04-06T16:57:44Z,,2021-04-06T17:07:54Z,105
3380,2021-04-06T14:00:07Z,2021-04-06T14:31:29Z,2021-04-06T14:31:29Z,48
3376,2021-04-02T14:46:45Z,2021-04-02T14:55:45Z,2021-04-02T14:55:45Z,83
3375,2021-04-02T08:27:46Z,2021-04-02T09:27:24Z,2021-04-02T09:27:24Z,40
3371,2021-03-29T16:35:53Z,2021-03-29T16:53:35Z,2021-03-29T16:53:35Z,119
3368,2021-03-29T10:00:00Z,2021-03-29T10:13:27Z,2021-03-29T10:13:27Z,40
3367,2021-03-29T06:47:30Z,2021-03-29T07:03:06Z,2021-03-29T07:03:06Z,66
3366,2021-03-27T08:10:11Z,2021-03-27T09:27:26Z,2021-03-27T09:27:26Z,148
3365,2021-03-24T04:39:01Z,2021-03-24T08:06:10Z,2021-03-24T08:06:10Z,32
