number,created_at,merged_at,closed_at,desc_len
510,2023-05-28T10:00:20Z,2023-08-16T00:10:42Z,2023-08-16T00:10:42Z,1214
509,2023-05-27T09:39:28Z,,2023-05-27T09:51:57Z,1025
505,2022-12-24T02:25:54Z,,2023-04-02T05:20:40Z,596
497,2022-10-27T15:02:10Z,,2023-01-21T20:07:22Z,713
496,2022-10-15T03:55:43Z,,2022-12-20T03:59:43Z,741
493,2022-10-09T08:29:56Z,,2023-04-02T05:20:41Z,1081
487,2022-07-29T16:54:07Z,,2022-07-29T16:54:27Z,113
484,2022-06-15T08:18:48Z,,2023-01-07T15:44:24Z,881
483,2022-06-03T18:07:40Z,2022-06-03T19:58:05Z,2022-06-03T19:58:05Z,750
482,2022-05-20T22:44:14Z,2022-06-03T19:58:23Z,2022-06-03T19:58:23Z,703
481,2022-05-06T13:48:34Z,,2022-06-03T19:59:11Z,33
474,2022-02-05T01:25:42Z,,2022-04-30T19:43:19Z,29
473,2022-01-20T03:12:46Z,,2022-04-16T18:07:21Z,727
472,2021-12-03T04:03:36Z,,2022-02-20T04:39:18Z,748
471,2021-11-18T10:35:53Z,,2022-02-05T16:01:49Z,803
470,2021-11-17T17:22:57Z,,2022-01-31T06:18:57Z,900
467,2021-11-13T10:43:50Z,,2022-01-29T08:31:55Z,884
463,2021-11-07T09:52:29Z,,2022-01-22T14:33:20Z,860
462,2021-10-29T04:30:13Z,2021-10-29T19:21:22Z,2021-10-29T19:21:23Z,139
459,2021-07-31T10:36:48Z,2022-06-03T19:59:48Z,2022-06-03T19:59:48Z,95
458,2021-07-26T08:58:02Z,,2021-08-11T21:27:05Z,949
454,2021-07-17T02:41:35Z,2021-08-11T21:31:49Z,2021-08-11T21:31:49Z,860
453,2021-06-16T16:47:02Z,2021-06-16T22:37:20Z,2021-06-16T22:37:20Z,437
452,2021-05-25T17:27:29Z,2021-05-26T04:31:52Z,2021-05-26T04:31:52Z,157
451,2021-05-24T08:52:10Z,,2021-05-25T17:09:14Z,802
443,2021-04-15T17:33:42Z,2021-05-21T03:14:36Z,2021-05-21T03:14:36Z,297
440,2021-03-29T04:12:42Z,,2021-03-29T14:18:06Z,759
437,2021-01-08T16:16:56Z,2021-02-04T15:18:43Z,2021-02-04T15:18:43Z,330
435,2020-12-26T10:34:06Z,,2021-03-21T15:49:58Z,727
430,2020-10-03T05:52:13Z,2020-11-23T03:46:17Z,2020-11-23T03:46:18Z,1185
429,2020-10-02T15:10:14Z,2020-12-03T22:22:47Z,2020-12-03T22:22:47Z,739
428,2020-10-01T20:40:30Z,,2020-12-10T16:48:10Z,708
426,2020-10-01T03:03:54Z,,2020-10-01T18:50:28Z,729
425,2020-09-30T21:07:53Z,,2021-01-07T00:36:55Z,717
421,2020-09-28T21:24:40Z,2020-09-29T12:33:39Z,2020-09-29T12:33:39Z,887
420,2020-09-27T11:03:04Z,2020-09-30T23:54:40Z,2020-09-30T23:54:40Z,897
419,2020-09-16T15:27:52Z,2020-09-30T23:57:40Z,2020-09-30T23:57:40Z,715
418,2020-08-23T14:49:22Z,2020-09-30T23:58:07Z,2020-09-30T23:58:07Z,344
416,2020-08-03T08:09:10Z,2020-09-30T23:56:59Z,2020-09-30T23:56:59Z,397
415,2020-07-10T06:14:38Z,,2020-12-14T13:33:50Z,932
413,2020-07-08T14:29:21Z,2020-07-09T17:25:28Z,2020-07-09T17:25:28Z,943
412,2020-07-02T16:41:32Z,2020-09-30T23:59:36Z,2020-09-30T23:59:36Z,803
410,2020-06-26T23:51:58Z,,2020-09-09T19:00:28Z,1016
409,2020-06-03T12:46:15Z,,2020-08-16T15:34:50Z,342
408,2020-05-20T21:05:52Z,,2020-08-02T22:42:19Z,752
404,2020-04-20T01:04:22Z,2020-04-20T01:13:31Z,2020-04-20T01:13:31Z,53
403,2020-04-17T19:16:56Z,2020-04-17T19:31:40Z,2020-04-17T19:31:40Z,58
402,2020-04-17T19:08:57Z,2020-04-17T19:10:26Z,2020-04-17T19:10:26Z,30
401,2020-04-17T18:55:50Z,2020-04-17T18:57:02Z,2020-04-17T18:57:02Z,50
400,2020-04-17T18:47:36Z,2020-04-17T18:50:29Z,2020-04-17T18:50:29Z,5280
399,2020-04-17T18:47:35Z,2020-04-17T18:50:51Z,2020-04-17T18:50:51Z,6925
398,2020-04-17T18:26:48Z,2020-04-17T18:27:00Z,2020-04-17T18:27:00Z,124
397,2020-04-16T23:41:47Z,,2020-04-17T18:43:40Z,7729
396,2020-04-15T12:07:25Z,2020-04-17T18:43:04Z,2020-04-17T18:43:04Z,754
395,2020-04-10T13:00:37Z,2020-04-17T18:45:56Z,2020-04-17T18:45:56Z,1252
394,2020-04-02T13:22:38Z,2020-04-17T18:41:58Z,2020-04-17T18:41:58Z,365
392,2020-03-19T10:40:30Z,2020-04-17T18:40:14Z,2020-04-17T18:40:14Z,292
380,2020-02-24T06:35:05Z,2020-02-25T14:02:56Z,2020-02-25T14:02:56Z,57
378,2020-02-22T13:48:12Z,2020-02-25T14:03:40Z,2020-02-25T14:03:41Z,703
345,2020-02-14T03:34:40Z,2020-02-25T14:09:51Z,2020-02-25T14:09:51Z,827
343,2019-12-25T06:04:03Z,2020-01-04T23:58:07Z,2020-01-04T23:58:07Z,718
342,2019-11-08T18:51:34Z,2019-11-08T18:51:40Z,2019-11-08T18:51:40Z,64
341,2019-10-27T18:47:31Z,2020-04-17T18:39:17Z,2020-04-17T18:39:17Z,168
340,2019-10-17T21:50:25Z,2019-11-08T18:51:10Z,2019-11-08T18:51:10Z,740
338,2019-10-11T11:51:44Z,,2020-02-19T17:56:59Z,722
337,2019-10-01T06:34:19Z,,2020-01-05T00:00:20Z,730
336,2019-09-30T20:48:27Z,2020-01-05T00:23:59Z,2020-01-05T00:23:59Z,795
334,2019-09-17T15:04:13Z,2020-01-04T23:51:31Z,2020-01-04T23:51:31Z,804
332,2019-09-17T09:55:08Z,2020-04-17T18:33:20Z,2020-04-17T18:33:20Z,868
328,2019-08-08T20:10:17Z,2019-08-16T15:14:22Z,2019-08-16T15:14:22Z,498
325,2019-07-05T20:53:33Z,2019-07-28T17:54:07Z,2019-07-28T17:54:07Z,794
322,2019-06-09T23:15:23Z,2019-06-17T03:10:40Z,2019-06-17T03:10:40Z,1274
321,2019-05-13T12:31:19Z,2019-05-24T11:11:16Z,2019-05-24T11:11:16Z,939
319,2019-03-23T11:57:05Z,,2019-03-23T11:57:25Z,43
318,2019-03-23T10:09:41Z,,2019-03-23T10:10:14Z,62
316,2019-02-26T19:17:03Z,,2019-02-27T23:08:04Z,910
315,2019-02-18T15:26:53Z,,2019-02-27T23:07:59Z,840
314,2019-02-15T11:46:24Z,,2019-02-27T23:08:12Z,4915
313,2019-02-15T01:51:00Z,,2019-02-27T23:08:09Z,838
311,2019-02-12T19:00:29Z,,2019-02-14T15:32:23Z,4459
310,2019-02-12T06:40:48Z,,2019-02-14T15:32:42Z,838
309,2019-01-27T17:18:01Z,2019-01-29T21:45:57Z,2019-01-29T21:45:57Z,803
307,2019-01-11T14:45:09Z,2019-01-12T20:27:51Z,2019-01-12T20:27:51Z,574
306,2019-01-10T23:44:24Z,,2019-02-14T15:32:33Z,856
305,2019-01-04T14:21:21Z,,2019-01-10T20:40:47Z,4046
304,2018-12-28T08:40:10Z,,2019-01-10T20:40:47Z,910
303,2018-12-13T22:03:56Z,2019-01-10T20:39:55Z,2019-01-10T20:39:55Z,609
301,2018-12-10T17:27:44Z,,2019-01-10T20:40:47Z,5271
