number,created_at,merged_at,closed_at,desc_len
9797,2023-07-04T12:16:16Z,2023-07-04T12:29:11Z,2023-07-04T12:29:12Z,328
9796,2023-07-04T12:12:46Z,2023-07-04T12:12:53Z,2023-07-04T12:12:53Z,128
9795,2023-07-04T11:14:52Z,2023-07-04T11:14:58Z,2023-07-04T11:14:58Z,148
9788,2023-07-03T20:06:31Z,2023-07-03T20:11:49Z,2023-07-03T20:11:50Z,150
9787,2023-07-03T19:32:01Z,2023-07-03T19:37:04Z,2023-07-03T19:37:04Z,247
9786,2023-07-03T19:22:33Z,2023-07-03T19:37:26Z,2023-07-03T19:37:26Z,106
9785,2023-07-03T11:30:41Z,,2023-07-19T11:22:32Z,7893
9782,2023-07-02T16:25:38Z,2023-07-02T16:35:13Z,2023-07-02T16:35:13Z,106
9781,2023-07-02T15:34:24Z,2023-07-02T15:58:23Z,2023-07-02T15:58:23Z,709
9778,2023-07-01T18:17:35Z,2023-07-01T18:21:01Z,2023-07-01T18:21:01Z,84
9777,2023-07-01T18:13:46Z,2023-07-04T11:29:28Z,2023-07-04T11:29:28Z,142
9776,2023-07-01T16:38:04Z,2023-07-01T16:43:29Z,2023-07-01T16:43:29Z,124
9775,2023-07-01T14:07:18Z,2023-07-09T15:44:22Z,2023-07-09T15:44:22Z,46
9773,2023-06-30T23:26:39Z,2023-07-01T18:08:39Z,2023-07-01T18:08:39Z,276
9771,2023-06-30T18:34:17Z,2023-06-30T19:49:10Z,2023-06-30T19:49:10Z,69
9770,2023-06-30T16:24:43Z,2023-06-30T18:25:16Z,2023-06-30T18:25:16Z,62
9769,2023-06-30T16:19:08Z,2023-06-30T16:23:03Z,2023-06-30T16:23:03Z,192
9768,2023-06-30T14:10:31Z,,2023-07-07T17:12:16Z,308
9756,2023-06-27T12:01:32Z,2023-08-05T08:22:58Z,2023-08-05T08:22:58Z,4434
9755,2023-06-27T12:01:20Z,,2023-07-13T11:43:58Z,8557
9754,2023-06-27T12:01:13Z,,2023-07-12T11:59:58Z,6241
9751,2023-06-26T23:57:01Z,2023-06-27T01:06:27Z,2023-06-27T01:06:27Z,122
9749,2023-06-26T15:54:19Z,2023-06-26T16:02:34Z,2023-06-26T16:02:34Z,98
9748,2023-06-26T12:47:38Z,2023-06-26T14:05:43Z,2023-06-26T14:05:43Z,106
9747,2023-06-26T12:42:21Z,,2023-06-30T19:46:40Z,170
9746,2023-06-26T12:04:17Z,2023-06-27T01:08:44Z,2023-06-27T01:08:44Z,7649
9745,2023-06-26T12:03:39Z,,2023-07-06T11:39:49Z,4880
9743,2023-06-25T12:53:49Z,2023-06-25T12:57:19Z,2023-06-25T12:57:19Z,376
9742,2023-06-25T11:07:40Z,2023-06-25T12:33:58Z,2023-06-25T12:33:58Z,190
9738,2023-06-24T23:36:10Z,2023-07-27T18:49:03Z,2023-07-27T18:49:03Z,214
9737,2023-06-24T14:39:23Z,2023-06-24T14:47:15Z,2023-06-24T14:47:15Z,138
9736,2023-06-24T12:42:35Z,,2023-06-27T01:08:23Z,38
9735,2023-06-24T12:27:27Z,2023-06-24T12:30:58Z,2023-06-24T12:30:58Z,204
9734,2023-06-24T12:25:04Z,2023-06-24T12:28:43Z,2023-06-24T12:28:43Z,70
9732,2023-06-23T23:56:29Z,2023-06-24T00:00:12Z,2023-06-24T00:00:12Z,166
9730,2023-06-23T23:48:25Z,2023-06-23T23:51:56Z,2023-06-23T23:51:56Z,150
9729,2023-06-23T17:56:20Z,2023-06-23T18:16:42Z,2023-06-23T18:16:42Z,74
9728,2023-06-23T17:49:39Z,2023-06-23T17:55:09Z,2023-06-23T17:55:09Z,88
9725,2023-06-23T12:02:34Z,,2023-07-07T17:12:56Z,6698
9724,2023-06-23T12:01:57Z,2023-06-27T01:13:10Z,2023-06-27T01:13:10Z,10563
9721,2023-06-22T17:44:00Z,2023-06-22T17:52:20Z,2023-06-22T17:52:20Z,9112
9720,2023-06-22T17:38:08Z,,2023-08-19T09:28:40Z,391
9719,2023-06-22T17:15:51Z,2023-06-22T17:42:54Z,2023-06-22T17:42:54Z,4451
9718,2023-06-22T17:15:33Z,,2023-06-22T17:44:09Z,11664
9717,2023-06-22T16:33:31Z,,2023-06-27T01:14:13Z,61
9708,2023-06-20T17:16:18Z,,2023-06-21T15:19:25Z,1397
9707,2023-06-20T16:13:23Z,2023-06-20T16:22:04Z,2023-06-20T16:22:04Z,208
9706,2023-06-20T11:32:44Z,,2023-10-22T19:32:16Z,145
9699,2023-06-19T12:29:38Z,2023-06-19T12:33:33Z,2023-06-19T12:33:33Z,56
9696,2023-06-17T18:31:45Z,2023-06-22T16:33:47Z,2023-06-22T16:33:47Z,77
9693,2023-06-17T13:54:52Z,,2023-06-17T14:40:10Z,85
9692,2023-06-17T12:35:03Z,2023-06-27T01:02:00Z,2023-06-27T01:02:00Z,181
9691,2023-06-16T17:29:58Z,2023-06-20T15:07:54Z,2023-06-20T15:07:54Z,241
9688,2023-06-16T15:19:28Z,2023-06-16T16:37:09Z,2023-06-16T16:37:09Z,132
9686,2023-06-16T14:37:48Z,2023-06-16T14:49:02Z,2023-06-16T14:49:02Z,166
9681,2023-06-15T18:23:29Z,2023-06-22T16:52:25Z,2023-06-22T16:52:25Z,65
9675,2023-06-14T10:02:37Z,2023-06-27T01:00:19Z,2023-06-27T01:00:19Z,71
9666,2023-06-12T12:32:42Z,2023-06-22T16:19:49Z,2023-06-22T16:19:49Z,80
9661,2023-06-11T22:39:18Z,2023-06-11T22:46:44Z,2023-06-11T22:46:44Z,32
9660,2023-06-11T22:27:32Z,2023-06-11T22:37:35Z,2023-06-11T22:37:35Z,232
9659,2023-06-11T22:02:57Z,2023-06-11T22:08:57Z,2023-06-11T22:08:57Z,116
9658,2023-06-11T21:56:02Z,2023-06-11T22:16:01Z,2023-06-11T22:16:01Z,104
