number,created_at,merged_at,closed_at,desc_len
502,2017-10-06T09:05:06Z,2017-10-06T15:34:45Z,2017-10-06T15:34:45Z,154
497,2017-09-27T15:47:36Z,2017-09-28T07:55:04Z,2017-09-28T07:55:04Z,190
491,2017-09-23T13:35:36Z,2017-09-28T07:56:55Z,2017-09-28T07:56:55Z,49
489,2017-09-18T14:14:56Z,2017-09-18T15:23:01Z,2017-09-18T15:23:01Z,101
469,2017-07-31T13:23:22Z,2017-08-07T13:12:02Z,2017-08-07T13:12:02Z,46
461,2017-07-23T09:11:49Z,2017-08-07T13:23:51Z,2017-08-07T13:23:51Z,67
457,2017-07-22T08:35:56Z,,2017-08-07T13:52:03Z,112
447,2017-06-24T22:17:26Z,,2017-06-28T03:09:53Z,433
442,2017-06-13T18:02:24Z,2017-06-13T18:10:39Z,2017-06-13T18:10:39Z,103
432,2017-05-31T17:47:34Z,2017-05-31T17:50:05Z,2017-05-31T17:50:05Z,112
423,2017-05-18T15:45:29Z,,2017-08-07T13:58:38Z,120
421,2017-05-17T14:22:11Z,,2017-08-07T14:00:04Z,43
415,2017-04-26T23:24:26Z,2017-04-27T11:45:41Z,2017-04-27T11:45:41Z,84
401,2017-03-30T12:46:57Z,2017-03-30T13:23:15Z,2017-03-30T13:23:15Z,13
394,2017-03-25T09:24:04Z,2017-03-25T15:05:36Z,2017-03-25T15:05:36Z,912
387,2017-03-21T10:11:31Z,2017-03-21T14:43:24Z,2017-03-21T14:43:24Z,132
386,2017-03-21T09:57:23Z,,2017-03-21T10:11:47Z,132
374,2017-03-01T09:51:53Z,2018-03-15T17:00:23Z,2018-03-15T17:00:23Z,54
363,2017-02-09T11:15:21Z,,2019-01-02T16:22:36Z,48
358,2017-02-02T15:41:04Z,2017-02-15T18:42:41Z,2017-02-15T18:42:41Z,117
351,2017-01-23T06:17:08Z,,2017-02-15T19:08:30Z,33
347,2017-01-18T01:12:41Z,2017-01-18T07:54:18Z,2017-01-18T07:54:18Z,298
319,2016-11-30T08:04:23Z,2016-11-30T18:33:42Z,2016-11-30T18:33:42Z,84
314,2016-11-23T11:14:47Z,2016-11-23T12:11:50Z,2016-11-23T12:11:50Z,46
303,2016-11-09T10:31:37Z,2016-11-30T18:39:19Z,2016-11-30T18:39:19Z,55
302,2016-11-07T20:08:03Z,2016-11-08T12:25:54Z,2016-11-08T12:25:54Z,65
