number,created_at,merged_at,closed_at,desc_len
97,2014-05-30T03:46:08Z,,2017-02-07T15:32:33Z,119
93,2014-05-23T08:50:03Z,,2015-06-26T09:40:47Z,23
91,2014-04-23T02:34:43Z,,2017-03-04T22:34:21Z,40
89,2014-04-08T07:56:37Z,,2014-04-08T08:19:39Z,39
88,2014-04-07T05:48:02Z,2014-04-21T17:17:03Z,2014-04-21T17:17:03Z,50
87,2014-04-02T11:43:00Z,,2014-04-02T11:52:44Z,50
86,2014-03-31T08:11:59Z,,2014-03-31T09:11:18Z,61
85,2014-03-31T08:07:47Z,,2014-03-31T08:10:59Z,61
80,2014-03-17T16:44:53Z,,2014-03-18T16:19:04Z,907
79,2014-03-16T17:50:35Z,,2023-02-06T17:59:12Z,130
72,2014-02-21T01:54:49Z,,2014-02-21T01:55:36Z,8
69,2014-01-22T09:52:16Z,,2015-03-16T18:25:52Z,1
68,2014-01-22T05:10:12Z,,2014-01-22T05:16:09Z,19
66,2014-01-03T13:50:06Z,,2014-01-03T13:50:35Z,254
64,2013-12-24T15:56:36Z,,2015-12-05T00:22:52Z,49
61,2013-12-15T14:39:08Z,,2014-06-12T15:37:22Z,35
57,2013-11-16T11:52:45Z,,2013-11-16T11:53:39Z,4
56,2013-11-04T08:01:34Z,,2013-11-04T08:02:49Z,47
55,2013-11-04T07:58:14Z,,2013-11-04T08:00:41Z,47
51,2013-10-23T23:27:51Z,,2013-10-23T23:30:03Z,40
49,2013-10-02T08:23:57Z,,2013-10-02T17:33:03Z,95
48,2013-09-16T17:33:58Z,,2015-02-06T18:34:12Z,723
46,2013-09-10T19:29:08Z,,2014-05-21T08:44:10Z,96
45,2013-08-29T22:08:33Z,,2013-08-29T23:12:58Z,45
42,2013-08-07T09:35:37Z,,2013-08-08T09:33:18Z,131
39,2013-06-22T21:08:19Z,,2014-04-08T22:01:20Z,147
38,2013-06-19T22:20:21Z,,2013-07-17T13:17:35Z,9
37,2013-06-19T21:45:29Z,,2013-06-19T21:59:06Z,12
33,2013-05-16T09:06:29Z,,2015-10-21T14:04:49Z,257
30,2013-03-09T14:16:30Z,,2013-03-09T14:16:52Z,17
29,2013-03-05T14:29:00Z,,2013-03-05T14:33:21Z,50
28,2013-03-01T20:12:20Z,,2013-03-01T21:25:59Z,158
27,2013-02-27T05:16:46Z,2013-11-15T05:27:17Z,2013-11-15T05:27:17Z,907
26,2012-11-27T18:57:46Z,,2012-11-27T20:29:10Z,90
25,2012-11-10T11:15:00Z,2013-09-03T19:00:19Z,2013-09-03T19:00:19Z,132
24,2012-10-23T13:16:36Z,2013-07-10T18:44:11Z,2013-07-10T18:44:11Z,72
23,2012-10-01T01:06:29Z,2013-07-04T00:19:22Z,2013-07-04T00:19:22Z,6
22,2012-09-16T02:27:38Z,2013-07-02T19:28:26Z,2013-07-02T19:28:26Z,153
21,2012-08-24T02:44:33Z,,2012-08-25T23:26:42Z,3
20,2012-06-26T23:29:25Z,2013-04-29T19:22:48Z,2013-04-29T19:22:49Z,5
19,2012-06-01T06:30:21Z,,2012-06-01T06:31:12Z,50
18,2012-05-11T12:30:15Z,,2012-05-16T02:18:53Z,36
17,2012-05-11T11:26:51Z,,2012-05-11T11:27:55Z,36
16,2012-03-29T15:33:54Z,,2012-05-30T14:20:00Z,176
15,2012-01-04T12:26:00Z,,2012-06-25T11:41:24Z,211
14,2011-09-30T03:06:52Z,,2011-09-30T14:42:54Z,155
13,2011-09-30T03:02:29Z,,2011-09-30T03:07:29Z,200
12,2011-09-21T22:52:19Z,,2011-09-22T17:38:48Z,246
11,2011-09-06T22:35:53Z,,2011-09-07T04:35:16Z,142
10,2011-09-06T13:43:12Z,2011-09-07T14:52:01Z,2011-09-07T14:52:01Z,1382
9,2011-09-05T21:37:49Z,,2011-09-06T15:21:38Z,85
8,2011-09-05T21:17:10Z,,2011-09-06T19:15:53Z,128
7,2011-09-05T18:46:20Z,,2011-09-05T19:05:40Z,41
6,2011-09-05T17:45:59Z,,2011-09-06T13:16:49Z,90
240,2015-12-30T13:19:38Z,,2016-03-23T11:12:38Z,71
239,2015-12-30T12:55:30Z,,2017-05-14T07:55:44Z,143
238,2015-12-29T21:36:19Z,,2016-05-04T13:34:07Z,63
237,2015-12-29T07:25:57Z,,2015-12-29T07:49:25Z,1
235,2015-12-25T17:54:15Z,,2015-12-25T17:54:45Z,6
234,2015-12-14T22:30:19Z,,2016-01-19T00:30:20Z,77
233,2015-12-14T15:45:21Z,,2018-01-11T12:41:21Z,108
232,2015-12-13T23:53:46Z,,2015-12-13T23:54:49Z,667
231,2015-12-01T19:07:46Z,,2015-12-01T19:08:36Z,58
230,2015-11-30T10:59:17Z,,2016-05-04T07:40:48Z,63
229,2015-11-26T04:15:21Z,,2015-11-29T06:27:56Z,51
228,2015-11-24T23:24:19Z,,2015-11-24T23:24:46Z,24
227,2015-11-20T08:42:41Z,,2015-11-20T14:29:04Z,682
225,2015-11-18T13:12:02Z,,2015-11-20T08:25:13Z,812
221,2015-11-13T20:55:11Z,,2015-11-13T20:56:28Z,267
220,2015-11-12T11:20:24Z,,2015-11-12T11:21:23Z,8
216,2015-10-29T20:24:55Z,,2015-10-31T10:24:39Z,120
215,2015-10-26T03:07:15Z,,2015-10-26T03:56:55Z,47
