number,created_at,merged_at,closed_at,desc_len
534,2020-08-31T11:42:43Z,,2020-09-23T15:54:18Z,70
533,2020-08-30T12:58:53Z,2020-12-09T07:18:36Z,2020-12-09T07:18:37Z,51
532,2020-08-27T21:03:06Z,2020-12-10T16:54:12Z,2020-12-10T16:54:12Z,246
530,2020-08-20T17:26:11Z,2020-08-21T05:08:27Z,2020-08-21T05:08:27Z,93
526,2020-08-09T13:50:55Z,,2020-08-09T17:01:20Z,16
524,2020-08-04T03:55:58Z,2020-08-08T09:45:16Z,2020-08-08T09:45:16Z,107
520,2020-08-01T02:36:32Z,2020-08-09T12:10:16Z,2020-08-09T12:10:16Z,211
517,2020-07-29T00:07:17Z,2020-08-08T09:51:23Z,2020-08-08T09:51:23Z,222
516,2020-07-28T14:23:38Z,2020-12-20T17:40:23Z,2020-12-20T17:40:23Z,38
515,2020-07-28T13:43:06Z,,2020-07-28T14:13:00Z,37
512,2020-07-16T02:23:13Z,,2020-07-26T10:38:29Z,5177
511,2020-07-09T12:43:35Z,2020-07-15T04:43:09Z,2020-07-15T04:43:09Z,10
510,2020-07-08T14:07:47Z,,2020-07-26T11:21:43Z,330
509,2020-07-08T13:52:24Z,,2020-07-16T02:23:32Z,79
508,2020-07-08T13:39:31Z,,2020-07-26T11:22:13Z,411
507,2020-07-08T13:31:27Z,,2020-07-26T10:38:31Z,70
503,2020-06-28T12:32:20Z,2020-07-15T04:46:32Z,2020-07-15T04:46:32Z,196
502,2020-06-23T20:59:32Z,2020-08-21T05:21:21Z,2020-08-21T05:21:21Z,39
501,2020-06-23T17:32:51Z,,2020-07-04T07:22:18Z,244
497,2020-06-03T03:10:54Z,2020-07-26T11:21:14Z,2020-07-26T11:21:14Z,32
494,2020-05-28T15:32:04Z,,2020-08-09T12:12:39Z,402
493,2020-05-28T00:31:30Z,,2020-06-06T07:29:53Z,38
492,2020-05-27T18:04:13Z,2020-07-15T04:49:30Z,2020-07-15T04:49:30Z,46
490,2020-05-26T13:47:06Z,2020-07-15T04:47:56Z,2020-07-15T04:47:56Z,57
489,2020-05-22T09:56:28Z,2020-07-26T11:19:29Z,2020-07-26T11:19:29Z,85
487,2020-05-12T11:58:39Z,2020-08-21T05:23:45Z,2020-08-21T05:23:45Z,75
486,2020-05-12T09:50:54Z,2020-08-09T12:13:37Z,2020-08-09T12:13:37Z,39
482,2020-04-15T21:41:43Z,,2020-04-22T04:49:05Z,50
471,2020-03-20T19:45:35Z,,2020-08-21T05:25:48Z,3
470,2020-03-16T09:29:57Z,,2020-11-02T17:38:44Z,587
469,2020-03-14T14:25:56Z,2020-08-21T05:28:07Z,2020-08-21T05:28:07Z,230
468,2020-03-13T21:54:00Z,,2020-07-26T10:38:29Z,3000
466,2020-03-07T03:13:27Z,2020-12-11T07:48:58Z,2020-12-11T07:48:58Z,22
459,2020-02-01T11:10:10Z,2020-12-11T07:51:13Z,2020-12-11T07:51:13Z,8
457,2020-01-30T07:09:27Z,,2020-02-01T14:12:15Z,144
454,2020-01-21T06:16:08Z,,2020-07-22T03:36:08Z,57
449,2020-01-10T04:02:10Z,2020-12-11T07:45:55Z,2020-12-11T07:45:55Z,105
448,2020-01-09T08:43:37Z,,2020-12-15T17:42:16Z,71
447,2020-01-03T12:52:22Z,2020-12-11T07:54:38Z,2020-12-11T07:54:38Z,72
444,2019-12-27T01:45:26Z,,2020-07-26T10:38:47Z,5976
443,2019-12-26T18:53:04Z,,2020-04-09T14:55:34Z,303
442,2019-12-26T18:47:36Z,,2019-12-26T18:48:15Z,94
441,2019-12-26T12:37:43Z,,2020-12-09T07:55:55Z,49
439,2019-12-19T01:54:27Z,2020-12-15T17:44:44Z,2020-12-15T17:44:44Z,32
437,2019-12-14T09:05:19Z,,2020-12-15T17:39:29Z,134
433,2019-12-09T08:45:43Z,,2020-12-11T08:18:35Z,132
432,2019-12-04T21:26:27Z,2020-12-09T08:00:53Z,2020-12-09T08:00:53Z,169
429,2019-11-22T22:58:12Z,,2019-11-22T23:03:49Z,70
424,2019-10-30T16:36:49Z,2020-12-17T06:26:22Z,2020-12-17T06:26:22Z,59
