number,created_at,merged_at,closed_at,desc_len
400,2023-07-05T14:31:14Z,,2023-07-26T05:54:34Z,129
397,2023-04-13T13:59:33Z,,2023-04-13T14:01:17Z,38
385,2023-01-02T12:09:42Z,,2023-05-18T07:11:20Z,28
384,2022-12-19T10:27:27Z,,2023-01-03T15:10:20Z,267
383,2022-12-18T16:23:09Z,,2022-12-18T16:23:46Z,64
375,2022-09-25T18:42:19Z,,2022-09-25T18:49:52Z,305
362,2022-06-07T09:27:57Z,,2022-06-07T09:44:46Z,5
353,2022-02-28T17:27:53Z,2022-02-28T20:34:27Z,2022-02-28T20:34:27Z,104
352,2022-02-28T09:39:12Z,,2022-02-28T20:11:19Z,41
351,2022-02-26T16:33:23Z,,2022-03-01T14:32:38Z,18
348,2022-02-23T18:48:30Z,,2022-02-23T18:57:50Z,97
341,2022-02-20T09:31:06Z,,2022-02-23T18:39:01Z,17
325,2022-01-31T18:21:54Z,,2022-02-01T15:51:12Z,17
301,2021-12-27T18:38:45Z,,2022-08-19T11:38:01Z,290
294,2021-12-11T02:19:31Z,2022-02-23T19:05:45Z,2022-02-23T19:05:45Z,224
288,2021-11-30T15:00:55Z,,2022-02-23T19:05:16Z,456
286,2021-11-28T18:19:04Z,2022-02-23T19:04:53Z,2022-02-23T19:04:53Z,114
277,2021-11-15T22:08:29Z,,2022-02-23T19:04:27Z,219
264,2021-11-07T03:22:48Z,,2021-11-07T03:26:29Z,10
263,2021-11-06T18:38:30Z,,2022-02-23T19:02:37Z,63
262,2021-11-06T18:36:49Z,,2021-11-06T18:37:18Z,61
257,2021-10-31T07:10:56Z,,2021-11-06T17:25:46Z,77
251,2021-10-20T11:29:50Z,,2022-02-23T19:01:41Z,16
250,2021-10-20T10:37:08Z,2022-02-23T19:01:08Z,2022-02-23T19:01:08Z,82
249,2021-10-20T10:31:53Z,2022-02-23T19:00:05Z,2022-02-23T19:00:05Z,87
248,2021-10-20T09:36:18Z,2022-02-23T18:59:15Z,2022-02-23T18:59:15Z,90
243,2021-10-12T09:38:58Z,,2022-02-23T18:58:33Z,198
240,2021-10-09T01:21:38Z,,2022-02-23T18:56:18Z,35
239,2021-10-07T08:32:30Z,,2022-02-23T18:47:35Z,52
238,2021-10-02T03:19:00Z,,2021-10-20T18:45:52Z,107
237,2021-10-02T03:07:18Z,2022-02-23T18:55:27Z,2022-02-23T18:55:27Z,127
234,2021-09-20T22:35:50Z,2022-02-23T18:54:26Z,2022-02-23T18:54:26Z,460
233,2021-09-15T02:22:45Z,,2022-02-23T18:52:48Z,59
232,2021-09-11T02:07:06Z,,2022-02-23T18:51:56Z,20
231,2021-09-07T19:20:23Z,2022-02-23T18:51:40Z,2022-02-23T18:51:40Z,55
229,2021-08-12T22:58:43Z,2022-02-23T18:50:24Z,2022-02-23T18:50:25Z,124
228,2021-08-01T16:11:31Z,,2022-02-23T18:49:07Z,146
226,2021-07-22T21:59:00Z,,2022-02-23T18:47:33Z,22
225,2021-07-16T22:43:30Z,2022-02-23T18:47:54Z,2022-02-23T18:47:54Z,175
224,2021-07-15T15:51:50Z,,2022-02-23T18:47:06Z,16
223,2021-07-13T02:28:31Z,2021-07-13T10:33:26Z,2021-07-13T10:33:26Z,495
222,2021-07-08T02:18:55Z,2021-07-13T10:38:49Z,2021-07-13T10:38:49Z,84
220,2021-07-05T14:36:16Z,2021-07-13T10:39:30Z,2021-07-13T10:39:30Z,10
219,2021-07-05T05:07:22Z,2021-07-13T10:40:09Z,2021-07-13T10:40:09Z,13
218,2021-07-01T20:02:11Z,2022-02-23T18:45:59Z,2022-02-23T18:45:59Z,27
217,2021-06-29T12:40:53Z,2022-02-23T18:46:33Z,2022-02-23T18:46:33Z,271
214,2021-06-27T17:03:50Z,2022-02-23T18:45:11Z,2022-02-23T18:45:11Z,561
213,2021-06-27T15:17:07Z,2022-02-23T18:43:52Z,2022-02-23T18:43:52Z,20
211,2021-06-26T18:22:12Z,2022-02-23T18:44:36Z,2022-02-23T18:44:36Z,91
210,2021-06-26T09:12:05Z,,2021-10-20T18:47:29Z,64
208,2021-06-18T19:43:46Z,,2021-10-20T18:44:45Z,27
207,2021-06-07T12:43:13Z,2022-02-23T18:41:34Z,2022-02-23T18:41:34Z,20
205,2021-05-13T07:28:33Z,2021-05-13T16:27:02Z,2021-05-13T16:27:02Z,225
203,2021-05-08T23:02:02Z,2021-05-13T16:28:57Z,2021-05-13T16:28:57Z,74
200,2021-03-26T18:32:22Z,,2021-05-13T16:33:33Z,64
199,2021-03-12T19:23:16Z,,2021-03-12T19:23:31Z,106
198,2021-03-10T04:07:49Z,,2021-05-13T16:31:34Z,37
197,2021-02-23T18:18:50Z,2021-02-25T06:43:52Z,2021-02-25T06:43:52Z,9
196,2021-02-17T14:04:31Z,,2021-05-13T16:31:12Z,173
195,2021-01-22T13:30:34Z,2021-05-13T16:38:30Z,2021-05-13T16:38:30Z,134
189,2020-12-01T14:08:40Z,,2021-05-13T16:39:23Z,260
187,2020-10-11T17:57:26Z,2020-10-11T19:50:56Z,2020-10-11T19:50:56Z,154
186,2020-10-02T03:54:22Z,2020-10-06T21:12:33Z,2020-10-06T21:12:33Z,43
185,2020-10-01T08:58:53Z,2020-10-06T21:14:32Z,2020-10-06T21:14:32Z,42
