number,created_at,merged_at,closed_at,desc_len
160,2023-03-31T19:18:15Z,,2023-03-31T22:42:19Z,96
156,2023-03-31T19:17:25Z,,2023-03-31T20:22:53Z,32
150,2023-03-31T19:15:23Z,,2023-03-31T22:41:37Z,143
146,2023-03-31T19:15:02Z,,2023-03-31T22:41:38Z,31
139,2023-03-31T19:14:05Z,,2023-03-31T22:41:34Z,82
138,2023-03-31T19:13:50Z,,2023-03-31T22:42:13Z,54
122,2023-03-31T19:12:02Z,,2023-03-31T19:16:47Z,43
114,2023-03-31T19:10:54Z,,2023-03-31T19:16:46Z,38
105,2023-03-31T19:10:02Z,,2023-03-31T22:41:34Z,123
104,2023-03-31T19:09:56Z,,2023-03-31T22:41:34Z,951
102,2023-03-31T19:09:46Z,,2023-03-31T22:41:42Z,118
73,2023-03-31T19:06:40Z,,2023-03-31T22:41:47Z,873
62,2023-03-31T19:05:05Z,,2023-03-31T22:41:43Z,109
53,2023-03-31T19:03:39Z,,2023-03-31T22:41:49Z,2534
48,2023-03-31T19:02:54Z,,2023-03-31T19:55:10Z,30
42,2023-03-31T19:02:12Z,,2023-03-31T22:41:38Z,26
35,2023-03-31T19:01:41Z,,2023-03-31T22:41:39Z,79
17,2023-03-31T18:57:08Z,,2023-03-31T19:57:05Z,41
2,2023-03-31T18:45:26Z,,2023-03-31T18:46:12Z,42
1313,2023-04-01T23:32:35Z,,2023-04-04T21:24:28Z,110
1310,2023-04-01T23:12:31Z,,2023-04-07T19:00:00Z,192
1292,2023-04-01T21:36:48Z,,2023-04-04T02:39:36Z,7
1290,2023-04-01T21:28:51Z,,2023-04-02T02:45:20Z,49
1131,2023-04-01T20:49:22Z,,2023-04-03T13:46:27Z,342
1125,2023-04-01T20:40:53Z,,2023-04-03T13:44:39Z,474
1123,2023-04-01T20:34:16Z,,2023-04-02T00:00:03Z,214
1121,2023-04-01T20:26:45Z,,2023-04-01T20:34:08Z,28
1115,2023-04-01T20:08:48Z,,2023-04-05T02:23:03Z,638
1113,2023-04-01T20:00:25Z,,2023-04-02T03:12:01Z,136
1105,2023-04-01T19:34:22Z,,2023-04-01T21:07:59Z,148
1079,2023-04-01T19:17:49Z,,2023-04-04T01:48:08Z,34
1076,2023-04-01T19:11:00Z,,2023-04-04T01:48:07Z,86
1034,2023-04-01T18:58:05Z,,2023-04-02T16:52:07Z,24
1033,2023-04-01T18:55:21Z,,2023-04-01T18:56:19Z,24
1031,2023-04-01T18:47:59Z,,2023-04-05T02:24:45Z,254
1027,2023-04-01T18:31:02Z,,2023-04-03T13:46:17Z,38
1024,2023-04-01T18:28:13Z,,2023-04-04T21:24:27Z,20
1012,2023-04-01T18:12:09Z,,2023-04-04T02:41:58Z,140
987,2023-04-01T17:41:11Z,,2023-04-01T20:31:00Z,72
948,2023-04-01T17:07:24Z,,2023-04-04T21:24:26Z,39
936,2023-04-01T16:43:48Z,,2023-04-07T14:14:36Z,33
935,2023-04-01T16:40:17Z,,2023-04-04T01:48:07Z,97
932,2023-04-01T16:34:44Z,,2023-04-05T07:07:31Z,236
913,2023-04-01T15:36:03Z,,2023-04-01T15:37:54Z,67
911,2023-04-01T15:29:08Z,,2023-04-01T15:30:03Z,26
899,2023-04-01T14:42:26Z,,2023-05-10T07:10:49Z,321
893,2023-04-01T14:13:22Z,,2023-04-01T18:59:30Z,249
891,2023-04-01T14:10:32Z,,2023-04-16T04:51:38Z,66
876,2023-04-01T12:52:30Z,,2023-04-03T17:01:35Z,908
873,2023-04-01T12:40:07Z,,2023-04-01T13:36:39Z,6
866,2023-04-01T12:29:00Z,,2023-04-04T21:24:26Z,255
860,2023-04-01T12:10:30Z,,2023-05-31T13:16:22Z,110
854,2023-04-01T11:49:04Z,,2023-04-05T05:11:59Z,46
842,2023-04-01T11:23:16Z,,2023-04-04T21:24:25Z,120
838,2023-04-01T11:02:58Z,,2023-04-02T04:52:43Z,20
825,2023-04-01T10:21:13Z,,2023-04-02T04:54:54Z,480
819,2023-04-01T10:03:12Z,,2023-04-01T10:06:44Z,16
818,2023-04-01T10:03:06Z,,2023-04-04T21:24:25Z,26
815,2023-04-01T10:01:00Z,,2023-04-01T13:26:10Z,27
810,2023-04-01T09:50:37Z,,2023-04-01T09:50:55Z,9
809,2023-04-01T09:47:26Z,,2023-04-03T13:46:32Z,209
808,2023-04-01T09:47:11Z,,2023-04-04T02:51:12Z,55
806,2023-04-01T09:44:50Z,,2023-04-04T21:24:24Z,16
802,2023-04-01T09:35:36Z,,2023-04-01T19:43:26Z,119
797,2023-04-01T09:25:58Z,,2023-04-04T02:52:31Z,228
792,2023-04-01T09:20:27Z,,2023-04-04T02:52:57Z,48
780,2023-04-01T08:46:59Z,,2023-04-04T02:53:50Z,47
774,2023-04-01T08:23:58Z,,2023-04-04T02:54:55Z,49
771,2023-04-01T07:53:02Z,,2023-04-03T15:21:41Z,190
761,2023-04-01T07:34:28Z,,2023-04-04T02:54:10Z,12
748,2023-04-01T07:15:41Z,,2023-04-04T21:24:23Z,42
745,2023-04-01T07:11:47Z,,2023-04-04T01:48:06Z,84
726,2023-04-01T06:47:52Z,,2023-04-02T10:06:05Z,252
706,2023-04-01T05:57:56Z,,2023-04-02T23:24:09Z,269
680,2023-04-01T04:52:10Z,,2023-04-04T02:56:48Z,46
679,2023-04-01T04:49:40Z,,2023-04-04T02:57:06Z,59
678,2023-04-01T04:47:49Z,,2023-04-04T21:24:23Z,11
655,2023-04-01T04:05:49Z,,2023-04-01T04:25:57Z,270
650,2023-04-01T03:59:45Z,,2023-04-01T04:07:54Z,68
646,2023-04-01T03:41:56Z,,2023-04-04T22:58:56Z,159
640,2023-04-01T03:27:56Z,,2023-04-03T13:45:37Z,73
639,2023-04-01T03:23:18Z,,2023-04-01T04:26:11Z,104
636,2023-04-01T03:18:26Z,,2023-04-04T02:59:00Z,32
611,2023-04-01T02:30:24Z,,2023-07-21T16:18:13Z,33
610,2023-04-01T02:27:49Z,,2023-04-04T02:59:34Z,44
609,2023-04-01T02:27:26Z,,2023-04-01T02:34:23Z,4119
607,2023-04-01T02:26:19Z,,2023-04-01T02:32:05Z,31
596,2023-04-01T02:11:37Z,,2023-04-04T02:59:48Z,95
583,2023-04-01T01:51:50Z,,2023-04-01T01:52:16Z,18
577,2023-04-01T01:34:06Z,,2023-04-01T23:04:12Z,80
572,2023-04-01T01:31:42Z,,2023-04-04T01:48:05Z,164
566,2023-04-01T01:23:07Z,,2023-04-01T01:37:55Z,402
557,2023-04-01T01:03:57Z,,2023-04-04T21:24:22Z,93
550,2023-04-01T00:57:23Z,2023-04-04T16:30:12Z,2023-04-04T16:30:12Z,825
546,2023-04-01T00:50:14Z,,2023-04-01T01:55:17Z,202
543,2023-04-01T00:48:55Z,,2023-04-06T20:12:40Z,99
541,2023-04-01T00:47:57Z,,2023-04-01T01:54:45Z,51
537,2023-04-01T00:45:50Z,,2023-04-04T03:00:30Z,13
529,2023-04-01T00:36:39Z,,2023-04-01T01:51:31Z,22
525,2023-04-01T00:30:09Z,,2023-04-04T21:28:03Z,217
522,2023-04-01T00:28:44Z,,2023-04-06T20:12:40Z,113
519,2023-04-01T00:24:08Z,,2023-04-06T20:12:39Z,119
516,2023-04-01T00:18:57Z,,2023-04-01T02:05:43Z,4
505,2023-04-01T00:07:23Z,,2023-04-04T17:18:25Z,260
499,2023-04-01T00:00:10Z,,2023-04-04T03:01:24Z,234
489,2023-03-31T23:49:50Z,,2023-04-04T03:01:38Z,104
484,2023-03-31T23:46:35Z,,2023-04-06T20:12:39Z,86
472,2023-03-31T23:32:18Z,,2023-04-06T20:12:38Z,80
466,2023-03-31T23:22:02Z,,2023-04-01T09:39:10Z,39
464,2023-03-31T23:21:35Z,,2023-04-11T19:00:26Z,32
461,2023-03-31T23:20:18Z,,2023-04-03T13:45:52Z,108
452,2023-03-31T23:10:11Z,2023-04-04T18:06:35Z,2023-04-04T18:06:35Z,184
451,2023-03-31T23:09:47Z,,2023-03-31T23:11:37Z,47
439,2023-03-31T22:58:07Z,,2023-04-06T20:12:37Z,240
425,2023-03-31T22:53:56Z,,2023-04-04T03:02:23Z,32
411,2023-03-31T22:38:03Z,,2023-03-31T22:41:30Z,76
407,2023-03-31T22:35:57Z,,2023-03-31T22:41:30Z,63
402,2023-03-31T22:31:23Z,,2023-03-31T22:41:32Z,80
399,2023-03-31T22:28:46Z,,2023-03-31T22:41:32Z,462
1884,2023-07-30T20:24:41Z,,2023-09-23T07:38:21Z,210
1844,2023-06-01T18:41:10Z,,2023-10-07T02:29:07Z,150
1836,2023-05-22T21:02:26Z,,2023-05-30T18:53:33Z,121
1834,2023-05-21T08:14:31Z,,2023-05-21T08:22:17Z,16
1833,2023-05-21T06:55:09Z,,2023-05-24T04:10:17Z,8
1825,2023-05-14T06:01:25Z,,2023-07-08T15:27:16Z,39
1822,2023-05-13T09:39:33Z,,2023-05-13T09:39:43Z,20
1820,2023-05-08T16:45:10Z,,2023-05-17T02:27:29Z,135
1819,2023-05-07T20:26:41Z,,2023-05-17T02:27:58Z,49
1816,2023-05-04T16:55:25Z,,2023-05-17T02:28:19Z,70
1805,2023-04-23T19:02:36Z,,2023-06-04T17:52:07Z,50
1796,2023-04-20T10:30:31Z,,2023-04-20T10:30:52Z,28
1781,2023-04-14T02:42:37Z,,2023-04-14T02:48:08Z,275
1777,2023-04-13T14:37:29Z,,2023-07-27T04:00:37Z,76
1776,2023-04-13T13:36:24Z,,2023-04-13T14:25:26Z,19
1767,2023-04-11T13:10:18Z,,2023-04-12T21:30:22Z,26
1751,2023-04-10T06:26:42Z,,2023-04-10T06:27:48Z,49
1750,2023-04-09T23:47:14Z,,2023-04-14T00:33:22Z,52
1748,2023-04-08T21:54:44Z,,2023-04-09T01:13:17Z,78
1740,2023-04-08T13:58:20Z,,2023-04-12T12:04:36Z,94
1738,2023-04-08T11:03:29Z,,2023-07-19T17:17:38Z,19
1736,2023-04-08T02:21:06Z,,2023-07-31T19:40:35Z,77
1731,2023-04-07T10:39:50Z,,2023-04-07T10:41:52Z,173
1723,2023-04-06T22:36:57Z,,2023-05-24T03:17:26Z,142
1712,2023-04-06T15:40:52Z,,2023-04-07T09:44:53Z,263
1710,2023-04-06T14:04:36Z,,2023-04-06T15:05:16Z,41
1701,2023-04-06T07:55:52Z,,2023-04-06T07:56:19Z,17
1698,2023-04-06T03:57:37Z,,2023-05-01T23:52:04Z,388
1696,2023-04-06T03:24:45Z,,2023-05-01T23:52:55Z,893
1693,2023-04-06T00:55:31Z,,2023-04-06T01:15:40Z,217
1690,2023-04-05T20:06:58Z,,2023-04-05T20:32:38Z,106
1683,2023-04-05T18:05:04Z,,2023-04-05T18:18:10Z,65
1678,2023-04-05T15:34:29Z,,2023-04-06T06:52:41Z,47
1674,2023-04-05T10:44:19Z,,2023-04-05T19:07:41Z,61
1660,2023-04-05T00:05:21Z,,2023-04-05T00:05:52Z,11
1659,2023-04-04T23:50:11Z,,2023-04-05T01:41:14Z,587
1655,2023-04-04T21:07:56Z,,2023-04-05T01:41:15Z,43
1652,2023-04-04T20:03:41Z,,2023-04-05T02:53:20Z,19
1651,2023-04-04T19:54:25Z,,2023-04-23T20:05:19Z,35
1649,2023-04-04T19:11:28Z,,2023-04-05T01:59:46Z,99
1648,2023-04-04T19:06:27Z,,2023-04-04T21:40:11Z,184
1647,2023-04-04T18:43:49Z,,2023-04-04T21:39:41Z,41
1646,2023-04-04T17:46:55Z,,2023-04-04T21:08:13Z,25
1643,2023-04-04T16:26:03Z,,2023-04-04T21:40:37Z,97
1621,2023-04-04T05:04:30Z,,2023-04-06T09:17:56Z,184
1620,2023-04-04T04:44:28Z,,2023-04-04T05:16:04Z,133
1612,2023-04-04T00:54:28Z,,2023-05-11T21:10:14Z,110
1611,2023-04-04T00:36:41Z,,2023-04-04T21:24:32Z,87
1601,2023-04-03T23:24:13Z,,2023-04-04T10:17:12Z,67
1600,2023-04-03T23:12:39Z,,2023-05-14T04:32:53Z,188
1589,2023-04-03T20:17:31Z,,2023-04-03T20:33:52Z,16
1587,2023-04-03T19:24:24Z,,2023-04-14T22:59:47Z,360
1584,2023-04-03T18:49:49Z,,2023-04-10T01:19:53Z,142
1578,2023-04-03T17:02:39Z,,2023-04-03T17:03:32Z,77
1561,2023-04-03T15:59:19Z,,2023-04-04T01:48:09Z,153
1558,2023-04-03T15:07:49Z,,2023-04-03T16:29:30Z,517
1546,2023-04-03T12:41:56Z,,2023-04-04T02:34:49Z,23
1541,2023-04-03T11:30:05Z,,2023-04-03T11:50:25Z,64
1540,2023-04-03T11:25:08Z,,2023-04-03T11:26:34Z,820
1539,2023-04-03T11:18:03Z,,2023-04-04T21:24:32Z,14
1535,2023-04-03T10:24:12Z,,2023-04-04T09:16:17Z,41
1525,2023-04-03T08:17:25Z,,2023-04-05T22:22:59Z,624
1524,2023-04-03T08:08:05Z,,2023-04-05T01:41:13Z,7185
1523,2023-04-03T07:57:06Z,,2023-04-04T21:22:47Z,82
1520,2023-04-03T07:30:01Z,,2023-04-05T01:41:15Z,30
1518,2023-04-03T07:24:17Z,,2023-04-03T07:25:06Z,55
1516,2023-04-03T07:12:14Z,,2023-04-03T13:41:55Z,22
1513,2023-04-03T06:45:05Z,,2023-04-03T06:52:18Z,12
1508,2023-04-03T04:27:39Z,,2023-04-03T04:36:44Z,1280
1507,2023-04-03T04:18:00Z,,2023-04-03T04:19:54Z,1240
1506,2023-04-03T04:11:08Z,,2023-04-04T02:35:28Z,66
1505,2023-04-03T03:45:58Z,,2023-04-03T13:41:30Z,178
1503,2023-04-03T03:32:52Z,,2023-04-04T21:24:31Z,41
1493,2023-04-03T00:25:40Z,,2023-04-03T14:50:52Z,49
1491,2023-04-03T00:09:39Z,,2023-04-04T21:24:30Z,29
1486,2023-04-02T21:41:33Z,,2023-04-05T02:25:47Z,73
1475,2023-04-02T18:58:53Z,,2023-04-05T12:12:29Z,121
1465,2023-04-02T17:51:11Z,,2023-04-04T21:24:30Z,46
1461,2023-04-02T17:30:57Z,,2023-04-04T21:24:29Z,609
1460,2023-04-02T17:27:15Z,,2023-04-03T18:52:30Z,47
1458,2023-04-02T17:26:48Z,,2023-04-04T21:24:28Z,609
1457,2023-04-02T17:22:06Z,,2023-05-01T23:52:15Z,606
1456,2023-04-02T17:18:12Z,,2023-05-01T23:52:43Z,594
1454,2023-04-02T17:03:25Z,,2023-05-01T23:52:31Z,619
1452,2023-04-02T16:45:46Z,,2023-04-03T04:20:59Z,1266
1437,2023-04-02T13:21:10Z,,2023-04-04T02:36:18Z,208
1418,2023-04-02T10:29:33Z,,2023-04-03T13:45:46Z,36
1415,2023-04-02T10:13:47Z,,2023-04-02T11:14:48Z,154
1413,2023-04-02T09:56:04Z,,2023-04-04T02:37:29Z,17
1409,2023-04-02T09:33:59Z,,2023-04-04T02:37:48Z,66
1392,2023-04-02T07:03:37Z,,2023-04-03T13:46:38Z,56
1381,2023-04-02T05:06:40Z,,2023-04-04T02:37:57Z,36
1380,2023-04-02T04:50:46Z,,2023-04-04T02:29:06Z,139
1377,2023-04-02T04:41:04Z,,2023-04-02T11:48:58Z,130
1368,2023-04-02T03:11:44Z,,2023-04-02T03:12:55Z,16
1359,2023-04-02T02:33:02Z,,2023-04-02T05:54:26Z,135
1339,2023-04-02T00:43:31Z,,2023-04-02T00:45:12Z,111
