number,created_at,merged_at,closed_at,desc_len
357,2016-09-13T08:22:49Z,,2016-09-14T10:53:55Z,56
356,2016-09-10T22:35:46Z,2016-09-12T06:58:47Z,2016-09-12T06:58:47Z,142
350,2016-08-30T15:01:36Z,2016-08-30T15:21:15Z,2016-08-30T15:21:15Z,34
346,2016-08-21T22:16:19Z,2016-08-27T22:45:57Z,2016-08-27T22:45:57Z,17
343,2016-08-12T01:34:21Z,2016-08-14T03:51:12Z,2016-08-14T03:51:13Z,71
338,2016-08-03T21:18:47Z,2016-09-13T19:57:30Z,2016-09-13T19:57:30Z,231
326,2016-07-11T10:59:31Z,2016-07-11T10:59:40Z,2016-07-11T10:59:40Z,6
325,2016-07-10T16:11:18Z,,2016-10-31T19:47:57Z,627
324,2016-07-10T00:16:28Z,,2017-06-27T16:38:06Z,154
322,2016-07-04T20:48:19Z,,2016-11-12T12:35:48Z,624
317,2016-06-29T15:06:26Z,2016-06-29T15:51:35Z,2016-06-29T15:51:35Z,31
312,2016-06-22T18:45:39Z,2016-06-27T16:46:50Z,2016-06-27T16:46:50Z,38
293,2016-05-19T01:48:07Z,,2016-05-19T01:48:25Z,4
292,2016-05-17T10:36:18Z,,2017-06-27T16:36:56Z,1161
277,2016-05-05T12:16:11Z,,2016-05-05T12:20:38Z,121
276,2016-05-04T18:39:52Z,2016-05-05T19:09:10Z,2016-05-05T19:09:10Z,53
271,2016-05-02T14:23:10Z,2016-05-02T14:56:57Z,2016-05-02T14:56:57Z,41
267,2016-04-26T03:17:23Z,2016-04-26T08:04:44Z,2016-04-26T08:04:44Z,26
257,2016-04-14T17:57:45Z,2016-04-18T07:10:07Z,2016-04-18T07:10:07Z,83
236,2016-02-15T13:07:21Z,2016-02-17T09:52:41Z,2016-02-17T09:52:41Z,140
234,2016-02-13T17:48:37Z,2016-02-13T22:21:14Z,2016-02-13T22:21:14Z,489
230,2016-01-30T08:39:34Z,2016-02-19T10:05:51Z,2016-02-19T10:05:51Z,170
226,2016-01-23T17:55:55Z,,2016-01-31T10:56:33Z,1130
222,2016-01-17T07:30:54Z,2016-01-20T19:08:06Z,2016-01-20T19:08:06Z,415
209,2015-12-07T15:51:05Z,,2015-12-09T13:39:15Z,136
206,2015-11-29T18:35:46Z,2015-11-29T18:37:05Z,2015-11-29T18:37:05Z,6
203,2015-11-23T09:45:34Z,2015-11-27T11:07:22Z,2015-11-27T11:07:22Z,14
199,2015-11-16T05:04:52Z,,2017-06-27T16:23:50Z,601
196,2015-11-11T13:34:28Z,,2015-11-27T11:07:36Z,240
194,2015-11-06T16:48:12Z,2015-11-08T21:22:03Z,2015-11-08T21:22:03Z,129
191,2015-10-27T21:14:39Z,2015-10-28T13:56:41Z,2015-10-28T13:56:41Z,98
176,2015-08-29T23:23:41Z,,2016-04-03T02:07:54Z,89
140,2015-06-30T12:29:48Z,2015-06-30T22:20:47Z,2015-06-30T22:20:47Z,33
134,2015-06-24T06:41:45Z,2015-06-24T07:09:03Z,2015-06-24T07:09:03Z,59
133,2015-06-24T05:45:38Z,2015-06-24T05:56:23Z,2015-06-24T05:56:23Z,21
130,2015-06-19T16:43:41Z,2015-07-31T20:56:34Z,2015-07-31T20:56:34Z,188
129,2015-06-19T08:38:47Z,,2015-06-20T03:20:39Z,21
127,2015-06-18T07:42:22Z,,2015-06-20T03:22:00Z,170
121,2015-06-15T02:02:17Z,,2015-06-15T19:19:19Z,104
120,2015-06-15T00:01:10Z,,2017-06-27T16:30:48Z,17
119,2015-06-14T04:09:40Z,,2017-06-27T16:27:35Z,73
117,2015-06-11T21:12:12Z,2015-06-20T04:51:03Z,2015-06-20T04:51:03Z,97
109,2015-06-03T02:41:52Z,,2015-06-06T16:16:02Z,463
106,2015-05-30T17:46:53Z,2015-06-01T13:10:00Z,2015-06-01T13:10:00Z,260
104,2015-05-26T19:03:53Z,2015-05-27T08:54:43Z,2015-05-27T08:54:43Z,282
101,2015-05-23T15:08:05Z,2015-05-25T09:00:27Z,2015-05-25T09:00:27Z,147
95,2015-05-20T10:56:54Z,2015-05-20T16:01:02Z,2015-05-20T16:01:02Z,79
88,2015-05-14T12:29:49Z,,2015-05-14T17:41:13Z,21
84,2015-05-14T08:36:18Z,,2015-05-14T21:07:04Z,47
82,2015-05-11T14:09:12Z,,2015-05-12T22:05:24Z,394
81,2015-05-11T06:28:27Z,2015-05-11T13:14:44Z,2015-05-11T13:14:44Z,28
79,2015-05-09T12:14:37Z,,2015-05-09T16:52:25Z,9
73,2015-05-05T18:28:16Z,,2015-05-12T01:17:20Z,437
71,2015-05-04T23:51:47Z,,2015-05-04T23:52:49Z,799
68,2015-04-29T06:16:30Z,,2015-05-04T23:23:54Z,80
66,2015-04-28T08:07:24Z,2015-04-28T15:22:23Z,2015-04-28T15:22:23Z,134
55,2015-03-20T01:11:34Z,2015-03-20T05:31:04Z,2015-03-20T05:31:04Z,229
53,2015-03-09T11:11:11Z,,2015-03-09T11:11:20Z,2
52,2015-03-05T20:40:02Z,,2015-03-23T18:30:03Z,99
51,2015-03-05T03:37:01Z,2015-03-05T04:10:47Z,2015-03-05T04:10:47Z,16
50,2015-02-22T04:06:29Z,2015-02-22T04:40:50Z,2015-02-22T04:40:50Z,65
38,2014-12-16T20:46:25Z,2015-01-07T09:42:32Z,2015-01-07T09:42:32Z,61
36,2014-11-27T13:53:40Z,,2014-11-28T01:04:54Z,17
32,2014-10-23T12:59:22Z,2014-10-23T14:53:49Z,2014-10-23T14:53:49Z,91
29,2014-09-29T19:05:01Z,2014-09-29T21:25:30Z,2014-09-29T21:25:30Z,49
27,2014-09-18T07:57:45Z,2014-09-30T02:20:57Z,2014-09-30T02:20:57Z,71
26,2014-09-18T07:37:04Z,,2014-09-18T07:55:14Z,17
23,2014-09-11T06:39:19Z,2014-09-15T09:59:22Z,2014-09-15T09:59:22Z,78
22,2014-08-26T11:38:54Z,2014-09-15T12:26:39Z,2014-09-15T12:26:39Z,289
20,2014-08-08T19:05:21Z,2014-08-08T23:10:39Z,2014-08-08T23:10:39Z,53
19,2014-08-02T01:52:29Z,2014-08-02T06:57:42Z,2014-08-02T06:57:42Z,109
15,2014-07-03T19:23:19Z,,2014-08-07T17:59:54Z,938
14,2014-07-02T13:05:41Z,2014-10-10T08:17:22Z,2014-10-10T08:17:22Z,107
8,2014-04-02T04:47:44Z,2014-04-02T04:47:52Z,2014-04-02T04:47:52Z,6
7,2014-02-26T22:42:53Z,,2014-04-02T05:03:46Z,361
6,2014-02-04T06:48:12Z,2014-02-05T11:35:45Z,2014-02-05T11:35:45Z,21
4,2013-12-30T05:43:32Z,2013-12-30T09:42:52Z,2013-12-30T09:42:52Z,18
2,2013-12-26T21:02:34Z,2013-12-28T03:24:19Z,2013-12-28T03:24:19Z,524
1,2013-12-21T20:55:23Z,2013-12-28T02:44:57Z,2013-12-28T02:44:57Z,528
1046,2019-11-08T08:30:58Z,2019-11-15T03:02:23Z,2019-11-15T03:02:23Z,216
1043,2019-11-02T15:49:51Z,,2019-11-15T03:01:35Z,10
1040,2019-10-24T22:12:08Z,,2019-11-12T04:15:45Z,14
1029,2019-09-28T15:00:11Z,,2021-07-15T06:05:56Z,45
1018,2019-08-27T17:45:54Z,,2019-09-02T16:27:23Z,2840
1017,2019-08-26T18:11:15Z,,2019-09-02T16:27:12Z,3839
