number,created_at,merged_at,closed_at,desc_len
655,2020-12-17T02:52:04Z,,2020-12-29T00:58:00Z,27
649,2020-12-15T09:47:27Z,,2021-04-10T14:12:17Z,25
610,2020-11-25T04:01:25Z,,2020-12-23T14:48:05Z,47
591,2020-11-15T17:31:26Z,,2021-04-10T14:12:30Z,18
590,2020-11-15T00:57:09Z,2020-11-16T03:48:42Z,2020-11-16T03:48:42Z,161
588,2020-11-14T16:43:52Z,,2021-01-10T12:52:07Z,42
585,2020-11-12T15:40:21Z,,2021-03-17T20:57:59Z,137
580,2020-11-08T12:31:32Z,2020-11-09T07:25:19Z,2020-11-09T07:25:19Z,37
566,2020-10-30T02:16:53Z,,2022-03-26T02:46:59Z,346
542,2020-10-22T14:43:48Z,,2022-03-26T01:36:49Z,204
517,2020-10-10T00:17:31Z,,2021-05-10T04:25:31Z,27
508,2020-10-06T14:59:01Z,2020-10-09T01:41:05Z,2020-10-09T01:41:05Z,257
506,2020-10-05T07:43:47Z,,2022-03-26T01:36:26Z,27
500,2020-09-30T21:48:29Z,,2020-10-20T13:04:42Z,47
495,2020-09-27T19:07:38Z,,2020-11-12T06:47:04Z,35
494,2020-09-27T17:12:55Z,,2022-03-26T01:35:52Z,42
486,2020-09-22T14:25:16Z,,2022-03-26T01:35:08Z,177
483,2020-09-20T17:56:49Z,,2023-02-08T02:45:59Z,25
482,2020-09-20T17:32:55Z,,2021-11-08T08:13:30Z,35
480,2020-09-19T17:44:59Z,2022-03-26T02:48:46Z,2022-03-26T02:48:46Z,314
478,2020-09-18T02:44:00Z,,2020-09-27T18:57:55Z,74
473,2020-09-13T19:11:13Z,2020-09-14T01:56:13Z,2020-09-14T01:56:13Z,137
470,2020-09-12T21:47:15Z,,2020-09-27T18:59:03Z,122
460,2020-09-06T00:41:46Z,,2020-09-27T18:59:15Z,59
451,2020-09-01T14:53:42Z,,2020-09-13T07:52:51Z,113
447,2020-08-30T16:45:32Z,,2020-09-13T07:52:31Z,84
443,2020-08-29T19:19:02Z,,2020-08-31T06:49:20Z,41
421,2020-08-24T20:25:17Z,,2020-08-30T15:26:49Z,51
420,2020-08-24T17:48:37Z,,2020-08-24T18:24:43Z,117
419,2020-08-24T16:24:36Z,2022-03-26T02:51:26Z,2022-03-26T02:51:26Z,146
413,2020-08-23T16:21:03Z,,2020-09-20T14:54:13Z,1152
412,2020-08-23T15:23:41Z,,2020-09-13T07:53:20Z,30
410,2020-08-23T02:14:33Z,2020-08-23T13:28:57Z,2020-08-23T13:28:57Z,157
407,2020-08-21T20:26:53Z,,2020-09-13T07:54:11Z,20
396,2020-08-17T22:51:14Z,,2020-08-31T06:39:56Z,206
387,2020-08-10T12:35:33Z,2020-08-11T02:52:50Z,2020-08-11T02:52:50Z,216
384,2020-08-09T12:32:24Z,2020-08-11T14:17:34Z,2020-08-11T14:17:35Z,22
383,2020-08-08T19:23:52Z,,2020-08-17T09:04:45Z,50
380,2020-08-07T00:28:10Z,,2020-08-17T09:05:26Z,96
364,2020-07-29T22:48:10Z,,2020-07-31T09:46:39Z,72
353,2020-07-26T21:31:02Z,,2020-08-17T09:06:39Z,161
336,2020-07-21T15:29:58Z,,2020-07-25T11:22:43Z,49
333,2020-07-21T12:48:53Z,2020-07-21T13:19:48Z,2020-07-21T13:19:48Z,95
321,2020-07-18T09:10:35Z,,2020-07-26T01:31:27Z,273
317,2020-07-17T12:15:52Z,2020-07-17T14:29:25Z,2020-07-17T14:29:25Z,206
301,2020-07-10T11:19:13Z,,2020-07-23T14:52:04Z,5
300,2020-07-10T11:15:06Z,,2020-07-10T11:17:27Z,5
297,2020-07-10T05:19:06Z,,2020-09-24T13:02:37Z,115
294,2020-07-09T22:04:55Z,,2020-07-12T14:25:59Z,28
289,2020-07-06T20:42:19Z,,2020-07-09T15:07:40Z,25
283,2020-07-02T20:20:00Z,,2020-12-15T09:46:55Z,22
