number,created_at,merged_at,closed_at,desc_len
747,2016-10-16T20:50:52Z,2017-04-04T14:36:08Z,2017-04-04T14:36:08Z,589
746,2016-10-16T17:41:59Z,,2019-11-06T15:36:58Z,388
744,2016-10-12T18:09:45Z,2016-10-13T05:42:18Z,2016-10-13T05:42:18Z,746
743,2016-10-11T19:39:29Z,2016-10-12T03:34:42Z,2016-10-12T03:34:42Z,258
741,2016-10-08T00:12:18Z,,2019-05-01T22:44:43Z,660
740,2016-10-06T17:55:55Z,,2016-10-06T17:56:21Z,70
739,2016-10-03T21:30:00Z,,2019-11-06T15:36:56Z,366
738,2016-10-03T14:43:52Z,,2019-11-04T17:46:11Z,29
736,2016-10-02T08:47:10Z,,2019-11-06T15:36:55Z,667
735,2016-10-01T00:11:33Z,,2016-10-01T00:12:46Z,349
734,2016-09-30T13:46:23Z,,2019-10-30T19:29:28Z,368
733,2016-09-29T13:11:04Z,2016-09-29T14:57:31Z,2016-09-29T14:57:31Z,1209
731,2016-09-22T02:39:29Z,,2019-11-06T15:36:52Z,662
730,2016-09-21T14:24:43Z,,2019-05-25T09:49:45Z,332
729,2016-09-19T23:25:03Z,,2019-11-06T18:36:34Z,500
728,2016-09-19T07:54:01Z,,2019-11-06T15:36:54Z,1125
727,2016-09-17T17:42:46Z,,2019-11-06T15:36:53Z,509
726,2016-09-16T22:47:10Z,2016-09-17T07:33:03Z,2016-09-17T07:33:03Z,21
725,2016-09-16T11:33:44Z,2016-11-18T06:36:50Z,2016-11-18T06:36:50Z,1227
724,2016-09-15T07:59:39Z,,2016-09-15T08:07:04Z,317
723,2016-09-13T17:07:06Z,2016-09-28T20:20:22Z,2016-09-28T20:20:22Z,504
722,2016-09-11T09:25:04Z,2016-09-11T15:29:41Z,2016-09-11T15:29:41Z,572
721,2016-09-10T22:48:43Z,,2019-11-06T15:36:50Z,928
720,2016-09-10T04:10:18Z,,2019-12-04T00:25:13Z,573
719,2016-09-08T05:02:55Z,2016-11-03T16:25:56Z,2016-11-03T16:25:56Z,56
718,2016-09-08T04:10:51Z,,2019-11-06T15:36:51Z,373
717,2016-09-08T00:26:28Z,,2019-10-31T20:04:50Z,1160
716,2016-09-06T10:22:43Z,,2017-08-22T06:30:39Z,582
713,2016-08-28T12:26:03Z,2016-09-13T06:36:56Z,2016-09-13T06:36:56Z,1155
712,2016-08-28T05:08:51Z,,2019-11-06T15:36:45Z,132
711,2016-08-28T05:06:04Z,,2019-11-06T15:36:46Z,108
710,2016-08-28T05:00:58Z,,2019-11-06T15:36:48Z,114
709,2016-08-28T04:59:37Z,,2019-11-06T15:36:49Z,140
708,2016-08-28T04:53:59Z,,2019-11-06T15:36:49Z,178
707,2016-08-26T13:43:57Z,,2019-11-06T15:36:43Z,70
704,2016-08-25T10:38:50Z,,2019-11-06T15:36:44Z,834
703,2016-08-24T13:52:04Z,,2019-11-06T15:36:42Z,583
702,2016-08-19T18:03:12Z,2016-08-20T17:06:42Z,2016-08-20T17:06:42Z,118
701,2016-08-19T11:50:48Z,,2018-10-12T10:48:24Z,102
699,2016-08-18T20:11:40Z,,2019-11-06T15:36:41Z,562
698,2016-08-18T10:23:29Z,,2019-11-06T15:36:40Z,292
697,2016-08-17T16:12:16Z,,2019-11-06T18:36:33Z,907
696,2016-08-16T15:04:25Z,2016-10-21T04:31:52Z,2016-10-21T04:31:52Z,1926
695,2016-08-15T17:38:08Z,,2017-03-15T15:46:27Z,438
694,2016-08-15T09:51:18Z,2017-10-01T16:22:05Z,2017-10-01T16:22:05Z,480
693,2016-08-15T01:02:08Z,,2019-11-29T23:56:00Z,466
692,2016-08-07T20:04:59Z,,2019-11-06T15:36:38Z,678
691,2016-08-07T19:51:12Z,,2019-11-06T15:36:39Z,281
690,2016-08-02T23:35:59Z,,2019-11-06T15:36:35Z,81
689,2016-08-01T10:56:14Z,2016-08-01T11:19:28Z,2016-08-01T11:19:28Z,405
688,2016-07-25T13:48:57Z,,2017-06-03T17:30:22Z,231
687,2016-07-23T05:04:25Z,,2019-11-06T15:36:34Z,730
686,2016-07-22T15:42:30Z,,2019-11-06T15:36:36Z,307
685,2016-07-20T02:57:26Z,2016-07-20T07:04:18Z,2016-07-20T07:04:18Z,19
684,2016-07-19T14:23:15Z,,2019-11-06T15:36:37Z,620
683,2016-07-18T16:19:52Z,,2019-11-06T19:36:50Z,842
682,2016-07-18T15:43:45Z,,2019-11-06T19:36:48Z,447
681,2016-07-11T21:53:26Z,,2019-11-06T16:36:59Z,251
679,2016-07-08T09:38:39Z,,2019-11-06T16:37:00Z,1063
678,2016-07-07T23:47:16Z,2016-08-20T17:08:01Z,2016-08-20T17:08:01Z,464
677,2016-07-05T19:18:26Z,,2019-11-06T03:32:08Z,377
676,2016-07-05T07:15:59Z,,2019-11-06T16:36:58Z,825
675,2016-07-01T21:51:03Z,,2018-09-17T15:23:09Z,643
674,2016-07-01T15:45:29Z,,2019-11-06T16:37:01Z,786
673,2016-06-28T19:17:19Z,,2019-11-06T19:36:47Z,50
672,2016-06-28T08:41:51Z,2016-06-29T08:54:06Z,2016-06-29T08:54:06Z,720
671,2016-06-27T14:55:39Z,,2016-10-03T14:35:07Z,280
669,2016-06-23T21:43:23Z,2016-06-24T14:29:37Z,2016-06-24T14:29:37Z,298
667,2016-06-20T05:19:05Z,,2018-07-05T03:04:08Z,269
666,2016-06-19T18:20:03Z,,2019-07-17T22:05:17Z,756
665,2016-06-19T07:44:16Z,2016-06-20T12:17:05Z,2016-06-20T12:17:06Z,21
664,2016-06-17T19:16:47Z,,2017-08-10T00:31:15Z,854
663,2016-06-17T09:36:41Z,,2017-09-06T06:43:28Z,321
662,2016-06-17T03:36:50Z,,2019-05-27T12:31:18Z,301
661,2016-06-16T03:45:36Z,,2019-11-06T16:36:57Z,531
660,2016-06-15T11:36:22Z,,2016-11-24T08:45:31Z,678
659,2016-06-13T07:46:53Z,2016-06-13T08:34:36Z,2016-06-13T08:34:36Z,464
658,2016-06-07T16:33:34Z,,2016-06-07T18:03:30Z,244
657,2016-06-07T16:30:27Z,,2016-06-07T18:03:30Z,289
656,2016-06-07T10:30:59Z,,2016-09-13T06:37:39Z,503
655,2016-06-04T11:27:20Z,,2019-11-30T03:56:00Z,240
654,2016-06-03T20:35:44Z,,2019-11-06T16:36:56Z,315
653,2016-05-29T21:40:30Z,,2019-11-06T16:36:55Z,195
652,2016-05-28T22:52:43Z,,2019-11-06T16:36:54Z,50
651,2016-05-24T21:30:45Z,,2017-02-15T07:40:52Z,493
650,2016-05-24T15:15:14Z,,2019-11-06T16:36:52Z,337
647,2016-05-21T07:15:39Z,2016-05-21T11:58:50Z,2016-05-21T11:58:50Z,26
646,2016-05-19T14:38:14Z,,2019-11-06T19:36:49Z,386
645,2016-05-18T03:10:29Z,,2017-12-11T01:58:24Z,200
644,2016-05-17T10:54:11Z,,2019-11-06T16:36:53Z,467
643,2016-05-16T16:52:57Z,2016-05-17T05:57:34Z,2016-05-17T05:57:34Z,794
642,2016-05-16T08:50:08Z,,2016-06-07T18:04:37Z,39
641,2016-05-15T20:44:19Z,,2019-11-06T16:36:49Z,596
640,2016-05-15T14:34:25Z,,2019-11-06T19:36:46Z,381
639,2016-05-15T01:56:26Z,,2019-11-06T19:36:45Z,883
638,2016-05-13T09:27:05Z,,2019-11-06T16:36:51Z,27
637,2016-05-09T09:22:21Z,2016-05-09T09:32:31Z,2016-05-09T09:32:31Z,41
636,2016-05-04T11:17:27Z,,2016-06-12T11:58:32Z,1042
635,2016-05-03T01:47:49Z,,2019-11-06T16:36:50Z,372
634,2016-04-30T11:18:57Z,,2019-11-06T16:36:44Z,984
1083,2018-06-18T12:28:47Z,,2019-04-29T18:52:43Z,88
1081,2018-06-16T19:38:11Z,,2019-11-06T10:36:37Z,687
1080,2018-06-16T17:18:56Z,,2019-11-06T10:36:36Z,438
1078,2018-06-12T01:40:01Z,,2019-11-04T11:15:19Z,154
1077,2018-06-08T16:37:59Z,,2019-11-06T10:36:35Z,382
1076,2018-06-06T12:02:26Z,2018-06-06T15:49:10Z,2018-06-06T15:49:10Z,170
1075,2018-06-03T04:26:55Z,2018-06-05T16:44:49Z,2018-06-05T16:44:49Z,774
1072,2018-05-25T08:20:29Z,2018-05-26T08:01:52Z,2018-05-26T08:01:52Z,387
1071,2018-05-21T07:14:10Z,,2019-05-25T06:06:13Z,531
1070,2018-05-16T13:34:03Z,,2019-11-06T10:36:34Z,1112
1069,2018-05-14T20:44:00Z,,2019-11-06T17:36:44Z,791
1068,2018-05-04T13:37:51Z,2018-05-04T15:47:36Z,2018-05-04T15:47:36Z,972
1067,2018-05-04T08:55:44Z,2018-05-04T09:17:12Z,2018-05-04T09:17:12Z,517
1065,2018-05-01T16:03:40Z,,2019-11-06T10:36:33Z,515
1064,2018-04-30T05:39:04Z,,2019-11-06T17:36:42Z,389
