number,created_at,merged_at,closed_at,desc_len
12266,2021-09-09T14:59:50Z,,2021-09-09T16:42:42Z,1340
12257,2021-09-05T05:05:17Z,2021-09-13T15:02:21Z,2021-09-13T15:02:21Z,78
12256,2021-09-04T14:11:24Z,2021-09-04T14:12:51Z,2021-09-04T14:12:51Z,69
12255,2021-09-04T14:10:53Z,2021-09-04T14:12:36Z,2021-09-04T14:12:36Z,78
12254,2021-09-03T04:49:53Z,,2021-09-03T07:29:28Z,1343
12252,2021-09-01T14:48:57Z,,2022-05-20T06:42:16Z,7373
12250,2021-09-01T06:59:38Z,2021-09-01T14:46:36Z,2021-09-01T14:46:36Z,4291
12238,2021-08-23T04:36:55Z,,2021-08-23T04:45:37Z,1737
12234,2021-08-20T16:59:28Z,,2021-08-20T17:54:57Z,1582
12230,2021-08-20T02:39:08Z,,2021-08-20T06:11:34Z,1317
12227,2021-08-19T14:43:02Z,,2021-08-19T14:43:36Z,1322
12224,2021-08-18T01:21:10Z,,2021-08-18T11:46:47Z,1473
12217,2021-08-12T18:49:34Z,2021-08-16T22:29:31Z,2021-08-16T22:29:31Z,69
12216,2021-08-12T09:23:28Z,,2021-08-12T09:24:31Z,1307
12214,2021-08-11T03:06:31Z,,2022-05-20T06:42:20Z,2750
12211,2021-08-09T18:21:20Z,2021-08-12T18:46:54Z,2021-08-12T18:46:54Z,69
12210,2021-08-08T13:07:57Z,,2021-08-12T18:47:08Z,69
12208,2021-08-05T05:05:26Z,2021-08-12T18:46:40Z,2021-08-12T18:46:40Z,78
12205,2021-08-04T06:10:06Z,,2021-08-04T06:11:27Z,1308
12204,2021-08-04T01:23:06Z,2021-08-04T08:19:45Z,2021-08-04T08:19:45Z,4191
12199,2021-07-28T17:08:46Z,,2021-07-28T17:19:50Z,1318
12195,2021-07-25T05:38:45Z,2021-09-08T09:23:49Z,2021-09-08T09:23:49Z,1681
12191,2021-07-21T09:11:56Z,,2021-07-22T01:59:15Z,1372
12189,2021-07-19T17:32:31Z,,2021-07-19T17:55:19Z,1307
12188,2021-07-19T03:58:02Z,,2021-08-13T16:56:49Z,1386
12180,2021-07-11T14:22:20Z,,2021-07-11T16:29:05Z,1364
12176,2021-07-07T14:14:43Z,,2021-09-13T15:02:47Z,69
12175,2021-07-07T14:00:15Z,,2021-09-13T15:02:46Z,69
12174,2021-07-07T13:00:16Z,2021-07-07T13:00:48Z,2021-07-07T13:00:48Z,69
12171,2021-07-05T13:11:50Z,,2021-07-05T16:26:58Z,1305
12167,2021-07-05T05:05:19Z,2021-07-07T12:52:17Z,2021-07-07T12:52:17Z,78
12164,2021-07-03T02:28:00Z,,2021-07-03T13:06:57Z,1336
12158,2021-06-30T18:04:17Z,,2021-06-30T18:09:09Z,1610
12146,2021-06-22T16:56:01Z,2021-06-22T16:57:58Z,2021-06-22T16:57:58Z,69
12145,2021-06-22T16:50:56Z,2021-06-22T16:51:07Z,2021-06-22T16:51:07Z,78
12134,2021-06-15T08:16:28Z,,2021-06-15T09:09:34Z,1316
12124,2021-06-09T05:09:34Z,,2021-06-09T07:09:39Z,1358
12121,2021-06-07T12:46:39Z,,2021-06-07T14:48:57Z,1104
12119,2021-06-05T05:05:21Z,2021-06-20T19:50:51Z,2021-06-20T19:50:51Z,78
12104,2021-06-02T12:16:29Z,2021-06-02T12:44:18Z,2021-06-02T12:44:18Z,1391
12103,2021-06-02T11:15:32Z,,2021-06-02T12:21:18Z,1648
