number,created_at,merged_at,closed_at,desc_len
23,2017-10-02T18:44:34Z,,2017-10-02T20:03:36Z,97
22,2017-10-02T15:30:58Z,2017-10-02T16:17:34Z,2017-10-02T16:17:34Z,261
21,2017-10-02T15:20:04Z,,2017-10-02T15:20:39Z,261
20,2017-10-02T10:52:40Z,2017-10-02T13:03:46Z,2017-10-02T13:03:46Z,258
18,2017-10-02T05:15:49Z,2017-10-02T05:23:59Z,2017-10-02T05:23:59Z,80
17,2017-10-01T15:57:48Z,2017-10-01T17:20:37Z,2017-10-01T17:20:37Z,156
16,2017-10-01T11:46:28Z,2017-10-01T11:58:25Z,2017-10-01T11:58:25Z,41
15,2017-10-01T04:04:15Z,,2018-07-15T22:23:47Z,172
14,2017-09-30T22:46:09Z,,2017-10-01T04:08:50Z,15
13,2017-09-30T12:30:33Z,,2017-09-30T13:10:40Z,76
12,2017-09-29T16:38:41Z,2017-09-29T16:48:35Z,2017-09-29T16:48:35Z,165
10,2017-09-28T17:05:49Z,2017-09-28T17:08:25Z,2017-09-28T17:08:26Z,150
9,2017-09-28T16:00:37Z,2017-09-30T13:51:37Z,2017-09-30T13:51:37Z,119
8,2017-09-28T02:47:19Z,2017-09-28T02:53:54Z,2017-09-28T02:53:54Z,24
6,2017-09-26T10:14:27Z,2017-09-26T13:11:56Z,2017-09-26T13:11:56Z,11
5,2017-09-26T07:38:42Z,2017-09-26T07:48:08Z,2017-09-26T07:48:08Z,143
4,2017-09-26T07:15:06Z,2017-09-26T07:50:21Z,2017-09-26T07:50:21Z,25
3,2017-09-25T21:27:24Z,2017-09-25T23:39:01Z,2017-09-25T23:39:01Z,47
2,2017-09-25T12:59:34Z,2017-09-25T13:28:54Z,2017-09-25T13:28:54Z,40376
1,2017-09-25T06:25:27Z,2017-09-25T08:03:20Z,2017-09-25T08:03:20Z,8
490,2022-11-02T01:46:26Z,2022-11-02T04:49:58Z,2022-11-02T04:49:58Z,473
489,2022-11-01T19:58:37Z,2022-11-01T20:03:34Z,2022-11-01T20:03:34Z,54
488,2022-11-01T12:43:43Z,2022-11-01T13:17:18Z,2022-11-01T13:17:18Z,590
487,2022-10-31T13:32:00Z,2022-11-01T03:11:11Z,2022-11-01T03:11:11Z,189
486,2022-10-31T10:24:10Z,2022-10-31T10:31:19Z,2022-10-31T10:31:19Z,29
485,2022-10-31T10:18:46Z,2022-10-31T10:21:50Z,2022-10-31T10:21:50Z,32
484,2022-10-31T10:08:57Z,2022-10-31T10:10:10Z,2022-10-31T10:10:10Z,46
483,2022-10-31T10:08:46Z,2022-10-31T10:09:54Z,2022-10-31T10:09:54Z,36
482,2022-10-31T09:54:27Z,2022-10-31T10:09:42Z,2022-10-31T10:09:42Z,49
481,2022-10-31T09:44:25Z,2022-10-31T09:47:18Z,2022-10-31T09:47:18Z,47
480,2022-10-31T09:39:14Z,2022-10-31T09:46:30Z,2022-10-31T09:46:30Z,37
479,2022-10-31T09:29:33Z,2022-10-31T09:34:16Z,2022-10-31T09:34:16Z,36
478,2022-10-31T09:12:47Z,2022-10-31T11:24:07Z,2022-10-31T11:24:07Z,36
477,2022-10-31T08:38:36Z,2022-10-31T09:28:53Z,2022-10-31T09:28:53Z,47
476,2022-10-31T08:25:32Z,2022-10-31T08:38:56Z,2022-10-31T08:38:57Z,44
475,2022-10-31T07:38:45Z,2022-10-31T07:42:51Z,2022-10-31T07:42:51Z,36
474,2022-10-31T06:11:58Z,2022-10-31T06:16:09Z,2022-10-31T06:16:09Z,44
473,2022-10-31T05:04:12Z,2022-10-31T06:39:54Z,2022-10-31T06:39:54Z,30
472,2022-10-31T04:57:52Z,2022-10-31T06:31:57Z,2022-10-31T06:31:57Z,203
471,2022-10-31T03:38:59Z,2022-10-31T03:41:36Z,2022-10-31T03:41:36Z,21
470,2022-10-31T03:22:35Z,2022-10-31T03:30:28Z,2022-10-31T03:30:28Z,32
469,2022-10-31T03:04:13Z,2022-10-31T03:12:57Z,2022-10-31T03:12:57Z,36
468,2022-10-30T21:10:45Z,2022-10-31T02:47:28Z,2022-10-31T02:47:28Z,45
467,2022-10-30T20:08:05Z,2022-10-31T02:47:15Z,2022-10-31T02:47:15Z,42
466,2022-10-30T20:07:58Z,2022-10-31T02:47:07Z,2022-10-31T02:47:07Z,34
465,2022-10-30T17:53:41Z,2022-10-30T17:58:54Z,2022-10-30T17:58:54Z,72
464,2022-10-30T16:42:23Z,2022-10-30T16:53:45Z,2022-10-30T16:53:45Z,29
463,2022-10-30T15:13:49Z,2022-10-30T16:10:53Z,2022-10-30T16:10:53Z,29
462,2022-10-30T15:11:33Z,2022-10-30T15:30:24Z,2022-10-30T15:30:24Z,35
461,2022-10-30T13:53:14Z,2022-10-30T14:41:35Z,2022-10-30T14:41:35Z,23
460,2022-10-30T10:38:43Z,2022-10-30T12:18:47Z,2022-10-30T12:18:47Z,27
459,2022-10-30T02:49:05Z,2022-10-30T02:55:19Z,2022-10-30T02:55:19Z,117
458,2022-10-29T18:28:25Z,2022-10-31T04:56:45Z,2022-10-31T04:56:45Z,40
457,2022-10-29T17:49:14Z,2022-10-30T18:48:56Z,2022-10-30T18:48:56Z,40
456,2022-10-29T15:53:21Z,2022-10-30T11:51:49Z,2022-10-30T11:51:49Z,33
455,2022-10-29T08:47:40Z,2022-10-29T09:27:05Z,2022-10-29T09:27:05Z,166
454,2022-10-29T08:26:35Z,2022-10-29T08:36:36Z,2022-10-29T08:36:36Z,40
453,2022-10-28T12:17:12Z,2022-10-28T12:18:05Z,2022-10-28T12:18:05Z,41
452,2022-10-28T11:55:42Z,2022-10-29T00:00:08Z,2022-10-29T00:00:08Z,482
451,2022-10-28T09:18:49Z,2022-10-30T11:32:34Z,2022-10-30T11:32:34Z,61
450,2022-10-28T09:16:13Z,2022-10-30T11:32:24Z,2022-10-30T11:32:24Z,122
449,2022-10-27T14:59:24Z,2022-10-27T15:00:43Z,2022-10-27T15:00:43Z,57
448,2022-10-27T14:01:56Z,2022-10-27T14:13:57Z,2022-10-27T14:13:57Z,60
447,2022-10-27T13:33:56Z,,2022-10-27T14:00:46Z,45
446,2022-10-27T13:22:53Z,2022-10-27T13:30:37Z,2022-10-27T13:30:37Z,219
445,2022-10-27T11:22:16Z,2022-10-28T10:37:01Z,2022-10-28T10:37:01Z,24
444,2022-10-27T08:22:13Z,,2022-10-27T08:23:21Z,100
443,2022-10-27T02:16:42Z,2022-10-27T02:21:03Z,2022-10-27T02:21:03Z,67
442,2022-10-27T02:04:27Z,2022-10-27T08:08:02Z,2022-10-27T08:08:02Z,47
441,2022-10-26T17:21:42Z,2022-10-26T17:28:26Z,2022-10-26T17:28:26Z,141
440,2022-10-26T14:34:53Z,,2022-10-26T16:09:54Z,35
439,2022-10-26T11:21:53Z,2022-10-26T13:16:11Z,2022-10-26T13:16:11Z,54
438,2022-10-26T10:38:26Z,2022-10-26T10:53:10Z,2022-10-26T10:53:10Z,36
437,2022-10-26T10:13:11Z,2022-10-26T10:17:12Z,2022-10-26T10:17:12Z,47
436,2022-10-26T09:44:16Z,2022-10-26T09:55:34Z,2022-10-26T09:55:34Z,108
435,2022-10-26T08:44:13Z,2022-10-26T11:13:28Z,2022-10-26T11:13:28Z,35
434,2022-10-26T08:00:38Z,2022-10-27T08:49:30Z,2022-10-27T08:49:31Z,103
433,2022-10-26T05:22:06Z,2022-10-26T08:23:15Z,2022-10-26T08:23:15Z,27
432,2022-10-26T05:07:44Z,2022-10-26T05:18:52Z,2022-10-26T05:18:52Z,38
431,2022-10-26T03:38:40Z,2022-10-26T08:23:29Z,2022-10-26T08:23:29Z,33
430,2022-10-25T16:26:44Z,2022-10-26T13:17:19Z,2022-10-26T13:17:19Z,55
429,2022-10-25T04:00:39Z,2022-10-25T04:08:07Z,2022-10-25T04:08:07Z,33
428,2022-10-25T01:54:26Z,2022-10-25T02:29:02Z,2022-10-25T02:29:02Z,86
427,2022-10-24T19:26:59Z,2022-10-24T19:31:46Z,2022-10-24T19:31:46Z,48
426,2022-10-24T15:18:55Z,2022-10-24T16:24:44Z,2022-10-24T16:24:44Z,61
425,2022-10-24T15:13:50Z,2022-10-24T15:20:51Z,2022-10-24T15:20:51Z,42
424,2022-10-24T14:33:41Z,2022-10-24T15:18:24Z,2022-10-24T15:18:24Z,42
423,2022-10-24T14:28:48Z,2022-10-24T14:34:28Z,2022-10-24T14:34:28Z,52
422,2022-10-24T13:52:57Z,2022-10-24T14:00:48Z,2022-10-24T14:00:48Z,52
421,2022-10-24T06:40:01Z,2022-10-24T06:52:20Z,2022-10-24T06:52:20Z,43
420,2022-10-23T16:34:34Z,2022-10-23T16:36:05Z,2022-10-23T16:36:05Z,41
419,2022-10-23T14:37:08Z,2022-10-23T14:37:16Z,2022-10-23T14:37:16Z,41
418,2022-10-23T13:56:25Z,2022-10-24T08:02:41Z,2022-10-24T08:02:41Z,490
417,2022-10-23T10:33:29Z,2022-10-23T10:51:12Z,2022-10-23T10:51:12Z,24
416,2022-10-23T09:46:52Z,2022-10-23T10:00:37Z,2022-10-23T10:00:37Z,50
415,2022-10-23T09:02:15Z,2022-10-23T09:07:08Z,2022-10-23T09:07:08Z,57
414,2022-10-23T05:56:39Z,2022-10-23T05:58:30Z,2022-10-23T05:58:30Z,53
413,2022-10-22T17:26:24Z,2022-10-22T17:35:04Z,2022-10-22T17:35:04Z,45
412,2022-10-22T13:42:22Z,2022-10-24T17:22:05Z,2022-10-24T17:22:05Z,33
411,2022-10-22T13:37:14Z,2022-10-22T14:14:19Z,2022-10-22T14:14:19Z,63
410,2022-10-22T13:08:07Z,2022-10-24T14:56:51Z,2022-10-24T14:56:51Z,28
409,2022-10-22T11:36:33Z,2022-10-26T07:38:29Z,2022-10-26T07:38:29Z,53
408,2022-10-21T14:12:29Z,2022-10-21T14:18:13Z,2022-10-21T14:18:13Z,34
407,2022-10-21T14:07:39Z,2022-10-21T15:14:57Z,2022-10-21T15:14:57Z,233
406,2022-10-21T13:59:19Z,,2022-10-21T14:12:05Z,33
405,2022-10-21T08:41:08Z,2022-10-21T09:56:35Z,2022-10-21T09:56:35Z,338
404,2022-10-21T05:51:05Z,2022-10-21T07:25:14Z,2022-10-21T07:25:14Z,102
403,2022-10-20T18:14:44Z,2022-10-20T18:19:30Z,2022-10-20T18:19:30Z,44
402,2022-10-20T15:30:03Z,2022-10-20T15:39:07Z,2022-10-20T15:39:07Z,55
401,2022-10-20T14:52:00Z,2022-10-21T07:55:59Z,2022-10-21T07:55:59Z,241
400,2022-10-20T11:29:50Z,2022-10-20T12:47:46Z,2022-10-20T12:47:46Z,35
399,2022-10-20T06:36:19Z,2022-10-20T10:25:26Z,2022-10-20T10:25:26Z,42
398,2022-10-19T18:38:41Z,2022-10-19T18:46:51Z,2022-10-19T18:46:51Z,63
397,2022-10-19T13:55:38Z,2022-10-19T13:56:03Z,2022-10-19T13:56:03Z,28
396,2022-10-19T12:20:35Z,2022-10-19T12:28:08Z,2022-10-19T12:28:08Z,278
395,2022-10-19T10:39:46Z,,2022-10-30T12:01:17Z,30
394,2022-10-19T09:55:43Z,2022-10-19T10:14:33Z,2022-10-19T10:14:33Z,92
393,2022-10-19T09:43:19Z,2022-10-24T17:21:34Z,2022-10-24T17:21:34Z,31
392,2022-10-19T09:30:21Z,2022-10-19T09:43:10Z,2022-10-19T09:43:10Z,39
391,2022-10-19T06:43:44Z,2022-10-19T06:46:45Z,2022-10-19T06:46:45Z,44
617,2023-10-26T17:50:19Z,2023-10-26T23:04:49Z,2023-10-26T23:04:49Z,125
616,2023-10-25T18:46:33Z,2023-10-25T22:56:38Z,2023-10-25T22:56:38Z,158
610,2023-09-29T23:50:09Z,2023-09-30T02:35:50Z,2023-09-30T02:35:50Z,421
609,2023-09-28T15:44:36Z,2023-09-30T02:54:04Z,2023-09-30T02:54:04Z,364
605,2023-09-12T13:45:13Z,2023-09-30T02:50:45Z,2023-09-30T02:50:45Z,245
604,2023-09-05T18:32:59Z,2023-09-06T02:53:42Z,2023-09-06T02:53:42Z,107
599,2023-08-02T18:36:55Z,2023-08-03T00:25:53Z,2023-08-03T00:25:53Z,52
598,2023-08-02T18:27:05Z,,2023-08-02T18:34:02Z,42
596,2023-07-18T18:37:55Z,2023-07-19T11:22:22Z,2023-07-19T11:22:22Z,45
594,2023-07-04T06:08:28Z,2023-07-04T08:20:56Z,2023-07-04T08:20:56Z,174
593,2023-06-19T13:28:22Z,2023-06-19T22:33:52Z,2023-06-19T22:33:52Z,132
591,2023-06-13T15:53:44Z,,2023-06-13T23:18:59Z,41
589,2023-06-08T14:44:03Z,,2023-06-19T22:33:01Z,137
588,2023-05-25T17:10:25Z,2023-06-13T23:19:58Z,2023-06-13T23:19:58Z,43
587,2023-05-25T15:36:50Z,2023-06-13T23:19:31Z,2023-06-13T23:19:31Z,109
586,2023-05-11T08:52:20Z,2023-05-11T10:21:53Z,2023-05-11T10:21:53Z,53
585,2023-05-09T00:35:35Z,2023-05-11T10:21:02Z,2023-05-11T10:21:02Z,176
584,2023-05-06T01:41:01Z,2023-05-06T01:51:54Z,2023-05-06T01:51:54Z,263
583,2023-05-05T21:20:29Z,2023-05-05T23:47:24Z,2023-05-05T23:47:24Z,81
582,2023-05-05T21:18:13Z,2023-05-05T23:46:53Z,2023-05-05T23:46:53Z,64
579,2023-04-11T16:09:40Z,2023-04-19T12:11:12Z,2023-04-19T12:11:12Z,132
578,2023-04-06T05:35:11Z,2023-04-11T10:09:23Z,2023-04-11T10:09:23Z,42
575,2023-02-23T11:40:09Z,2023-04-11T10:06:48Z,2023-04-11T10:06:48Z,127
574,2023-02-10T06:01:10Z,2023-04-11T10:05:51Z,2023-04-11T10:05:51Z,141
573,2023-02-05T18:04:18Z,2023-02-06T00:38:09Z,2023-02-06T00:38:09Z,120
572,2023-02-05T10:28:31Z,2023-02-06T00:36:42Z,2023-02-06T00:36:42Z,157
571,2023-02-05T08:42:55Z,2023-02-05T08:45:31Z,2023-02-05T08:45:31Z,166
570,2023-02-02T23:05:27Z,2023-02-05T08:46:27Z,2023-02-05T08:46:27Z,297
568,2023-01-30T11:04:07Z,2023-02-05T09:59:06Z,2023-02-05T09:59:06Z,350
567,2023-01-28T15:32:11Z,2023-01-28T23:36:08Z,2023-01-28T23:36:08Z,204
566,2023-01-24T20:53:45Z,2023-01-28T23:37:44Z,2023-01-28T23:37:44Z,63
563,2022-12-22T19:34:55Z,2022-12-27T08:06:25Z,2022-12-27T08:06:25Z,213
560,2022-11-25T16:58:12Z,,2022-12-27T08:05:19Z,95
559,2022-11-21T13:04:51Z,,2022-11-24T01:27:50Z,255
558,2022-11-21T09:35:39Z,2022-11-21T11:20:02Z,2022-11-21T11:20:02Z,98
557,2022-11-20T16:51:35Z,2022-11-21T02:19:36Z,2022-11-21T02:19:36Z,132
556,2022-11-18T12:30:49Z,2022-11-18T12:31:07Z,2022-11-18T12:31:07Z,53
555,2022-11-18T09:13:31Z,2022-11-18T09:17:22Z,2022-11-18T09:17:23Z,46
