number,created_at,merged_at,closed_at,desc_len
4821,2022-09-02T11:36:09Z,,2022-09-02T11:53:51Z,2533
4819,2022-09-02T09:19:26Z,2022-09-23T21:52:13Z,2022-09-23T21:52:13Z,2546
4817,2022-09-02T09:01:09Z,2022-09-03T03:19:49Z,2022-09-03T03:19:49Z,2462
4813,2022-09-01T21:46:04Z,2022-09-01T22:08:05Z,2022-09-01T22:08:05Z,2439
4811,2022-09-01T17:26:26Z,2022-09-02T06:51:12Z,2022-09-02T06:51:12Z,2540
4806,2022-08-31T18:19:16Z,2022-09-01T09:52:59Z,2022-09-01T09:52:59Z,3095
4803,2022-08-31T16:11:53Z,2022-09-30T16:14:15Z,2022-09-30T16:14:15Z,1813
4798,2022-08-30T05:45:38Z,2022-08-30T10:44:16Z,2022-08-30T10:44:16Z,16757
4792,2022-08-28T23:53:03Z,2022-08-29T03:36:56Z,2022-08-29T03:36:56Z,2048
4790,2022-08-28T13:30:44Z,2022-09-01T11:16:17Z,2022-09-01T11:16:17Z,2170
4789,2022-08-28T13:30:16Z,,2022-09-24T09:30:32Z,2175
4781,2022-08-27T17:13:02Z,2022-08-31T15:40:59Z,2022-08-31T15:41:00Z,2521
4780,2022-08-27T16:53:12Z,2022-09-16T17:02:00Z,2022-09-16T17:02:00Z,2604
4779,2022-08-27T16:25:46Z,2022-08-27T16:37:25Z,2022-08-27T16:37:25Z,2465
4774,2022-08-27T10:27:56Z,2022-10-04T03:33:46Z,2022-10-04T03:33:46Z,2474
4772,2022-08-27T07:05:08Z,2022-08-31T16:46:26Z,2022-08-31T16:46:27Z,2517
4771,2022-08-26T23:13:23Z,2022-09-01T10:02:29Z,2022-09-01T10:02:29Z,3024
4770,2022-08-26T22:40:24Z,2022-08-28T22:59:54Z,2022-08-28T22:59:54Z,3170
4769,2022-08-26T21:20:28Z,2022-08-27T00:28:02Z,2022-08-27T00:28:02Z,2518
4762,2022-08-26T07:36:11Z,,2022-08-26T13:03:42Z,1893
4761,2022-08-25T20:18:32Z,2022-08-26T03:29:45Z,2022-08-26T03:29:45Z,1787
4759,2022-08-25T15:19:37Z,2022-08-31T17:52:17Z,2022-08-31T17:52:17Z,2554
4754,2022-08-24T23:00:20Z,,2022-09-01T11:21:24Z,2744
4753,2022-08-24T22:34:25Z,2022-08-30T16:54:46Z,2022-08-30T16:54:47Z,3675
4739,2022-08-22T18:40:50Z,2022-08-22T20:04:12Z,2022-08-22T20:04:12Z,3116
4738,2022-08-22T18:13:59Z,2022-08-22T18:45:46Z,2022-08-22T18:45:46Z,2649
4725,2022-08-21T13:55:46Z,2022-08-30T17:07:55Z,2022-08-30T17:07:55Z,2457
4724,2022-08-21T11:24:33Z,,2022-08-21T23:00:22Z,3544
4712,2022-08-20T06:39:45Z,2022-09-01T09:50:55Z,2022-09-01T09:50:55Z,2394
4710,2022-08-19T09:19:41Z,,2022-09-01T11:21:24Z,2555
4708,2022-08-19T09:14:16Z,2022-09-22T10:57:20Z,2022-09-22T10:57:20Z,1861
4706,2022-08-19T07:03:34Z,2022-09-01T07:12:34Z,2022-09-01T07:12:34Z,8611
4705,2022-08-19T05:18:15Z,,2022-10-30T21:40:46Z,2064
4704,2022-08-19T03:48:14Z,2022-08-30T16:34:13Z,2022-08-30T16:34:13Z,2035
4701,2022-08-18T22:04:50Z,2022-08-18T22:15:50Z,2022-08-18T22:15:50Z,2585
4700,2022-08-18T20:57:18Z,2022-08-18T20:58:59Z,2022-08-18T20:58:59Z,1224
4696,2022-08-18T17:40:45Z,2022-08-18T20:57:46Z,2022-08-18T20:57:46Z,2760
4691,2022-08-18T12:30:46Z,,2022-08-18T20:59:04Z,1977
4688,2022-08-18T10:37:27Z,2022-08-18T11:14:45Z,2022-08-18T11:14:45Z,2436
4687,2022-08-18T06:16:50Z,,2022-10-06T14:01:57Z,2327
4675,2022-08-16T04:13:27Z,2022-08-18T19:57:51Z,2022-08-18T19:57:51Z,2707
4671,2022-08-15T19:32:28Z,2022-08-18T20:12:04Z,2022-08-18T20:12:04Z,3285
4666,2022-08-15T01:36:17Z,2022-08-30T16:24:14Z,2022-08-30T16:24:14Z,2488
4663,2022-08-14T21:50:21Z,2022-08-14T22:01:42Z,2022-08-14T22:01:42Z,1815
4660,2022-08-14T18:47:59Z,2022-08-14T20:03:24Z,2022-08-14T20:03:24Z,2405
4657,2022-08-14T12:20:38Z,,2022-08-18T20:57:50Z,2017
4648,2022-08-13T02:49:39Z,2022-08-14T19:43:04Z,2022-08-14T19:43:04Z,2459
4646,2022-08-12T23:28:00Z,2022-08-12T23:40:49Z,2022-08-12T23:40:49Z,2563
4645,2022-08-12T22:52:45Z,2022-08-13T17:26:42Z,2022-08-13T17:26:42Z,2631
4643,2022-08-12T16:49:37Z,2022-08-14T12:04:13Z,2022-08-14T12:04:13Z,2352
4638,2022-08-12T07:24:09Z,2022-08-13T00:25:20Z,2022-08-13T00:25:20Z,2919
4616,2022-08-10T12:15:24Z,2022-08-14T20:01:17Z,2022-08-14T20:01:17Z,2619
4613,2022-08-10T06:03:40Z,2022-08-31T17:02:33Z,2022-08-31T17:02:33Z,3244
4609,2022-08-09T19:03:03Z,2022-08-14T20:06:05Z,2022-08-14T20:06:05Z,2691
4607,2022-08-09T13:47:59Z,2022-08-14T20:09:05Z,2022-08-14T20:09:05Z,2695
4606,2022-08-09T13:38:54Z,2022-12-27T06:34:01Z,2022-12-27T06:34:01Z,2391
4600,2022-08-08T20:12:36Z,2022-08-14T19:47:55Z,2022-08-14T19:47:55Z,1582
4597,2022-08-07T19:05:25Z,2022-08-07T20:21:53Z,2022-08-07T20:21:53Z,2634
4593,2022-08-07T06:50:17Z,2022-08-07T13:43:21Z,2022-08-07T13:43:21Z,3704
4586,2022-08-07T01:05:45Z,2022-08-14T20:17:19Z,2022-08-14T20:17:19Z,7406
4577,2022-08-06T06:09:37Z,2022-08-06T11:13:55Z,2022-08-06T11:13:55Z,2377
4576,2022-08-06T05:49:40Z,,2022-08-06T06:00:17Z,67
4575,2022-08-06T05:10:06Z,,2022-08-06T05:21:09Z,114
4564,2022-08-05T10:16:46Z,2022-08-05T13:06:42Z,2022-08-05T13:06:42Z,2590
4562,2022-08-05T03:02:43Z,2022-08-05T14:49:46Z,2022-08-05T14:49:46Z,2658
4555,2022-08-04T15:48:42Z,2022-08-04T18:05:59Z,2022-08-04T18:05:59Z,2283
4553,2022-08-04T14:29:23Z,,2022-08-05T05:50:16Z,2551
4540,2022-08-03T09:17:45Z,2022-08-08T21:09:38Z,2022-08-08T21:09:38Z,2859
4535,2022-08-02T17:56:21Z,2022-08-02T21:18:40Z,2022-08-02T21:18:40Z,1814
4530,2022-08-02T03:39:26Z,,2022-08-02T10:08:44Z,5642
4529,2022-08-02T03:10:09Z,,2022-08-02T03:21:44Z,265
4524,2022-08-01T12:12:22Z,2022-08-01T19:25:48Z,2022-08-01T19:25:48Z,1773
4515,2022-07-31T23:48:17Z,2022-08-01T02:05:59Z,2022-08-01T02:05:59Z,2466
4513,2022-07-31T21:47:13Z,2022-08-08T19:24:30Z,2022-08-08T19:24:30Z,2620
4499,2022-07-30T20:28:09Z,2022-07-30T20:47:28Z,2022-07-30T20:47:28Z,2477
4495,2022-07-30T15:43:51Z,2022-07-31T20:12:04Z,2022-07-31T20:12:04Z,3407
4494,2022-07-30T12:30:40Z,2022-08-01T22:31:52Z,2022-08-01T22:31:52Z,2415
4493,2022-07-30T11:38:34Z,2022-07-30T12:06:58Z,2022-07-30T12:06:58Z,2463
4491,2022-07-30T07:03:44Z,2022-07-30T11:35:07Z,2022-07-30T11:35:07Z,2389
4487,2022-07-29T21:59:51Z,2022-07-30T08:51:19Z,2022-07-30T08:51:19Z,4071
4481,2022-07-29T08:18:37Z,,2022-07-29T18:34:32Z,2603
4480,2022-07-29T07:57:34Z,2022-08-01T02:47:25Z,2022-08-01T02:47:25Z,2512
4479,2022-07-29T07:29:22Z,2022-08-08T21:11:47Z,2022-08-08T21:11:47Z,7720
4472,2022-07-28T12:51:45Z,2022-07-28T13:00:33Z,2022-07-28T13:00:33Z,2172
4470,2022-07-28T08:09:10Z,2022-09-09T05:16:46Z,2022-09-09T05:16:46Z,4068
4468,2022-07-28T02:41:07Z,2022-09-16T15:59:03Z,2022-09-16T15:59:03Z,2500
4463,2022-07-27T11:16:43Z,2022-07-27T11:48:43Z,2022-07-27T11:48:43Z,2609
4461,2022-07-27T08:30:24Z,2022-07-29T05:09:37Z,2022-07-29T05:09:37Z,2846
4458,2022-07-27T04:05:15Z,,2022-07-27T04:05:45Z,50
4457,2022-07-27T03:39:54Z,2022-07-27T18:50:13Z,2022-07-27T18:50:13Z,2192
4453,2022-07-26T21:28:16Z,2022-07-30T16:11:28Z,2022-07-30T16:11:28Z,2719
4447,2022-07-26T07:22:28Z,2022-07-26T13:22:18Z,2022-07-26T13:22:18Z,2624
4446,2022-07-26T03:35:22Z,2022-07-26T03:39:40Z,2022-07-26T03:39:40Z,2542
4435,2022-07-25T03:22:49Z,,2022-10-18T14:36:47Z,2716
4434,2022-07-24T22:52:45Z,2022-07-31T23:47:32Z,2022-07-31T23:47:32Z,1584
4423,2022-07-23T17:10:18Z,2022-07-24T08:33:40Z,2022-07-24T08:33:40Z,2142
4416,2022-07-22T23:14:11Z,2022-07-23T06:10:48Z,2022-07-23T06:10:48Z,1707
4415,2022-07-22T18:30:03Z,2022-08-04T20:57:58Z,2022-08-04T20:57:59Z,2532
4410,2022-07-21T23:09:16Z,2022-07-31T23:57:28Z,2022-07-31T23:57:28Z,2795
4406,2022-07-21T03:12:37Z,,2022-11-04T13:09:33Z,2406
4405,2022-07-21T00:27:42Z,2022-07-26T03:41:52Z,2022-07-26T03:41:52Z,2741
4404,2022-07-20T23:55:43Z,2022-07-21T12:23:41Z,2022-07-21T12:23:41Z,1216
4398,2022-07-20T08:28:00Z,2022-07-22T22:23:55Z,2022-07-22T22:23:55Z,3469
4396,2022-07-20T00:57:53Z,2022-07-20T04:37:13Z,2022-07-20T04:37:13Z,2497
4384,2022-07-18T21:28:01Z,2022-07-30T10:57:54Z,2022-07-30T10:57:54Z,2564
4380,2022-07-18T14:47:56Z,2022-07-24T14:14:27Z,2022-07-24T14:14:27Z,1327
4376,2022-07-18T04:39:13Z,2022-07-18T13:06:55Z,2022-07-18T13:06:55Z,2467
4371,2022-07-17T23:14:40Z,,2022-07-17T23:40:53Z,2698
4367,2022-07-17T09:45:23Z,2022-07-17T10:59:56Z,2022-07-17T10:59:56Z,1411
4363,2022-07-16T02:35:21Z,,2022-07-16T06:12:50Z,2184
4357,2022-07-15T08:13:06Z,2022-07-15T11:52:14Z,2022-07-15T11:52:15Z,3820
4355,2022-07-14T19:54:32Z,2022-07-16T16:22:49Z,2022-07-16T16:22:49Z,2625
4342,2022-07-12T16:37:22Z,2022-07-12T20:27:50Z,2022-07-12T20:27:50Z,2511
4340,2022-07-12T13:31:20Z,2022-07-12T13:51:41Z,2022-07-12T13:51:41Z,2246
4339,2022-07-12T11:05:19Z,2022-07-13T14:18:03Z,2022-07-13T14:18:03Z,2601
4334,2022-07-11T18:28:38Z,2022-07-12T15:16:46Z,2022-07-12T15:16:46Z,2585
4333,2022-07-11T13:17:11Z,2022-07-13T07:03:18Z,2022-07-13T07:03:18Z,2468
4330,2022-07-11T08:19:37Z,2022-07-17T20:41:33Z,2022-07-17T20:41:33Z,8801
4326,2022-07-10T21:58:42Z,2022-07-13T17:53:23Z,2022-07-13T17:53:23Z,3555
4325,2022-07-10T20:53:27Z,2022-07-10T23:18:12Z,2022-07-10T23:18:12Z,1631
4317,2022-07-09T15:03:09Z,,2022-07-10T13:49:20Z,6874
4314,2022-07-09T10:23:23Z,2022-07-17T20:22:25Z,2022-07-17T20:22:25Z,2380
4312,2022-07-09T08:45:37Z,2022-07-09T09:30:35Z,2022-07-09T09:30:35Z,2385
4307,2022-07-08T16:03:14Z,2022-08-01T19:38:16Z,2022-08-01T19:38:16Z,7227
4304,2022-07-08T06:46:20Z,2022-07-09T04:15:47Z,2022-07-09T04:15:47Z,2473
4293,2022-07-07T07:20:25Z,2022-07-07T21:20:03Z,2022-07-07T21:20:03Z,668
4288,2022-07-06T17:18:59Z,2022-07-09T07:46:57Z,2022-07-09T07:46:57Z,2505
4284,2022-07-06T06:54:55Z,2022-07-13T17:55:45Z,2022-07-13T17:55:45Z,2501
4281,2022-07-06T05:26:25Z,2022-07-13T17:56:57Z,2022-07-13T17:56:58Z,2540
4272,2022-07-04T16:07:41Z,2022-07-09T07:53:49Z,2022-07-09T07:53:49Z,2750
4268,2022-07-04T10:32:59Z,2022-07-17T10:34:33Z,2022-07-17T10:34:33Z,1510
4266,2022-07-04T05:56:40Z,2022-07-08T20:58:47Z,2022-07-08T20:58:47Z,2443
4264,2022-07-03T20:49:45Z,,2022-07-04T11:12:27Z,2380
4261,2022-07-03T16:14:34Z,,2022-07-06T05:55:51Z,2540
4260,2022-07-03T15:48:09Z,,2022-07-06T05:55:53Z,2419
4259,2022-07-03T15:12:57Z,,2022-07-06T05:55:18Z,2420
4250,2022-07-02T17:38:32Z,2022-07-10T19:22:30Z,2022-07-10T19:22:30Z,2160
4242,2022-07-01T14:54:27Z,,2022-07-10T08:39:58Z,2503
4240,2022-07-01T12:03:27Z,,2023-02-08T06:05:35Z,2387
4228,2022-06-30T03:02:53Z,2022-07-13T18:02:19Z,2022-07-13T18:02:19Z,2353
4222,2022-06-29T08:56:19Z,2022-07-14T06:24:27Z,2022-07-14T06:24:27Z,2473
4221,2022-06-29T08:53:30Z,,2022-10-25T15:44:19Z,2768
4220,2022-06-29T07:06:35Z,2022-06-29T10:25:40Z,2022-06-29T10:25:40Z,422
4219,2022-06-28T18:27:12Z,2022-06-29T00:09:32Z,2022-06-29T00:09:32Z,2157
4213,2022-06-28T12:21:37Z,2022-07-10T19:32:12Z,2022-07-10T19:32:12Z,2350
4210,2022-06-27T21:45:13Z,,2022-06-27T21:50:16Z,2023
4208,2022-06-27T16:15:39Z,2022-07-13T18:16:48Z,2022-07-13T18:16:48Z,2009
4207,2022-06-27T15:58:21Z,,2022-07-06T05:55:59Z,2046
4204,2022-06-27T13:14:13Z,2022-06-29T00:11:38Z,2022-06-29T00:11:38Z,2163
4194,2022-06-26T16:36:39Z,2022-06-27T00:50:06Z,2022-06-27T00:50:06Z,2060
4191,2022-06-26T12:26:31Z,2022-07-13T18:29:44Z,2022-07-13T18:29:44Z,3099
4186,2022-06-26T01:17:34Z,2022-07-26T15:49:41Z,2022-07-26T15:49:41Z,2557
4185,2022-06-26T00:30:53Z,2022-06-26T00:37:37Z,2022-06-26T00:37:37Z,2279
4181,2022-06-25T21:31:07Z,2022-06-27T00:33:31Z,2022-06-27T00:33:31Z,2003
4165,2022-06-24T13:26:40Z,,2022-06-24T20:19:01Z,17756
4158,2022-06-24T03:12:16Z,2022-06-24T03:29:28Z,2022-06-24T03:29:28Z,3196
4151,2022-06-23T12:47:41Z,2022-06-25T13:14:59Z,2022-06-25T13:14:59Z,2319
4147,2022-06-23T07:39:18Z,2022-06-29T00:06:26Z,2022-06-29T00:06:26Z,2385
4146,2022-06-23T02:50:00Z,2022-06-23T23:30:18Z,2022-06-23T23:30:18Z,2319
4137,2022-06-22T14:02:25Z,2022-06-28T12:51:18Z,2022-06-28T12:51:18Z,2391
4136,2022-06-22T05:01:58Z,,2022-07-01T03:04:17Z,2978
4129,2022-06-21T10:38:03Z,2022-06-25T14:43:33Z,2022-06-25T14:43:33Z,2573
4128,2022-06-21T07:40:10Z,2022-07-27T20:31:04Z,2022-07-27T20:31:04Z,2176
4118,2022-06-20T01:30:47Z,2022-06-20T03:06:38Z,2022-06-20T03:06:38Z,2452
4106,2022-06-18T17:28:24Z,2022-06-28T12:36:30Z,2022-06-28T12:36:30Z,2571
